name;id;bearer;reigning;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
_;457;hand;male;Truth be told, Your Grace, this office ill suits me. I would be happy to step aside, for the good of the realm.;;En toute franchise, Majesté, je n'apprécie guère cette charge. Je ne vois aucun inconvénient à laisser ma place.;A decir verdad, Excelencia, este puesto no me va bien. No me importaría hacerme a un lado, por el bien del reino.;正直に申しますと、+私はこの地位に不向きです。+国のためでしたら、+喜んで他者に譲りましょう。;솔직히 말하자면, 폐하, 이 자리는 제게 어울리지 않습니다. 왕국을 위해서라면 기꺼히 물러나도록 하지요.;说实话，国王陛下，这工作并不适合我+我很乐意让贤，为了王国的利益;說實話，國王陛下，這工作並不適合我+我很樂意讓賢，為了王國的利益;Um ehrlich zu sein: Das Amt passt schlecht zu mir. Ich würde gern den Platz räumen, zum Wohle des Reichs.;Честно говоря, я с радостью сложу все полномочия, если это ради общего блага.;A dire il vero, Vostra Grazia, questo incarico non fa per me. Mi farei volentieri da parte per il bene del regno.;Verdade seja dita, Majestade, não me sinto à vontade neste cargo. Não me oponho a renunciar, pelo bem do reino.;Thank you;;Merci;Gracias;ありがとう;고맙군;谢谢你;謝謝你;Vielen Dank;Благодарю тебя;Grazie;Obrigado;;;;;;;;;;;;;Good;;Très bien;Bien;(うむ*ええ);좋아;很好;很好;Gut;Отлично;Bene;Ótimo;;;;;;;;;;;;;
_;458;jaime;male;If I agree to be your Hand, you must give Casterly Rock back to me. ;;Si j'accepte de devenir votre Main, il va falloir me restituer Castral Roc.;Si acepto ser vuestra Mano, debéis devolverme Roca Casterly.;キャスタリーロックを返してくれるなら、+王の手になろう。;제가 핸드가 된다면, 제게 캐스털리 록을 되돌려주셔야 합니다.;如果我同意当首相，+你得把凯岩城还给我;如果我同意當首相，+你得把凱岩城還給我;Wenn ich einwillige, das Amt als Hand zu übernehmen, will ich Casterlystein zurückhaben.;И если я соглашусь — мне нужен Утес Кастерли.;Se accetto di essere il vostro Primo Cavaliere, dovrete ridarmi Castel Granito.;Se eu concordar em ser seu Mão, preciso que me devolva o Rochedo Casterly.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_;459;jaime;male;Very well, Your Grace. I look forward to our new professional relationship.;;Très bien, Majesté. J'ai hâte que notre nouvelle relation de travail commence.;Muy bien, Alteza. Nuestra nueva relación profesional me llena de ilusión.;わかった、陛下。+これからはよろしく頼む。;좋습니다, 폐하. 우리의 새로운 관계가 기대되는군요.;好极了，国王陛下+我很是期待咱们之间的强强联合;好極了，國王陛下+我很期待我們之間的雙強聯合;Also gut. Ich freue mich auf unsere professionelle Zusammenarbeit.;Что ж, Светлейший. Надеюсь, мы сработаемся.;Molto bene, Vostra Grazia. Non vedo l'ora che cominci il nostro nuovo rapporto di lavoro.;Certo, Majestade. Espero que tenhamos uma boa relação profissional.;Leave;;Partez;Marchaos;(行け*行きなさい);떠난다;退下吧;退下吧;Bis nachher;Уйти;Andate;Sair;;;;;;;;;;;;;Join me for lunch;;Venez déjeuner avec moi;Quedaos a comer conmigo;共に昼食でも;밥이나 한 끼 같이 먹지;随我共进午餐吧;跟我共進午餐吧;Gehen wir zusammen essen;Отобедай со мной;Venite a pranzo da me;Almoce comigo;;;;;;;;;;;;;
_offerjaime;460;jaime;female;Marriage? You want to marry me? <i>Laughing.</i> Did you hit your head on that Iron Throne?;;Un mariage ? Vous voulez m'épouser ? <i>Il rit.</i> Vous êtes tombée sur la tête !;¿Matrimonio? ¿Queréis casaros conmigo? <i>Riendo.</i> ¿Os habéis golpeado la cabeza contra ese Trono de Hierro?;結婚？俺と結ばれたいのか？+<i>彼は笑う。</i>+鉄の玉座に頭でも打ったのか？;결혼? 저와 결혼하시겠다고요? <i>웃는다.</i> 철왕좌에 머리라도 박으셨습니까?;结婚？你想嫁给我？+<i>大笑不止</i>+你是在铁王座上撞晕了头吗？;結婚？你想嫁給我？+<i>大笑不止</i>+你是在鐵王座上撞昏頭了嗎？;Heirat? Ihr wollt mich heiraten? <i>Er lacht.</i> Habt Ihr Euch am Eisernen Thron den Kopf gestoßen?;Жениться? На Вас? <i>Смеется.</i> Вы головой о Железный трон не бились?;Matrimonio? Volete sposarmi? <i>Ride.</i> Avete battuto la testa sul Trono di Spade?;Casar? Quer se casar comigo? <i>Rindo.</i> Vossa Majestade bateu a cabeça no Trono de Ferro?;I have my reasons;;J'ai mes raisons;Tengo mis motivos;理由があるのよ;나도 이유가 있다;我自有理由;我自有理由;Ich habe meine Gründe;У меня есть свои причины;Ho le mie ragioni;Eu tenho meus motivos;;;;;;;;;;;;;Forget it;;Oublions cela;Olvidadlo;聞かなかったことにして;잊어버려라;算了吧;算了吧;Vergessen wir's;Забудь, что я что-то сказала;Scordatevelo;Esqueça;;;;;;;;;;;;;
_offerjaime;461;jaime;sansa;Marriage? You want to marry me? <i>Laughing.</i> Last I checked, you were married to my brother.;;Un mariage ? Vous voulez m'épouser ? <i>Il rit.</i> Pour autant que je m'en souvienne, vous étiez mariée à mon frère, non ?;¿Matrimonio? ¿Queréis casaros conmigo? <i>Riendo.</i> La última noticia que tuve es que estábais casada con mi hermano.;結婚？俺と結ばれたいのか？+<i>彼は笑う。</i>+そちらは確か、兄と結婚していたはずだが。;결혼? 저와 결혼하시겠다고요? <i>웃는다.</i> 제 형제와 전에 결혼하지 않으셨나요?;结婚？你想嫁给我？+<i>大笑不止</i>+据我所知，你已经嫁给我弟弟了;結婚？你想嫁給我？+<i>大笑不止</i>+據我所知，你已經嫁給我弟弟了;Heirat? Ihr wollt mich heiraten? <i>Er lacht.</i> Soweit ich unterrichtet bin, seid Ihr mit meinem Bruder verheiratet.;Жениться? На Вас? <i>Смеется.</i> Вы вроде как супруга моего дражайшего брата.;Matrimonio? Volete sposarmi? <i>Ride.</i> Non eravate forse sposata con mio fratello?;Casar? Quer se casar comigo? <i>Rindo.</i> Pelo que eu saiba, você era casada com meu irmão.;I'm a widow;;Je suis veuve;Soy viuda;彼はもういないわ;난 미망인이야;我早已守寡;我早已守寡;Ich bin Witwe;Я овдовела;Sono vedova;Sou viúva;;;;;;;;;;;;;Forget it;;Oublions cela;Olvidadlo;聞かなかったことにして;잊어버려라;算了吧;算了吧;Vergesst es;Забудь, что я что-то сказала;Scordatevelo;Esqueça;;;;;;;;;;;;;
_jaimebest;462;jaime;female;Now, please release me. You have my word that I will vanish from the world. None shall hear from me again.;;Je vous en prie, libérez-moi. Je vous donne ma parole que je disparaîtrai et que plus personne n'entendra parler de moi.;Ahora, por favor, liberadme. Os doy mi palabra de que desapareceré de la faz de la tierra. Nadie sabrá de mí nunca más.;そろそろ開放してくれ。+この世界から去ることを約束しよう。+二度と、俺の話を耳にしなくなるだろう。;이제, 절 풀어주시지요. 이 세상에서 사라질 거라는 제 맹세를 들으셨으니. 제 소식은 아무 데서도 못 들으실 겁니다.;得了，求你放了我吧+我向你保证会从这世上消失+不会有人知道我的下落的;求你放了我吧+我向你保證會從這世上消失+不會有人知道我的下落的;Jetzt lasst mich bitte frei. Ich gebe Euch mein Wort, dass ich von der Welt verschwinde. Niemand wird mehr von mir hören.;Прошу Вас, отпустите меня. Клянусь, что больше никогда Вас не потревожу. Никто и никогда не услышит обо мне.;Vi prego, ora liberatemi. Avete la mia parola che sparirò per sempre. Nessuno sentirà più parlare di me.;Agora solte-me, por gentileza. Você tem minha palavra: irei sumir do mundo. Ninguém nunca mais terá notícias minhas.;Go;;Partez;Marchaos;(行け*行きなさい);가라;去吧;去吧;Also gut;Прочь;Andate;Vá;;;;;;;;;;;;;I'm sorry...;;Désolée...;Lo siento;すまない…;미안하구나...;对不起…;對不起…;Es tut mir leid ...;Мне очень жаль...;Mi spiace...;Sinto muito...;;;;;;;;;;;;;
_jaimeoath;463;jaime;female;Impossible. You seem to forget I renounced wedlock when I joined the Kingsguard.;;Impossible. Vous semblez oublier que j'ai renoncé à me marier lorsque j'ai rejoint la Garde Royale.;Imposible. Parece que se os olvida que renuncié al matrimonio cuando me uní a la Guardia Real.;それは無理だ。+俺が王の盾になった時、+婚姻を禁ずる誓約を+立てたことを忘れたのか。;말도 안 됩니다. 제가 킹스가드에 들어갈 때 결혼을 포기한 걸 잊으신 모양이군요.;不可能。你好像忘了，+自从我加入御林铁卫，就再也不能结婚了;不可能。你好像忘了，+自從我加入御林鐵衛，就再也不能結婚了;Unmöglich. Ihr habt wohl vergessen, dass ich der Ehe abgeschworen habe, als ich der Königsgarde beigetreten bin.;Это невозможно. Я гвардеец, я дал обет безбрачия.;Impossibile. Dimenticate che, entrando nella Guardia Reale, ho rinunciato al vincolo coniugale.;Impossível. Devo lembrá-la que renunciei ao matrimônio quando entrei para a Guarda Real.;I revoke your oath;;Je vous libère de votre serment;Revoco vuestro juramento;その誓約は無効よ;네 맹세를 철회하지;我会废除你的誓言;我會廢除你的誓言;Ich entbinde Euch von dem Eid;Я освобождаю тебя от обета;Annullo il vostro giuramento;Eu revogo seu juramento;;;;;;;;;;;;;A kingslayer with honor...;;Régicide et fidèle à sa parole;Un matarreyes con honor...;名誉を重んじる王殺しね…;왕시해자가 명예라...;好一位爱惜羽毛的弑君者…;好一位愛惜羽毛的弑君者…;Ein Königsmörder mit Ehre ...;Совестливый цареубийца...;Uno sterminatore molto ligio;Um regicida com honra...;;;;;;;;;;;;;
_;464;jaime;female;Do I even have a choice in this?;;Ai-je vraiment le choix ?;¿Acaso tengo posibilidad de elegir en todo este asunto?;俺に選ぶ権利はあるのか？;제게 선택권이 있기는 한 겁니까?;我还有得选吗？;我還有選擇嗎？;Habe ich hierbei überhaupt eine Wahl?;У меня вообще есть выбор?;Io non ho alcuna voce in capitolo?;Eu tenho algum poder de decisão?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<i>Jaime jumps on the Queensguard on your left. He manages to kill two guards before being overwhelmed.</i>;;<i>Jaime se précipite sur les Gardes Royaux à votre gauche et parvient à en tuer deux avant d'être arrêté.</i>;<i>Jaime salta sobre el Guardia de la Reina que está a tu izquierda. Se las arregla para matar a dos guardias antes de ser aplacado.</i>;<i>ジェイミーはあなたの+左側にいる女王の盾に飛び掛る。+彼は取り押さえられるまでに、+女王の盾を2人殺害した。</i>;<i>제이미는 당신 왼쪽에 있는 킹스가드에게 뛰어듭니다. 그는 제압되기 전 두 명의 경비를 죽입니다.</i>;<i>詹姆纵身扑向你左侧的御林铁卫+他杀掉了两名卫兵才被制服在地</i>;<i>詹姆縱身撲向你左側的御林鐵衛+他殺掉了兩名衛兵才被制服在地</i>;<i>Jaime stürzt sich auf die Königinnengarde links von Euch. Es gelingt ihm, zwei Männer zu töten, bevor er überwältigt wird.</i>;<i>Джейме сбивает с ног гвардейца, что стоит слева. Перед смертью он успевает убить еще двоих.</i>;<i>Jaime attacca la Guardia Reale alla vostra sinistra. Riesce a uccidere due guardie prima di essere sopraffatto.</i>;<i>Jaime ataca a Guarda Real à sua esquerda. Ele consegue matar dois guardas antes de ser contido.</i>;
_;465;jaime;female;And you? I've heard what you have been through. Is this your wish?;;Et vous ? Je sais ce que vous avez traversé. Le souhaitez-vous vraiment ?;¿Y vos? He oído lo que habéis tenido que pasar. ¿Es este vuestro deseo?;そちらはどうだ？+これまでの出来事は聞いたぞ。+本当にそう望んでいるのか？;그러는 여왕님은요? 그간 겪어오신 일을 제가 아는데, 진정으로 이걸 원하십니까?;那你呢？我听说过你的经历+这是你的意愿吗？;那你呢？我聽說過你的經歷+這是你的意願嗎？;Und Ihr? Ich habe gehört, was Ihr durchgemacht habt. Ist das Euer Wunsch?;Я слышал, что Вы и сами прошли через многие невзгоды. Хотите их преумножить?;E voi? Ho saputo quello che avete passato. È questo il vostro desiderio?;E Vossa Majestade? Eu soube o que você passou. É isso o que deseja?;No, it's my choice;;Oui, c'est mon choix;No, es mi elección;いや、私の選択(だ*よ);그래. 내 선택이다.;不，但这是我的选择;不，但這是我的選擇;Nein, meine Wahl;Это мой выбор;No, è il mio volere;Não, é a minha decisão;;;;;;;;;;;;;No, it's my duty;;Non, c'est mon devoir;No, es mi obligación;いや、私の責務(だ*よ);아니, 이건 내 의무다.;不，这只是我的责任;不，這只是我的責任;Nein, meine Pflicht;Это мой долг;No, è il mio dovere;Não, é o meu dever;;;;;;;;;;;;;
_jaimechoice1;466;jaime;female;Then I accept.;;Alors, j'accepte;Entonces acepto.;なら受け入れよう。;그렇다면 받아들이죠.;那么我接受;那我接受;Dann bin ich einverstanden.;Я принимаю предложение.;Allora accetto.;Então eu aceito.;Take my hand;;Marions-nous;Tomad mi mano;手を(取れ*取って);내 손을 잡아라;来牵我的手吧;來牽我的手吧;Nehmt meine Hand;Возьми меня за руку;Prendete la mia mano;Tome minha mão;;;;;;;;;;;;;I changed my mind;;J'ai changé d'avis;He cambiado de opinión;気が変わった;마음을 바꿨다;我改主意了;我改主意了;Ich hab's mir anders überlegt;Я передумала;Ho cambiato idea;Mudei de ideia;;;;;;;;;;;;;
_jaimechoice2;467;jaime;female;Then I must decline. I'm tired of this game.;;Je dois refuser. J'en ai assez de ces manigances.;Entonces he de declinar. Estoy cansado de este juego.;なら断るしかない。+こんな謀略はもうたくさんだ。;그렇다면 거절해야겠군요. 이 놀이엔 진절머리가 나서요.;那么我必须拒绝。我已经厌倦了这场游戏;那我必須拒絕。我已經厭倦了這場遊戲;Dann muss ich ablehnen. Ich habe dieses Spiel satt.;Тогда я вынужден отказаться. Я слишком устал от этой игры.;Allora devo rifiutare. Sono stanco di questo gioco.;Então eu devo recusar. Já me cansei desse joguinho.;I understand;;Je comprends;Lo entiendo;わかった;이해한다.;我理解你;我了解;Ich verstehe;Я понимаю;Capisco;Entendo;;;;;;;;;;;;;You will regret this;;Vous le regretterez;Os arrepentiréis;後悔する(ぞ*わよ);후회할 거다;你会后悔的;你會後悔的;Das werdet Ihr bereuen;Ты об этом пожалеешь;Ve ne pentirete;Você vai se arrepender disso;;;;;;;;;;;;;
;1379;hand;sansa;Your wedding to Jaime will not be possible until we're at peace with all our enemies. Do you wish to attend the small council?;;Votre mariage avec Jaime est impossible tant que nous sommes en guerre. Souhaitez-vous assister au Conseil restreint ?;Vuestra boda con Jaime no será posible hasta que estemos en paz con todos nuestros enemigos. ¿Queréis asistir al consejo privado?;あなた様のジェイミー殿との婚約は、+すべての戦が収まるまで+できそうにありません。+小評議会にご出席されますか？;모든 적과 평화조약을 맺기 전까진 제이미와 결혼할 수 없습니다. 소의회에 참석하시겠습니까?;除非我们解决了所有敌人，+否则您与詹姆不可能成婚+您想继续御前会议吗？;除非我們解決了所有敵人，+否則您與詹姆不可能成婚+您想繼續御前會議嗎？;Die Hochzeit mit Jaime ist nicht möglich, bis Frieden mit all unseren Feinden herrscht. Gehen wir jetzt zur Sitzung des Kleinen Rats?;Не стоит даже пытаться сыграть свадьбу с Джейме, пока война в самом разгаре. Желаете посетить Малый совет?;Non potrete sposarvi con Jaime finché non saremo in pace con i nostri nemici. Volete partecipare al Concilio Ristretto?;Você não poderá se casar com Jaime até que estejamos em paz com todos os nossos inimigos. Deseja participar do pequeno conselho?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1256;hand;sansa;Now we're at peace, your wedding with Jaime is a unique opportunity to bring the Seven Kingdoms together.;;Maintenant que la paix règne, votre mariage avec Jaime est une opportunité unique d'unifier les Sept Couronnes.;Ahora que estamos en paz, vuestra boda con Jaime es una oportunidad única para unificar los Siete Reinos.;争いのない今でしたら、+ジェイミー殿との婚約は+七王国を一つにまとめる、+これとない機会となるでしょう。;이제 평화로우니, 제이미와의 결혼은 칠왕국이 함께할 특별한 기회를 만들어줄 것입니다.;战争终于结束了，您与詹姆的婚礼是+一统七王国的绝佳机会;戰爭終於結束了，您與詹姆的婚禮是+一統七王國的絕佳機會;Jetzt, wo Frieden herrscht, ist die Hochzeit mit Jaime eine einzigartige Gelegenheit, die Sieben Königslande zusammenzubringen.;Наконец-то наступил мир, и свадьба с Джейме может объединить все Семь Королевств.;Ora che siamo in pace, il vostro matrimonio con Jaime sarà un'occasione unica per unire i Sette Regni.;Agora que estamos em paz, seu casamento com Jaime será uma oportunidade única de reunir os Sete Reinos.;Let's go over it;;Parlons-en;Vamos a ocuparnos;早くしましょう;해보자꾸나;早动手早结束;早動手早結束;Gehen wir sie durch;Так тому и быть;Studiamo il da farsi;Vamos lá;;;;;;;;;;;;;Remind me later;;Plus tard, peut-être;Recordádmelo más tarde;後でまた報告して;나중에 알려다오;过会再提醒我;等一下再提醒我;Das hat Zeit bis später;Не сейчас;Ricordatemelo più tardi;Lembre-me depois;;;;;;;;;;;;;
_;1257;septon;sansa;We will have a grand ceremony in front of the Seven!;;Nous organiserons une cérémonie solennelle devant les Sept !;¡Organizaremos una gran ceremonia enfrente de los Siete!;七神正教の御前で+盛大な式を挙げましょう！;일곱 신 앞에서 성대한 축하를 엽시다!;我们将在七神面前举办盛大仪式！;我們將在七神面前舉辦盛大儀式！;Wir veranstalten eine große Zeremonie im Angesicht der Sieben!;Мы проведем пышную церемонию пред лицом Семерых!;Organizzeremo una cerimonia grandiosa al cospetto dei Sette!;Faremos uma grandiosa cerimônia diante dos Sete!;;;;;;;;;;;;;<i>Your decision to marry in front of the Seven was not well received by the Northmen and the Iron Islanders, which further delayed the wedding.</i>;;<i>Les Nordiens et les insulaires des Îles de Fer désapprouvent votre idée de noces devant les Sept et votre mariage est retardé.</i>;<i>Tu decisión de casarte frente a los Siete no fue bien recibida ni por los hombres del Norte ni por los las Islas del Hierro, lo cual ha retrasado aún más la boda.</i>;<i>七神正教の前で婚姻の儀を+執り行うという決断は、+北部と鉄諸島の者たちに+とって快いものではなく、+婚姻の予定をさらに+遅らせざるを得なかった。</i>;<i>일곱 신 앞에서의 당신의 결혼은 북부인과 강철 군도인들 때문에 받아들여지지 않았습니다. 이 때문에 결혼이 늦어졌습니다.</i>;<i>按照七神信仰举行的婚礼并不被北境人和铁群岛民看好，+婚礼一拖再拖</i>;<i>按照七神信仰舉行的婚禮並不被北境人和鐵群島民看好，+婚禮一拖再拖</i>;<i>Der Norden und die Eiseninseln nehmen Eure Entscheidung, im Zeichen der Sieben zu heiraten, nicht gut auf, was die Hochzeit weiter verzögert.</i>;<i>Северяне и жители Железных остров были не в восторге от ваших религиозных верований, что несколько отодвинуло дату церемонии.</i>;<i>La scelta di sposarvi al cospetto dei Sette non piace agli Uomini del Nord e agli abitanti delle Isole di Ferro: le nozze vengono rimandate.</i>;<i>Sua decisão de se casar diante dos Sete não foi bem recebida pelos Homens do Norte e Homens de Ferro, atrasando ainda mais o matrimônio.</i>;Not just the Seven;;Pas uniquement les Sept;No solo enfrente de los Siete;七神正教以外も見守るべき(だ*よ);일곱 신 앞에서만 할 순 없다;不能只有七神;不能只有七神;Nicht nur der Sieben;Не только пред Семерыми;Non solo dei Sette;Não só diante dos Sete;;;;;;;;;;;;;
_;1258;septon;sansa;Pardon me? You want to marry in front of all the gods of Westeros? Blasphemy!;;Comment ? Vous voulez vous marier devant tous les dieux de Westeros ? Blasphème !;¿Disculpad? ¿Queréis casaros frente a todos los dioses de Poniente? ¡Blasfemia!;ウェスタロスの全神々の前で+挙式を挙げたいと？+そんな異端は許されませんぞ！;뭐라고요? 웨스테로스의 모든 신 앞에서 결혼하시겠다는 겁니까? 이건 불경죄입니다!;您说什么？+您想在维斯特洛大陆所有神祇面前成婚？+这是渎神！;您說什麼？+您想在維斯特洛大陸所有神祇面前成婚？+這是瀆神！;Wie bitte? Ihr wollt im Angesicht aller Gottheiten von Westeros heiraten? Blasphemie!;Пред всеми богами Вестероса? Но это же ересь!;Come? Volete sposarvi al cospetto di tutte le divinità di Westeros? Blasfemia!;Como disse? Quer se casar diante de todos os deuses de Westeros? Blasfêmia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_;1259;greyjoy;sansa;Really, all the gods of the Seven Kingdoms? Even the Drowned God?;;Vraiment ? Tous les dieux des Sept Couronnes ? Même le Dieu Noyé ?;¿De verdad, todos los dioses de los Siete Reinos? ¿Incluso el Dios Ahogado?;七王国の全神々…+まさか溺神もか？;정말 칠왕국의 모든 신들 앞에서 결혼하실 겁니까? 익사한 신 앞에서도요?;认真的？七王国所有神都数了个遍，+连淹神都算？;真的嗎，七王國所有神都數遍了？+連淹神都算？;Wirklich alle Gottheiten der Sieben Königslande? Sogar der Ertrunkene Gott?;Так-таки перед всеми? Даже перед Утонувшим Богом?;Davvero tutte le divinità dei Sette Regni? Perfino il Dio Abissale?;Sério, todos os deuses dos Sete Reinos? Até o Deus Afogado?;;;;;;;;;;;;;<i>The High Septon tries his best to change your mind, but your resolve doesn't falter.</i>;;<i>Le Grand Septon essaie de vous faire changer d'avis, mais vous êtes inébranlable.</i>;<i>El Septón Supremo hace todo lo posible para cambiar tu opinión, pero tú no flaqueas en tu resolución.</i>;<i>ハイ・セプトンは必死で+あなたの考えを変えようとしたが、+決意が揺るぐことはなかった。</i>;<i>하이 셉톤은 최선을 다해 당신의 마음을 돌리려고 했지만, 당신은 마음을 돌리지 않았습니다.</i>;<i>大主教竭力劝你扭转心意，+但你的决心毫不动摇</i>;<i>大主教竭力勸你扭轉心意，+但你的決心毫不動搖</i>;<i>Der Hohe Septon versucht Euch umzustimmen, aber Eure Entschlossenheit gerät nicht ins Wanken.</i>;<i>Верховный септон изо всех сил пытается повлиять на вас, но ваше решение твердо.</i>;<i>L'Alto Septon fa del suo meglio per farvi cambiare idea, ma la vostra determinazione è incrollabile.</i>;<i>O Alto Septão se esforça para fazê-la mudar de ideia, mas você está decidida.</i>;;;;;;;;;;;;;;;;;;;;;;;;;
_;1260;arya;sansa;You did get the shiny Knight of your girlish dreams. A one-handed Lannister traitor, but shiny nonetheless.;;Tu as fini par trouver le preux chevalier de tes rêves. Un Lannister manchot, mais un chevalier malgré tout.;Conseguiste al deslumbrante caballero de tus sueños infantiles. Un Lannister traidor con una sola mano, eso sí, un Lannister deslumbrante.;今まであなたが夢見てた騎士様が+ようやく手に入ったのね。+片腕でラニスターの裏切り者だけど、+騎士には変わりないわ。;계집애처럼 꿈에도 그리던 빛나는 기사를 얻으셨군요. 배신자 외팔이 라니스터라니, 그래도 빛나긴 하지만요.;你还是小丫头时就想嫁给一个+穿着闪闪发光盔甲的骑士,终于实现了，+虽然只是个只剩一只手的兰尼斯特叛徒+但还算闪闪发光吧;你還是小女孩時就想嫁給一個+穿著閃閃發光盔甲的騎士,終於實現了，+雖然只是個剩一隻手的蘭尼斯特叛徒+但還算閃閃發光吧;Du hast den glänzenden Ritter deiner Mädchenträume bekommen. Einen Lennister-Verräter mit nur einer Hand, aber er glänzt.;Детская мечта исполнена — собственный рыцарь в сияющих доспехах. Он немного однорукий и слегка предатель, но это такие мелочи.;Il brillante cavaliere che sognavate è finalmente vostro. Un Lannister traditore e con una mano sola, ma pur sempre brillante.;Você conseguiu seu cavaleiro de armadura brilhante com que tanto sonhava. Apesar de ser um Lannister traidor e maneta.;Will you do what I asked?;;Tu feras ce que j'ai demandé ?;¿Harás lo que te pedí?;約束は果たす(よな*よね)？;내 부탁을 들어주겠어?;你会按我的请求做吗？;你會按我的請求做嗎？;Tust du, worum ich dich bat?;Ты исполнишь мою просьбу?;Farete ciò che vi ho chiesto?;Vai fazer o que eu pedi?;;;;;;;;;;;;;He is different;;Il est différent;Él es diferente;彼はそんなのじゃない;그는 다르다;他不一样;他不一樣;Er ist anders;Он не такой, как все;Lui è diverso;Ele mudou;;;;;;;;;;;;;
_;1261;arya;sansa;He will not be hurt, I promise you. I will be his shadow.;;Personne ne lui fera de mal, je te le promets. Je le suivrai comme son ombre.;No va a ser lastimado, te lo prometo. Seré su sombra.;彼の命は守ると約束する。+私が彼の影となって見守るわ。;그는 해가 되지 않을 거예요. 약속드리죠. 제가 그를 감시하겠습니다.;我向你保证，他不会受到任何伤害+我将一步不离、如影随形;我向你保證，他不會受到任何傷害+我將寸步不離、如影隨形;Ihm wird nichts geschehen, ich verspreche es dir. Ich werde sein Schatten sein.;Я стану его тенью. Клянусь, что с его головы не упадет ни один волос.;Non gli succederà niente, ve lo prometto. Sarò la sua ombra.;Ninguém irá machucá-lo, eu prometo. Eu serei a sombra dele.;Thank you;;Merci;Gracias;ありがとう;고맙군;谢谢你;謝謝你;Vielen Dank;Благодарю тебя;Grazie;Obrigada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
