id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp;empty
sfx_volume;SFX Volume;;Volume sons;Volumen;SE音量;SFX 볼륨;音效音量;音效音量;Lautstärke Effekte;Громкость звука;Volume effetti;Volume de sons;
togglevo;Voice-over;;Voix personnages;Voz en off;キャラクターボイス;캐릭터 음성;角色语音;角色語音;Dialog-Effekte;Голоса персонажей;Voce personaggi;Personagens dublados;
music_volume;Music Volume;;Volume musique;Volumen de la música;BGM音量;음악 볼륨;音乐音量;音樂音量;Lautstärke Musik;Громкость музыки;Volume musica;Volume da música;
language;Language;;Langue;Idioma;言語;언어;语言;語言;Sprache;Язык;Lingua;Idioma;
resolution;Screen resolution;;Résolution;Resolución de la pantalla;画面解像度;화면 해상도;屏幕分辨率;螢幕解析度;Bildschirmauflösung;Разрешение экрана;Risoluzione schermo;Resolução da tela;
togglewin;Full screen;;Plein écran;Pantalla completa;フルスクリーン;전체화면;全屏;全屏;Vollbild;Полноэкранный;Schermo intero;Tela cheia;
apply;APPLY;;APPLIQUER;APLICAR;適用;적용;应用;應用;ANWENDEN;ПРИМЕНИТЬ;APPLICA;APLICAR;
link1;TRAILER & CREDITS;;BANDE-ANNONCE & CRÉDITS;TRÁILER Y CRÉDITOS;トレイラー&クレジット;트레일러 & 크래딧;预告片+制作名单;預告片+製作名單;TRAILER & MITWIRKENDE;ТРЕЙЛЕР И АВТОРЫ;TRAILER E RICONOSCIMENTI;TRAILER E CRÉDITOS;
start;START;;JOUER;COMENZAR;START;시작;开始;開始;START;НАЧАТЬ;INIZIA;INICIAR;
swipe;SWIPE;;BALAYEZ;DESLIZAR;スワイプ;넘기기;滑动;滑動;WISCHEN;ПРОВЕДИТЕ;FAI SCORRERE;DESLIZAR;
gameover;THE END;;FIN;FIN;THE END;끝;剧终;劇終;ENDE;КОНЕЦ;FINE;FIM;
camera_usage;Reigns: Game of Thrones would like to use your camera so that the characters who trust you can look you in the eyes.;;Reigns: Game of Thrones souhaite utiliser votre caméra pour que les personnages qui vous font confiance puissent vous regarder dans les yeux.;A Reigns: Juego de Tronos le gustaría que usases tu cámara para que los personajes que se fían de ti puedan mirarte a los ojos.;Reigns: Game of Throneはカメラを利用することで、+あなたを信用しているキャラクターが目を合わせるようになります。;Reigns: 왕좌의 게임은 신뢰할 수 있는 인물이 눈을 마주할 수 있도록 카메라를 사용하고자 합니다.;王权：权力的游戏想使用摄像头，+以便信任你的角色+可以直视你的双眼;王權：權力的+遊戲想使用鏡頭，以便信任你的角色+可以直視你的雙眼;Reigns: Game of Thrones möchte die Kamera nutzen, damit Charaktere, die Euch vertrauen, Euch in die Augen sehen können.;Reigns: Game of Thrones запрашивает разрешение на использование камеры, чтобы ваши верные подданные могли смотреть вам в глаза.;Reigns: Game of Thrones vorrebbe usare la tua videocamera, così i personaggi che si fidano di te possono guardarti negli occhi.;Reigns: Game of Thrones gostaria de usar sua câmera para que os personagens que confiam em você possam olhar nos seus olhos.;
resetall_label;Unfortunately a reset is required to enjoy this upgrade.;;La sauvegarde semble corrompue. Voulez-vous la réinitialiser ?;Los datos del juego parecen estar dañados. ¿Reiniciar todo?;ゲームデータが破損しているようです。+全データをリセットしますか？;게임 데이터가 손상된 듯합니다. 초기화하시겠습니까?;疑似游戏数据损毁+是否全部重置？;疑似遊戲數據損毀+是否全部重置？;Spieldaten scheinen beschädigt zu sein. Alles zurücksetzen?;Данные повреждены. Начать все заново?;I dati di gioco sembrano essere danneggiati. Vuoi resettarli?;Os dados de jogo parecem estar corrompidos. Apagar tudo?;
reset_label;Do you want to reset the game?;;Voulez-vous réinitialiser la partie ?;¿Quieres reiniciar el juego?;ゲームをリセットしますか？;게임을 초기화하시겠습니까?;您确定要重置游戏吗？;您確定要重置遊戲嗎？;Spiel zurücksetzen?;Вы точно хотите начать заново?;Vuoi resettare il gioco?;Deseja reiniciar o jogo?;
likeit0;Like this game?;;Vous avez aimé ce jeu ?;¿Te gusta este juego?;ゲームをお気に召しましたか？;게임이 마음에 드시나요?;您喜欢这款游戏吗？;您喜歡這款遊戲嗎？;Euch gefällt dieses Spiel?;Вам нравится игра?;Ti piace questo gioco?;Curtiu o jogo?;
likeit1;Buy the full version!;;Achetez la version complète !;¡Comprar la versión completa!;完全版を買ってください！;풀버전을 구매해보세요!;购买完整版吧！;購買完整版吧！;Kauft die Vollversion!;Купите полную версию!;Acquista la versione completa!;Compre a versão completa!;
reset;RESET;;RÉINITIALISER;REINICIAR;RESET;초기화;重置;重置;ZURÜCKSETZEN;ЗАНОВО;RESETTA;REINICIAR;
quit_label;Do you want to quit the game?;;Quitter le jeu ?;¿Quieres salir del juego?;ゲームを終了しますか？;게임을 종료하시겠습니까?;您确定退出吗？;您確定退出嗎？;Spiel beenden?;Вы точно хотите выйти из игры?;Vuoi uscire dal gioco?;Deseja sair do jogo?;
quit;QUIT;;QUITTER;ABANDONAR;ゲームを終了;종료;退出;退出;BEENDEN;ВЫЙТИ;ESCI;SAIR;
cancel;CANCEL;;ANNULER;CANCELAR;キャンセル;취소;取消;取消;ABBRECHEN;ОТМЕНА;ANNULLA;CANCELAR;
credits0;Game dev;;Développeur;Programador;開発;게임 개발;开发者;開發者;Entwicklung;Разработка;Sviluppo;Desenv. do jogo;
names0;François Alliot;;François Alliot;François Alliot;Francois Alliot;Francois Alliot;François Alliot;François Alliot;François Alliot;Francois Alliot;François Alliot;François Alliot;
credits1;Art;;Graphismes;Arte;アート;아트;美术;美術;Grafik;Художественное исполнение;Grafica;Arte;
names1;Arnaud De Bock+Irène Navarro;;Arnaud De Bock+Irène Navarro;Arnaud De Bock + Irène Navarro;Arnaud De Bock+Irène Navarro;Arnaud De Bock+Irene Navarro;Arnaud De Bock+Irène Navarro;Arnaud De Bock+Irène Navarro;Arnaud De Bock+Irène Navarro;Arnaud De Bock+Irene Navarro;Arnaud De Bock+Irène Navarro;Arnaud De Bock+Irène Navarro;
credits2;Writing;;Scénario;Escritura;ライティング;작가;剧本;劇本;Texte;Сценарий;Testi;Roteiro;
names2;Tamara Alliot+Leigh Alexander+François Alliot;;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot + Leigh Alexander + François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;Tamara Alliot+Leigh Alexander+François Alliot;
credits3;Audio direction;;Direction audio;Dirección de audio;オーディオディレクション;오디오 감독;音效指导;音效指導;Audio-Regie;Аудиорежиссура;Direzione audio;Direção de áudio;
names3;Eric Van Amerongen;;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;Eric Van Amerongen;
credits5;Trailer;;Bande-annonce;Tráiler;トレイラー;트레일러;预告片+制作名单;預告片+製作名單;Trailer;Трейлер;Trailer;Trailer;
names5;Powerhouse animation studios+Kert Gartner;;Powerhouse animation studios+Kert Gartner;Powerhouse animation studios+Kert Gartner;Powerhouse animation studios+Kert Gartner;Powerhouse animation studios+Kert Gartner;Powerhouse animation studios+Kert Gartner;Powerhouse animation studios+Kert Gartner;Powerhouse animation studios+Kert Gartner;Студия Powerhouse+Kert Gartner;Powerhouse Animation Studios+Kert Gartner;Powerhouse animation studios+Kert Gartner;
credits6;Additional music;;Musique supplémentaire;Música adicional;追加の音楽;오디오 보조;额外音乐;額外音樂;Zusätzliche Musik;Дополнительная музыка;Musica aggiuntiva;Música adicional;
names6;Ryan Ike;;Ryan Ike;Ryan Ike;Ryan Ike;Ryan Ike;Ryan Ike;Ryan Ike;Ryan Ike;Ryan Ike;Ryan Ike;Ryan Ike;
credits7;Translation;;Traduction;Traducción;翻訳;번역;本地化;本地化;Übersetzung;Перевод;Traduzione;Tradução;
names7;Loc & Load;;Loc & Load;Raquel Moreno;Toyofumi Morita;Bada Im+HyungSeok Cho;Loc & Load;Loc & Load;Loc & Load;Loc & Load;Loc & Load;Loc & Load;
credits8;Devolver Digital;;Devolver Digital;Devolver Digital;Devolver Digital;Devolver Digital;Devolver Digital;Devolver Digital;Devolver Digital;Devolver Digital;Devolver Digital;Devolver Digital;
names8;Nigel and Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+The rest of the team;;Nigel et Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+Toute l'équipe;Nigel y Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+el resto del equipo;Nigel and Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+チームの他の方々;Nigel and Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+그리고 나머지 팀원들;Nigel and Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+The rest of the team;Nigel and Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+The rest of the team;Nigel und Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+der Rest des Teams;Nigel and Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+все остальные;Nigel e Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+Il resto della squadra;Nigel e Kristen Lowrie+Harry Miller+Kate Ludlow+Stephanie Tinsley+Anna Sajecka+Jonathan Rosales+todo resto da equipe;
credits9;HBO;;HBO;HBO;HBO;HBO;HBO;HBO;HBO;HBO;HBO;HBO;
names9;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;Stacey Abiraj+Michele Caruso+John Ericson+Janis Fein+Jeff Peters+Will Price;
credits10;Thanks to...;;Un grand merci à;Gracias a...;スペシャルサンクス;스페셜 땡스;鸣谢;感謝;Danke an ...;Отдельные благодарности...;Grazie a...;Agradecimentos...;
names10;Elio & Linda+And all our testers, friends and family.;;Elio & Linda+Tous les testeurs, tous nos amis et nos proches.;Elio & Linda+nuestros testers, amigos y familiares.;Elio & Linda+テスター、友人、家族の皆様方;Elio & Linda+그리고 모든 테스터와 친구, 가족들;Elio & Linda+And all our testers, friends and family.;Elio & Linda+And all our testers, friends and family.;Elio & Linda+und all unsere Tester, Freunde und Familienmitglieder.;Elio & Linda+всем тестировщикам, друзьям и родственникам.;Elio e Linda+Tutti i tester, gli amici e i nostri familiari.;Elio & Linda+e todos os nossos testadores, amigos e familiares.;
kingdom_update;KINGDOM UPDATE;;MISE À JOUR DU ROYAUME;ACTUALIZACIÓN DEL REINO;王国アップデート;왕국 갱신;帝国已更新;帝國已更新;KÖNIGREICH-UPDATE;ОБНОВЛЕНИЕ КОРОЛЕВСТВА;AGGIORNAMENTO REGNO;ATUALIZAÇÃO DO REINO;
;NEW CARDS!;;NOUVELLES CARTES !;¡CARTAS NUEVAS!;新カード発見！;새로운 카드!;新卡牌！;新卡牌！;NEUE KARTEN!;НОВЫЕ КАРТЫ!;NUOVE CARTE!;NOVAS CARTAS!;
kingdom_stats;KINGDOM;;ROYAUME;REINO;王国;왕국;帝国名称;帝國名稱;KÖNIGREICH;КОРОЛЕВСТВО;REGNO;REINO;
objective_stats;Royal deeds;;Actions royales;Acta Real;功績;위업;皇家事迹;皇家事蹟;Königliche Taten;Королевские деяния;Azioni reali;Feitos reais;
;objectives fulfilled;;objectifs remplis;objetivos cumplidos;達成した目標;완료한 목표;目标已完成;目標已完成;erfüllte Ziele;целей выполнено;obiettivi raggiunti;objetivos concluídos;
endcard_stats;Memento mori;;Memento mori;Memento mori;歴代王の最期;죽음의 상징;凡人终死;凡人終死;Memento mori;Помни о смерти;Memento mori;Memento mori;
;destinies met;;morts subies;destinos sufridos;体験した最期;확인한 죽음;种命运已体验;種命運已體驗;erkundete Schicksale;смертей найдено;destini compiuti;destinos cumpridos;
character_stats;Portrait gallery;;Galerie de portraits;Galería de retratos;ポートレートギャラリー;초상화 갤러리;肖像画廊;肖像畫廊;Porträt-Galerie;Галерея;Galleria ritratti;Galeria de retratos;
;characters encountered;;personnages rencontrés;personajes encontrados;出会ったキャラクター;만난 캐릭터;名角色已相遇;名角色已相遇;getroffene Charaktere;персонажей встречено;personaggi incontrati;personagens encontrados;
card_stats;null;;;nulo;null;null;无;無;null;null;;;
;cards discovered;;cartes découvertes;cartas descubiertas;発見したカード;발견한 카드;张卡片已发现;張卡片已發現;entdeckte Karten;карт найдено;carte scoperte;cartas descobertas;
highscore_stats;HIGH SCORE;;MEILLEUR SCORE;PUNTUACIÓN MÁS ALTA;HIGH SCORE;최고 기록;高分榜;高分榜;BESTPUNKTZAHL;РЕКОРД;PUNTEGGIO MIGLIORE;RECORDE;
destiny;NEW DESTINY;;NOUVELLE MORT;NUEVO DESTINO;新たなる運命;새로운 운명;新的命运;新的命運;NEUES SCHICKSAL;НОВАЯ СУДЬБА;NUOVO DESTINO;NOVO DESTINO;
highscore_label;NEW;;NOUVEAU;NUEVO;NEW;신기록;新成绩;新成績;NEUE;НОВЫЙ;NUOVO;NOVO;
;HIGH SCORE;;MEILLEUR SCORE;PUNTUACIÓN MÁS ALTA;HIGH SCORE;최고 기록;新高分！;新高分！;BESTPUNKTZAHL;РЕКОРД;PUNTEGGIO MIGLIORE;RECORDE;
noeffect;You have neither curse, nor spell, nor magical item, nor special event.;;Vous n'avez rien : aucune malédiction, aucun sort, aucun artéfact magique...;No tienes ni maldición, ni hechizo, ni objeto mágico, ni evento especial.;呪い、魔術、+魔法のアイテムや+特別なイベントを+何一つとして持たない。;저주, 주문, 마법 물건이나 특정 이벤트를 소지하고 있지 않습니다.;你既没诅咒，也没法术、法器+或遭遇特殊事件;你既沒詛咒，也沒法術、法器+或遭遇特殊事件;Kein Fluch oder Zauber, kein magischer Gegenstand, kein besonderes Ereignis.;На вас не наложено проклятья и у вас нет каких-то особых способностей.;Non hai maledizioni, incantesimi, oggetti magici o eventi speciali.;Você não tem maldições, feitiços, itens mágicos nem eventos especiais.;
nothing;Nothing;;Rien !;Nada;なし;없음;啥都没有;什麼都沒有;Nichts;Забудь;Niente;Nada;
portrait;Portrait mode;;Mode Portrait;Modo retrato;ポートレートモード;초상화 모드;(国王*王后);(國王*王后);Porträt-Modus;Портретный режим;Modalità Ritratto;Modo retrato;
achieve;Achievements;;Succès;Logros;実績;도전과제;竖屏模式;豎屏模式;Erfolge;Достижения;Obiettivi;Conquistas;
saving;Cloud Save;;Sauvegarde dans le cloud;Almacenamiento en la Nube;クラウドセーブ;클라우드 저장;云端存储;雲端存儲;Cloud-Spielstand;Облачное сохранение;Salvataggio su cloud;Gravação na nuvem;
highscore;Leaderboard;;Classement;Tabla de clasificación;ランキング;순위표;排行榜;排行榜;Bestenliste;Доска лидеров;Classifica;Placar de líderes;
title;Reigns;;Reigns;;Reigns;Reigns;Reigns;Reigns;Reigns;Reigns;Reigns;Reigns;
title2;Game of Thrones;;Game of Thrones;Juego de Tronos;Game of Thrones;왕좌의 게임;Game of Thrones;Game of Thrones;Game of Thrones;Game of Thrones;Game of Thrones;Game of Thrones;
fulltitle;Reigns: Game of Thrones;;Reigns: Game of Thrones;Reigns: Juego de Tronos;Reigns: Game of Thrones;Reigns: 왕좌의 게임;王权：权力的游戏;王權：權力遊戲;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Game of Thrones;
subtitle;Sit on the Iron Throne;;Prenez place sur le Trône de Fer;Siéntate en el Trono de Hierro;鉄の玉座に座れ;철왕좌에 앉는다;坐上铁王座;坐上鐵王座;Nehmt Platz auf dem Eisernen Thron;Железный трон ждет;Siediti sul Trono di Spade;Sente no Trono de Ferro;
getitnow;Get it now;;Acheter;Píllalo ahora;今すぐ入手;지금 얻기;现在获取;現在獲取;Jetzt holen;Именно вас;Ottieni subito;Obtenha agora;
watchtrailer;Watch a trailer;;Regarder une bande-annonce;Ver un tráiler;トレイラーを見る;트레일러 감상;观看预告片;觀看預告片;Trailer ansehen;Посмотреть трейлер;Guarda un trailer;Assista a um trailer;
the;The;;(Le*La);(El*La); ;(국왕*여왕); ; ;(Der*Die);Их;(Il*La);(O*A);
ruler;(King*Queen);;(Roi*Reine);(Rey*Reina);(王*女王);폐하;(国王*王后);(國王*王后);(König*Königin);Светлость;(Re*Regina);(Rei*Rainha);
isdead;is dead;;(est mort*est morte).;está (muerto*muerta);が崩御！;께서 돌아가셨습니다;驾崩;駕崩;ist tot;мертвы;è (morto*morta);morreu;
isgone;is gone;;(est parti*est partie).;nos ha dejado;が失踪！;께서 승하하셨습니다;离我们而去;離我們而去;ist fort;пропали;se n'è (andato*andata);se foi;
longlive;Long may (he*she);;Longue vie;Larga vida;(国王*女王)陛下の統治が;오래도록;愿(他*她);願(他*她);Lang möge (er*sie);Да здравствует;Possa regnare;Que seja longo;
reigns;reign;;(au Roi*à la Reine) !;(al Rey*a la Reina);栄えんことを！;통치하실 지어다;长治久安;長治久安;herrschen;Их Величество;a lungo;o seu reinado;
little_bird;Pug;;Pug;Pugo;パグ;퍼그;小帕;小帕;Pug;Паг;Pug;Pug;
;Jep;;Jep;Jepo;ジェプ;젭;小杰;小傑;Jep;Джеп;Jep;Jep;
;Don;;Don;Donio;ドン;돈;小唐;小唐;Don;Дон;Don;Don;
;Mel;;Mel;Melo;メル;멜;小梅;小梅;Mel;Мэл;Mel;Mel;
;Bru;;Bru;Bruno;ブルー;브루;布鲁;布魯;Bru;Бру;Bru;Bru;
essos_first_female;Phenira;;Phénira;Fenira;フェニラ;페니라;翡妮拉;翡妮拉;Phenira;Фенира;Phenira;Phenira;
;Hela;;Héla;Helada;ヘラ;헬라;海拉;海拉;Hela;Хела;Hela;Hela;
;Orianna;;Orianna;Ileana;オリアナ;오리아나;奥莉安娜;奧莉安娜;Orianna;Орианна;Orianna;Orianna;
;Ilora;;Ilora;Llorona;イローラ;일로라;爱萝拉;愛蘿拉;Ilora;Илора;Ilora;Ilora;
essos_first_male;Belo;;Bélo;Bello;ベロー;벨로;贝洛;貝洛;Belo;Бело;Belo;Belo;
;Vyroros;;Vyroros;Vigoroso;ヴィロロス;바이로로스;维洛罗斯;維洛羅斯;Vyroros;Виророс;Vyroros;Vyroros;
;Lazello;;Lazello;Lazuelo;ラゼロ;라젤로;拉齐罗;拉齊羅;Lazello;Лазелло;Lazello;Lazello;
;Brachar;;Brachar;Brachario;ブラチャール;브라샤;布拉查;布拉查;Brachar;Брахар;Brachar;Brachar;
essos_last;Eraniros;;Éraniros;Eráculo;エラニロス;에라니로스;伊兰尼罗斯;伊蘭尼羅斯;Eraniros;Эранирос;Eraniros;Eraniros;
;Ostion;;Ostion;Ostión;オスティオン;오스티온;奥斯坤;奧斯坤;Ostion;Остион;Ostion;Ostion;
;Forohrin;;Forohrin;Fororín;フォローリン;포로린;佛罗林;佛羅林;Forohrin;Форорин;Forohrin;Forohrin;
;Mopaar;;Mopaar;Mopario;モパール;모파;莫帕尔;莫帕爾;Mopaar;Мопаар;Mopaar;Mopaar;
west_first_female;Klissa;;Klissa;Claudia;クリッサ;클리샤;柯丽萨;柯麗薩;Klissa;Клисса;Klissa;Klissa;
;Aline;;Aline;Alina;アリン;알리네;艾琳;艾琳;Aline;Алин;Aline;Aline;
;Addysen;;Addysen;Addysina;アディセン;아디센;艾迪森;艾迪森;Addysen;Эддисэн;Addysen;Addysen;
;Mearow;;Mearow;Miara;ミアロー;메아로우;米萝;米蘿;Mearo;Мироу;Mearow;Mearow;
;Cira;;Cira;Cira;シラ;시라;艾伦;艾倫;Cira;Цира;Cira;Cira;
;Taria;;Taria;Teresiña;タリア;타리아;塔莉亚;塔莉亞;Taria;Тарья;Taria;Taria;
;Lyla;;Lyla;Azucena;ライラ;라일라;莱拉;萊拉;Lyla;Лила;Lyla;Lyla;
;Maecy;;Maecy;Rosa;メイシー;메이시;梅茜;梅茜;Maesy;Мэйси;Maecy;Maecy;
;Jaena;;Jaena;Jaena;ジェイナ;제이나;杰娜;傑娜;Jaena;Джейна;Jaena;Jaena;
;Pansy;;Pansy;Pensiva;パンシー;판시;潘西;潘西;Pansy;Панси;Pansy;Pansy;
;Joenne;;Joenne;Joana;ジョンヌ;조엔;约翰妮;約翰妮;Joenne;Джоанна;Joenne;Joenne;
;Raina;;Raina;Raina;ライナ;라이나;莱娜;萊娜;Raina;Рэйна;Raina;Raina;
;Nalia;;Nalia;Nalia;ナリア;날리아;娜丽亚;娜麗亞;Nalia;Налья;Nalia;Nalia;
;Eleana;;Éléana;Lisa;エレアナ;엘레아나;艾琳娜;艾琳娜;Eleana;Элеана;Eleana;Eleana;
;Shana;;Shana;Xuxa;シャナ;샤나;夏娜;夏娜;Shana;Шана;Shana;Shana;
west_first_male;Rylon;;Rylon;Ricardo;ライロン;라일론;瑞伦;瑞倫;Rylon;Рилон;Rylon;Rylon;
;Gerrad;;Gerrad;Gerardo;ジェラード;게라드;杰拉德;傑拉德;Gerrad;Джеррад;Gerrad;Gerrad;
;Jovarn;;Jovarn;Josua;ジョバーン;조반;乔万;喬萬;Jovarn;Джоварн;Jovarn;Jovarn;
;Dougas;;Dougas;Diego;ドウガス;더가스;道格斯;道格斯;Dougas;Дугас;Dougas;Dougas;
;Tyron;;Tyron;Tiranín;タイロン;타이론;泰伦;泰倫;Tyron;Тирон;Tyron;Tyron;
;Ashter;;Ashter;Cenizo;アシュター;애쉬터;阿斯特;阿斯特;Ashter;Аштер;Ashter;Ashter;
;Elrin;;Elrin;Eloy;エルリン;엘린;厄林;厄林;Elrin;Элрин;Elrin;Elrin;
;Grenn;;Grenn;Raúl;グレン;그렌;葛兰;葛蘭;Grenn;Гренн;Grenn;Grenn;
