id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp
_final_good;The End n°3;3. Son;Fin n°3;Final n°3;第三の終幕;엔딩 No.3;结局3;結局3;Drittes Ende;Концовка №3;La fine n°3;O final nº 3
_final_good_descript;Defeat the program;Programı yen;Hacker le programe;Derrotar el programa;プログラムに勝つ;프로그램을 쓰러뜨린다;打败计划;打敗計劃;Besiegt das Programm;Победить программу;Sconfiggi il programma;Derrote o programa
longest_reign2;The longest Reign;En uzun Saltanat;Le Règne le plus long;El reinado más largo;最長統治期間;최장 통치 기간;最长在位;最長在位;Die längste Herrschaft;Самое долгое правление;Il Regno più lungo;O reinado mais longo
longest_reign2_unit;year;yıl;an;año;年;년;年;年;Jahr;год/года/лет;anno;ano
longest_reign2_units;years;yıl;ans;años;年;년;年;年;Jahre;год/года/лет;anni;anos
allcharacters2;All the characters;Tüm karakterler;Tous les personnages;Todos los personajes;キャラクターコンプ;인맥왕;所有角色;所有角色;Alle Charaktere;Знакомые все лица;Tutti i personaggi;Todos os personagens
allcharacters2_descript;Meet all the characters;Tüm karakterlerle tanış;Rencontrer tous les personnages;Conocer a todos los personajes;すべてのキャラクターと出会う;모든 캐릭터를 만난다;结识所有角色;認識所有角色;Begegnet allen Charakteren;Встретить всех персонажей;Incontra tutti i personaggi;Encontre todos os personagens
alldeaths2;All the deaths;Tüm ölümler;Toutes les morts;Todas las muertes;デスコンプ;죽음왕;所有死法;所有死法;Alle Tode;Всем смертям бывать;Tutte le morti;Todas as mortes
alldeaths2_descript;Suffer all the deaths;Tüm ölümleri yaşa;Subir toutes les morts;Sufrir todas las muertes;すべての最期を体験する;모든 종류의 죽음을 체험한다;死法全体验;體驗所有死法;Erleidet alle Tode;Умереть всеми смертями;Subisci tutte le morti;Sofra todas as mortes
below3y2;Candle in the wind;Yıldız kayması;Étoile filante;Estrella fugaz;徒花女王;유성왕;流星;流星;Sternschnuppe;Падающая звезда;Meteora;Estrela cadente
below3y2_descript;Survive less than 3 years;3 yıldan az hüküm sür;Être au pouvoir moins de 3 ans;Mantenerse en el poder menos de 3 años;3年未満で崩御する;즉위 3년 미만에 승하한다;即位不满3年;即位不滿3年;Regiert weniger als 3 Jahre;Править менее трех лет;Governa per meno di 3 anni;Sobreviva por menos de 3 anos
millenium2;Millenium;Milenyum;Millénaire;Milenio;千年女王;밀레니엄;千禧;千禧;Millennium;Миллениум;Millennio;Milênio
millenium2_descript;Reach the year 2000;2000 yılına ulaş;Atteindre l'an 2000;Llegar al año 2000;2000年に到達する;2000년에 도달한다;达到2000年;抵達2000年;Erreicht das Jahr 2000;Дожить до 2000 года;Raggiungi l'anno 2000;Chegue ao ano 2.000
over50y2;Crone;Yaşlı;Ancien;Anciano;老女王;노인왕;长者;長者;Älteste;Старший;Anziana;Anciã
over50y2_descript;Rule for more than 50 years;50 yıldan fazla hüküm sür;Être au pouvoir plus de 50 ans;Mantenerse en el poder más de 50 años;50年以上統治する;50년 이상 통치한다;治国50年以上;治國50年以上;Regiert mehr als 50 Jahre;Править более 50 лет;Governa per più di 50 anni;Governe por mais de 50 anos
over100y2;Great Crone;Mumya;Momie;Momia;永生女王;미라왕;木乃伊;木乃伊;Mumie;Мумия;Megera;Múmia
over100y2_descript;Govern more than 100 years;100 yıldan fazla hüküm sür;Être au pouvoir plus d'un siècle;Mantenerse en el poder más de un siglo;100年以上統治する;100년 이상 통치한다;治国百年以上;治國百年以上;Regiert mehr als 100 Jahre;Править более 100 лет;Governa per più di 100 anni;Governe por mais de 100 anos
over100deaths2;Hecatomb;Katliam;Hécatombe;Hecatombe;百の犠牲;사망전문가;百人坑;百人坑;Hekatombe;Гекатомба;Ecatombe;Hecatombe
over100deaths2_descript;Suffer more than a hundred deaths;Yüzden fazla ölüm yaşa;Subir plus de 100 morts;Sufrir más de 100 muertes;100回以上死ぬ;100번 이상 사망한다;死亡百次以上;死亡百次以上;Erleidet mehr als 100 Tode;Умереть более сотни раз;Subisci più di cento morti;Sofra mais de cem mortes
