tag;title;tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;description;tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description
valyrian_super;Valyrian Dust;;Poussière Valyrienne;Polvo Valyrio;ヴァリリアの粉;발리리아 가루;瓦雷利亚土;瓦雷利亞土;Valyrischer Staub;Валирийская пыль;Polvere valyriana;Pó valiriano;You have produced a myriad of Valyrian blades and arrowheads, thanks to the formula you have unearthed.;;Vous avez produit une multitude d'armes et de flèches valyriennes grâce à la formule que vous avez découverte.;Has producido un gran número de espadas y puntas de flecha de acero valyrio, gracias a la fórmula que has descubierto.;ヴァリリア鋼の武器と+矢じりを数多く生産した。+見つけた製造法が役に立ったのだ。;당신이 출토한 제조법 덕분에, 무수히 많은 발리리아 칼과 화살촉을 만들 수 있게 되었습니다.;你成功打造了大量瓦雷利亚剑刃和箭矢+多亏了你发现的配方;你成功打造了大量瓦雷利亞劍刃和箭矢+多虧了你發現的配方;Dank der von Euch entdeckten Formel habt Ihr eine Unzahl valyrischer Klingen und Pfeilspitzen hergestellt.;Загадочный рецепт позволил вам произвести бесчисленное множество валирийских клинков и стрел.;Grazie alla formula che avete scoperto, avete prodotto una miriade di lame e punte di freccia valyriane.;Você produziu uma infinidade de lâminas e flechas de aço valiriano graças à fórmula que você trouxe à luz.
jaime_super;The Faithful;;Le Fidèle;El Fiel;信奉者;신실한 자;忠心耿耿;忠心耿耿;Der Treue;Верность;Il Devoto;O fiel;You will not die by the hand of your lover when you have too much <*money*>. Is it honor, or the memory of Cersei?;;Votre maîtresse ne vous tuera pas si vous avez trop d'<*argent*>. Par sens de l'honneur ou en souvenir de Cersei ?;Al tener demasiado <*dinero*>, no morirás a manos de tu amante. ¿Es el honor, o el recuerdo de Cersei?;<*金*>をあまりにも多く溜め込んでも、+恋人に殺されることはなくなった。+名誉かサーセイの記憶、+どちらだろうか。;<*돈*>을 많이 지니고 있더라도 연인의 손에 죽지 않습니다. 명예 때문일까요, 아니면 세르세이의 기억 때문일까요?;<*金钱*>过多的时候+你不会死于情人之手+是因为荣誉吗，还是对瑟曦的回忆？;<*金錢*>過多的時候+你不會死於情人之手+是因為榮譽嗎，還是對瑟曦的回憶？;Ihr werdet nicht durch die Hand Eurer Geliebten sterben, wenn Ihr zu viel <*Geld*> habt. Ist das Ehre oder die Erinnerung an Cersei?;Даже купаясь в <*деньгах*>, вы можете не бояться смерти от рук любовницы. Честь ли это, память о Серсее ли?;Non morirete per mano della vostra amante quando avrete troppo <*denaro*>. È onore o solo il ricordo di Cersei?;Você não será morto pela sua amante quando tiver <*dinheiro*> demais. Será honra, ou a lembrança de Cersei?
lightbringer_super;The Sword;;L'Épée;La Espada;剣;검;神剑;神劍;Das Schwert;Меч;La spada;A espada;The people of Westeros are convinced that you are the legendary Azor Ahai. By not denying this belief you manage to unite the Seven Kingdoms.;;Le peuple de Westeros est convaincu que vous êtes le légendaire Azor Ahai. Vous ne niez pas et unifiez le royaume des Sept Couronnes.;El pueblo de Poniente está convencido de que eres el legendario Azor Ahai. Al no negar esta creencia, logras unirficar los Siete Reinos.;七王国を一つに統べるという+信念を否定しないことから、+ウェスタロスの人々はあなたを+伝説のアゾル・アハイではないかと信じている。;웨스테로스의 사람들은 당신이 전설 속의 아조르 아하이라고 믿습니다. 이 믿음을 부정하지 않은 당신은 칠왕국을 연합시켰습니다.;维斯特洛人民深信你就是+传说中的亚梭尔·亚亥+你默认了这一信仰，从而统一了七王国;維斯特洛人民深信你就是+傳說中的亞梭爾·亞亥+你默認了這一信仰，從而統一了七王國;Die Bewohner von Westeros halten Euch für den legendären Azor Ahai. Indem Ihr das nicht bestreitet, könnt Ihr die Sieben Königslande einen.;Весь Вестерос верит в то, что вы и есть Азор Ахай. Вы не стали никого разубеждать, и теперь Семь Королевств ваши.;Il popolo di Westeros è convinto che voi siate il leggendario Azor Ahai. Non negandolo, riuscite a unire i Sette Regni.;O povo de Westeros está convencido de que você é Azor Ahai renascido. Por não negar essa crença, você consegue unir os Sete Reinos.
gendry_super;Bastard King;;Roi Bâtard;Rey Bastardo;ならず者の王;서자왕;私生子王;私生子王;Bastardkönig;Король-бастард;Re Bastardo;O rei bastardo;The <*people*> of Westeros consider you as one of there own. They will not overthrow you, even if you mistreat them.;;Le <*peuple*> de Westeros vous considère comme l'un des leurs. Ils ne vous renverseront pas, même si vous les maltraitez.;El <*pueblo*> de Poniente te ve como uno de los suyos. No te echarán del trono, ni siquiera aunque les maltrates.;ウェスタロスの<*人々*>は+あなたを同胞だと思っている。+どれだけ彼らを虐げても、+彼らに王座を降ろされることはないだろう。;웨스테로스의 <*백성*>들은 당신을 동지로 여깁니다. 당신이 백성들을 잘못 대하더라도 결코 당신을 타도하러 오지 않을 것입니다.;维斯特洛的<*民众*>将你视作同辈+你再怎样暴虐也不会推翻你;維斯特洛的<*民眾*>將你視作同輩+你再怎樣暴虐也不會推翻你;Das <*Volk*> von Westeros betrachtet Euch als einen von ihnen. Es wird Euch nicht stürzen, selbst wenn Ihr es schlecht behandelt.;<*Народ*> Вестероса считает вас своим в доску — уж крестьянского восстания вы точно можете не бояться.;Il <*popolo*> di Westeros vi considera parte di loro. Gli abitanti non vi rovesceranno, anche se li maltrattate.;O <*povo*> de Westeros se identifica com você por suas origens humildes. Eles não tentarão tirá-lo do trono, mesmo que você os maltrate.
horn_super;Horn of Winter;;Corne de l'Hiver;Cuerno del Invierno;冬の角笛;겨울의 뿔피리;冬日号角;冬日號角;Horn des Winters;Рог Зимы;Corno dell'Inverno;Berrante do Inverno;Blow the Horn of Winter to wake up giants from deep in the earth and lay waste to the Night King's armies.;;Utilisez la Corne de l'Hiver pour réveiller les géants assoupis sous terre et éliminer les armées du Roi de la Nuit.;Sóplalo para despertar a los gigantes de las profundidades y haz estragos en el ejército del Rey de la Noche.;冬の角笛を吹くことで+地底深くに眠る巨人たちを呼び起こし、+夜の王の軍勢を滅ぼそう。;겨울의 뿔피리를 불어 땅 아래에 있는 거인들을 깨우고 밤의 왕의 군대를 초토화시키십시오.;吹响冬日号角，唤醒地下沉睡的巨人+一举摧毁夜王的军队;吹響冬日號角，喚醒地下沉睡的巨人+一舉摧毀夜王的軍隊;Blast das Horn des Winters, um Riesen tief unter der Erde zu wecken und die Armeen des Nachtkönigs zu vernichten.;Рог Зимы может призвать к жизни великанов, дремлющих глубоко под землей, и обратить армию Короля Ночи в прах.;Suonate il Corno dell'Inverno per svegliare i giganti nelle profondità della terra e devastare le armate del Re della Notte.;Toque o Berrante do Inverno para despertar os gigantes das profundezas da terra e derrotar os exércitos do Rei da Noite.
arya_super;Faceless;;Sans-Visage;Sin Rostro;顔なき者;얼굴 없는 자;无面人;無面人;Ohne Gesicht;Безликая;Senza Volto;Sem rosto;Though the people are troubled by heathens and other crises of <*faith*>, you remain untouchable. No assassin dares approach you.;;Même si le peuple est déstabilisé par des païens et autres problèmes de <*foi*>, vous restez intouchable. Aucun tueur n'osera vous approcher.;Aunque el pueblo está preocupado por los paganos y otras crisis de <*fe*>, sigues siendo intocable. Ningún asesino se te acerca.;人々は異教や<*信仰*>の+危機に対して敏感だが、+あなたの身は安全だ。+暗殺者に狙われることはないだろう。;이단자와 <*신앙*>으로 인한 재앙에 고통받은 사람들은 당신을 불가침의 존재로 여깁니다. 그 어떤 암살자도 당신에게 감히 다가오지 못합니다.;虽然人们饱受异教徒和+其他<*教会*>危机+你仍无可撼动，没有刺客胆敢靠近你;雖然人們飽受異教徒和+其他<*教會*>危機+你仍無可撼動，沒有刺客膽敢靠近你;Obwohl Heiden und andere Krisen des <*Glaubens*> die Leute beunruhigen, bleibt Ihr unantastbar. Kein Meuchler wagt sich an Euch heran.;Ни один убийца не осмелится приблизиться к вам, ибо ваша <*вера*> в себя несокрушима.;Anche se il popolo è turbato dai pagani e da altri problemi di <*fede*>, voi siete intoccabile. Nessun assassino vi si avvicinerà.;Apesar dos problemas com infiéis e outras crises de <*fé*>, você permanece incólume. Nenhum assassino ousa se aproximar de você.
alliance_super;The Pact;;Le Pacte;El Pacto;盟約;조약;同盟;同盟;Der Pakt;Сделка;Il patto;O pacto;You have forged the strongest of alliances between the North and the Southerner Kingdoms. All Westeros rallies behind you.;;Vous avez forgé une alliance très solide entre les royaumes du Nord et du Sud. Tout Westeros se rallie à vous.;Has forjado la más fuerte de las alianzas entre el Norte y los reinos sureños. Poniente entero te apoya.;南北間で最強の同盟を+結ぶことができた。+ウェスタロスの人々が、+あなたのもとに集まってくる。;당신은 북부와 남부 왕국간에 강력한 연합을 맺었습니다. 모든 웨스테로스인들이 당신 앞에 결집합니다.;你结成了南北帝国间最强大的同盟+整个维斯特洛大陆都统一在你身后;你結成了南北帝國間最強大的同盟+整個維斯特洛大陸都統一在你身後;Ihr habt das stärkste aller Bündnisse zwischen dem Norden und dem Süden geschmiedet. Ganz Westeros versammelt sich hinter Euch.;Вы заключили союз между Севером и Югом, сплотив весь Вестерос.;Avete stipulato un'alleanza di ferro tra il Nord e i regni del Sud. Tutta Westeros è con voi.;Você forjou a mais forte das alianças entre os reinos do Norte e do Sul. Todas as forças de Westeros estão ao seu lado.
dragonglass_super;Dragonglass;;Verredragon;Vidriagón;ドラゴングラス;흑요석;龙晶;龍晶;Drachenglas;Драконье стекло;Vetro di Drago;Vidro de dragão;You have mined ten thousand dragonglass daggers and arrowheads. The weapons are distributed among your allies. ;;Vous avez forgé dix mille dagues et flèches de verredragon. Les armes sont distribuées à tous vos alliés.;Has extraído diez mil dagas y puntas de flecha de vidriagón. Las armas son distribuídas entre tus aliados.;1万個のドラゴングラス製短剣と+矢じりを掘り出した。+これらの武器は仲間たちに分け与えられる。;당신은 일만 개의 흑요석 단검과 화살촉을 채굴했습니다. 이 무기들은 당신의 군대에게 보급되었습니다.;你开凿了一万个龙晶匕首和箭头+这些武器被分配给你的盟友们;你開鑿了一萬個龍晶匕首和箭頭+這些武器被分配給你的盟友們;Ihr habt zehntausend Dolche und Pfeilspitzen aus Drachenglas abgebaut. Die Waffen werden unter Euren Verbündeten verteilt.;Вы смогли изготовить десять тысяч стрел и кинжалов из драконьего стекла, которые вы потом распределили между своими союзниками.;Grazie al lavoro nelle miniere, avete forgiato diecimila punte di freccia e pugnali di Vetro di Drago, poi distribuiti tra gli alleati.;Você obteve dez mil adagas e pontas de flechas de vidro de dragão. As armas são distribuídas entre seus aliados.
summer;Summer;;Été;Verano;夏;여름;夏日;夏日;Sommer;Лето;Estate;Verão;Twelve moons later, summer is back. The Seven Kingdoms slowly emerge from under the snow as your story becomes a legend.;;Douze lunes plus tard, l'été est de retour. Les Sept Couronnes émergent lentement de la neige et vous devenez une légende.;Doce lunas más tarde, el verano está de vuelta. Los Siete Reinos emergen lentamente a la vez que te conviertes en una leyenda.;12ヶ月たって、+夏が戻ってきた。+あなたの功績が伝説として+語り継がれていくにつれ、+七王国は雪の下から姿を見せる。;열두 달이 지난 후, 여름이 돌아왔습니다. 당신에 관한 이야기가 전설로 남을 때쯤 칠왕국은 천천히 눈 속에서 준동합니다.;十二个月后，夏天回来了+七王国缓缓从雪下现身，+你的故事也变成了传说;十二個月後，夏天回來了+七王國緩緩從雪下現身，+你的故事也變成了傳說;Zwölf Monde später kehrt der Sommer zurück. Die Sieben Königslande tauchen unter dem Schnee auf. Ihr werdet zur Legende.;Через двадцать лун вновь наступает лето. Семь Королевств стряхивают с себя снег, а ваша история становится легендой.;Venti lune dopo, l'estate ritorna. Lentamente, i Sette Regni riemergono dalla coltre di neve e la vostra storia diventa leggenda.;Doze luas depois, é verão novamente. Os Sete Reinos emergem lentamente da neve, e sua história se torna lendária.
winter;Winter;;Hiver;Invierno;冬;겨울;凛冬;凜冬;Winter;Зима;Inverno;Inverno;Winter will last a generation. When the storm rages, the result of your decisions on the <*people*> will be dramatic, and horrors will follow.;;L'hiver va durer une génération. Lorsque la tempête fait rage, vos décisions ont des conséquences dramatiques sur le <*peuple*>.;El invierno durará una generación. El efecto de tus decisiones sobre el <*pueblo*> será dramático, y los horrores continuarán.;終わらぬ冬の時だ。+雪嵐が吹き荒れる頃、+<*人々*>に下すあなたの決断は+劇的な結果となり、+その後に恐しいことが起こる。;겨울은 한 세대 동안 지속될 것입니다. 폭풍이 몰아치면, 당신이 <*백성*>들에게 내리는 결정은 극적으로 받아들여질 것이며, 공포가 뒤따를 것입니다.;凛冬将持续一代人+风暴肆虐时，+你对<*人民*>的决定都会意义重大，+并会招致恐怖;凜冬將持續一代人+風暴肆虐時，+你對<*人民*>的決定都會意義重大，+並會招致恐怖;Der Winter dauert eine Generation. Im Sturm haben Eure Entscheidungen drastische Folgen für das <*Volk*>. Schrecken werden folgen.;Зима продлится целое поколение. Вокруг вас бушуют бури, и <*народ*> внимательно следит за каждым вашим решением.;L'inverno durerà una generazione. Sotto la furia della tempesta, l'impatto delle vostre decisioni sul <*popolo*> sarà drammatico.;O inverno durará uma geração. Quando a tempestade chegar, o resultado de suas decisões será crítico para o <*povo*>, e horrores se seguirão.
noironbank;Bankruptcy;;Banqueroute;Bancarrota;破産;파산;破产;破產;Bankrott;Банкротство;Bancarotta;Falência;You've lost the support of the Iron Bank, and the resulting inflation creates a much bigger impact on your <*money*>.;;Vous avez perdu le soutien de la Banque de Fer et l'inflation qui en résulte a des conséquences désastreuses sur votre <*fortune*>.;Has perdido el apoyo del Banco de Hierro, y la inflación resultante tendrá un impacto mucho mayor en tu <*dinero*>.;鉄の銀行からの支持を+失ったことでインフレが発生し、+<*金*>の動きがかなり大きくなる。;당신은 강철은행의 지지를 잃었습니다. 그 결과로 일어난 인플레이션은 당신의 <*재정*>에 더 큰 영향을 미칩니다.;你失去了铁金库的支持，随之而来的通胀对你的<*金钱*>有着巨大的影响;你失去了鐵金庫的支持，隨之而來的通貨膨脹對你的<*金錢*>有著巨大的影響;Ihr habt die Unterstützung der Eisernen Bank verloren. Die folgende Inflation wirkt sich stark auf Euer <*Geld*> aus.;Вы утратили поддержку Железного банка и привели королевство к инфляции, а также значительным проблемам с <*деньгами*>.;Avete perso l'appoggio della Banca di Ferro e l'inflazione ha effetti molto pesanti sul <*denaro*>.;Você perdeu o apoio do Banco de Ferro, e a inflação resultante cria um impacto muito maior no seu <*dinheiro*>.
nohand;Anarchy;;Anarchie;Anarquía;無秩序;무정부;无政府状态;無政府狀態;Anarchie;Анархия;Anarchia;Anarquia;Without a Hand to support you in affairs of state, decisions surrounding your <*power*> have a greater impact.;;Sans Main pour vous aider à gérer le royaume, vos décisions ont des conséquences accrues sur votre <*pouvoir*>.;Sin una Mano que te apoye en los asuntos de Estado, las decisiones que afectan a tu <*poder*> tienen un impacto enorme.;内政を支える者がいなくなったことで、+<*権力*>に関わる決断の影響が大きくなる。;당신의 일을 도와줄 핸드가 없는 지금, <*권력*>과 관련된 결정은 더욱 더 큰 영향을 끼칠 것입니다.;没有首相支持你的治国事宜+<*权力*>相关的决定会有更大的影响;沒有首相支持你的治國事宜+<*權力*>相關的決定會有更大的影響;Ohne eine Hand, die Euch bei Staatsgeschäften unterstützt, haben Entscheidungen rund um Eure <*Macht*> stärkere Auswirkungen.;У вас нет Десницы, и потому все неудачные решения остро скажутся на вашей <*власти*>.;Senza una Mano ad aiutarvi negli affari di stato, le decisioni che il vostro <*potere*> implica hanno un impatto maggiore.;Sem um Mão para apoiar você nos assuntos do estado, as decisões relacionadas ao seu <*poder*> causam um impacto maior.
