name;en_title (max: 15 char.);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;description;tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description;achievement;tu_achievement;fr_achievement;es_achievement;jp_achievement;ko_achievement;sc_achievement;tc_achievement;de_achievement;ru_achievement;it_achievement;bp_achievement
dothpie;the Cook;;(le Cuisinier*la Cuisinière);(el Cocinero*la Cocinera);料理人;요리사;烹饪者;烹飪者;(der Koch*die Köchin);Кулинар;(il Cuoco*la Cuoca);o Cozinheiro*a Cozinheira;Make Dothraki pie;;Cuisiner une tourte dothrakie;Hacer un pastel Dothraki;ドスラク・パイを焼く;도트라키 파이를 만든다;做成一个多斯拉克派;做成一個多斯拉克派;Stellt Dothraki-Pastete her;Приготовить дотракийский пирог;Prepara uno sformato dothraki;Prepare uma torta de Dothraki;;;;;;;;;;;;
hideout;the Wanderer;;(le Vagabond*la Vagabonde);(el Vagabundo*la Vagabunda);旅人;방랑자;漫游者;漫遊者;(der Wanderer*die Wandererin);Искатель;l'Errante;(o Andarilho*a Andarilha);Discover a hidden workshop;;Découvrir un atelier clandestin;Descubrir un taller oculto;隠された作業場を見つける;숨겨진 공방을 발견한다;找到一个隐藏的工作室;找到一個隱藏的工作室;Entdeckt eine verborgene Werkstatt;Найти тайную мастерскую;Scopri un laboratorio nascosto;Descubra uma oficina escondida;;;;;;;;;;;;
reunite;the Wild;;(le*la) Sauvage;(el*la) Salvaje;野を行く者;야만인;狂野者;狂野者;(der*die) Wilde;Дикарь;(il Selvaggio*la Selvaggia);(o Velho Amigo*a Velha Amiga);Reunite two wild friends;;Réunir deux amis sauvages;Reunir a dos amigos salvajes;野生の友2人を再会させる;사나운 친구 둘을 재결합시킨다;让两个狂野的伙伴重新联系;讓兩個狂野的夥伴重新聯繫;Vereint zwei wilde Freunde wieder;Воссоединить диких друзей;Riunisci due amici selvaggi;Reúna duas amigas de infância;;;;;;;;;;;;
jon;the (Usurper*Aunt);;(l'Usurpateur*la Tante);(el Usurpador*la Tita);(王位を奪いし者*叔母);(강탈자*고모);(篡位者*姑姑);(篡位者*姑姑);(der Usurpator*die Tante);(Узурпатор*Тетушка);(l'Usurpatore*la Zia);(o Usurpador*a Tia);Discover a hidden Targaryen;;Découvrir un Targaryen caché;Descubrir un Targaryen oculto;隠れていたターガリエン家の者を見つける;숨겨진 타르가르옌을 발견한다;发现一个深藏不露的坦格利安人;發現一個深藏不露的坦格利安人;Entdeckt einen versteckten Targaryen;Найти Таргариена;Scopri un Targaryen nascosto;Descubra um Targaryen escondido;The Lost Heir;;L'Héritier perdu;El Heredero Perdido;失われた血筋;잊힌 계승자;失落的后人;失落的後人;Der verlorene Erbe;Потерянный наследник;L'Erede Mancante;O Herdeiro Perdido
battle;the Brave;;(le Courageux*la Courageuse);(el*la) Valiente;勇者;용감한 자;勇敢者;勇敢者;(der*die) Tapfere;Ваша Храбрость;(il Coraggioso*la Coraggiosa);(o Valente*a Valente);Win a battle against Dorne;;Remporter une bataille contre Dorne;Ganar una batalla contra Dorne;ドーンとの戦いに勝利する;도른과의 전투에서 승리한다;在战争中战胜多恩;在戰爭中戰勝多恩;Gewinnt eine Schlacht gegen Dorne;Победить дорнийцев;Vinci una battaglia contro Dorne;Vença uma batalha contra Dorne;;;;;;;;;;;;
oath;the Liege;;(le Suzerain*la Suzeraine);(el*la) Feudal;君主;군왕;领主;領主;(der Lehnsherr*die Lehnsherrin);Сюзерен;(il Dominatore*la Dominatrice);(o Suserano*a Suserana);Hear a Knight's oath;;Écouter le serment d'un chevalier;Escuchar el juramento de un caballero;騎士の誓いを聞き届ける;기사의 맹세를 듣는다;听取一个骑士的誓言;聽取一個騎士的誓言;Hört den Eid eines Ritters an;Выслушать клятву;Ascolta un cavaliere che giura;Ouça o juramento de um cavaleiro;;;;;;;;;;;;
brown;the Bright;;(le Brillant*la Brillante);(el*la) Brillante;明るき者;탐정;通晓者;通曉者;(der*die) Gescheite;Ваша Светлость;(lo Scaltro*la Scaltra);(o Brilhante*a Brilhante);Find who is behind the Brown Walkers;;Résoudre l'affaire du Marcheur Marron;Resolver el enigma del licor;ブラウンウォーカーの首魁を突き止める;브라운 워커의 배후에 누가 있는지 찾아낸다;找出棕鬼事件背后的主使;找出棕鬼事件背後的主使;Löst das Rätsel der Braunen Wanderer;Найти, кто стоит за бурыми ходоками;Scopri chi comanda i Marroni;Saiba a verdade sobre os Vagantes Marrons;;;;;;;;;;;;
batnorth;the Southerner;;(le Sudien*la Sudienne);(el Sureño*la Sureña);南の者;남방인;南方佬;南方人;(der Südländer*die Südländerin);Ваша Южность;il Meridionale;(o Sulista*a Sulista);Win a battle against Winterfell;;Remporter une bataille contre Winterfell;Ganar una batalla contra Invernalia;ウィンターフェルとの戦いに勝利する;윈터펠과의 전투에서 승리한다;在战争中战胜临冬城;在戰爭中戰勝臨冬城;Gewinnt eine Schlacht gegen Winterfell;Победить северян;Vinci contro Grande Inverno;Vença uma batalha contra Winterfell;;;;;;;;;;;;
tourney;the Champion;;le Champion;el Campeón;覇者;챔피언;夺冠者;奪冠者;der Sieger;Чемпион;il Campione;o Campeão;Win a tourney;;Remporter un tournoi;Ganar un torneo;大会に優勝する;마상시합에서 승리한다;赢得一次比武大会;贏得一次比武大會;Gewinnt ein Turnier;Выиграть турнир;Vinci un torneo;Vença um torneio;;;;;;;;;;;;
dothrakibak;the Prudent;;(le Prudent*la Prudente);(el*la) Prudente;慎重なる者;신중한 자;审慎者;審慎者;(der*die) Kluge;Ваша Разумность;(il Prudente*la Prudente);(o Prudente*a Prudente);Bring the Dothraki back;;Ramener les Dothrakis;Llevar a los Dothraki de vuelta;ドスラク人を連れ戻す;도트라키를 다시 데려온다;赢回多斯拉克人;贏回多斯拉克人;Bringt die Dothraki zurück;Вернуть дотракийцев;Riporta indietro il Dothraki;Leve os Dothraki de volta;;;;;;;;;;;;
pirate;the Pirate;;(le*la) Pirate;(el*la) Pirata;海賊;해적;走私者;走私者;(der Pirat*die Piratin);Ваше Пиратство;(il Pirata*la Piratessa);(o Pirata*a Pirata);Meet the pirate;;Rencontrer le pirate;Conocer al pirata;海賊に会う;해적을 만난다;与海盗碰面;與海盜碰面;Begegnet dem Piraten;Повстречать пирата;Incontra il pirata;Conheça o pirata;;;;;;;;;;;;
crowd;the Orator;;l'(Orateur*Oratrice);(el Orador*la Oradora);代弁者;웅변가;演讲者;演講者;(der Redner*die Rednerin);Ваше Красноречие;(l'Oratore*l'Oratrice);(o Orador*a Oradora);Give a speech;;Prononcer un discours;Dar un discurso;演説を行う;연설을 한다;做一场演讲;做一場演講;Haltet eine Rede;Прочитать речь;Tieni un discorso;Faça um discurso;;;;;;;;;;;;
liar;the Liar;;(le Menteur*la Menteuse);(el Mentiroso*la Mentirosa);ウソつき;거짓말쟁이;撒谎者;撒謊者;(der Lügner*die Lügnerin);Ваша Лживость;(il Bugiardo*la Bugiarda);(o Mentiroso*a Mentirosa);Tell a convincing lie;;Raconter un mensonge convaincant;Decir una mentira convincente;道理的なウソを言う;설득력 있는 거짓말을 한다;撒一个令人信服的谎;撒一個令人信服的謊;Lügt auf überzeugende Weise;Правдоподобно соврать;Racconta una bugia convincente;Conte uma mentira convincente;;;;;;;;;;;;
militant;the Believer;;(le Pieux*la Pieuse);(el*la) Creyente;信奉者;신자;虔诚者;虔誠者;(der*die) Gläubige;Ваше Благочестие;(il*la) Credente;(o Crente*a Crente);Restore the Faith Militant;;Restaurer la Foi Militante;Restaurar la Fe Militante;聖兵を再編する;무장교단을 복구한다;重建教会武装;重建教會武裝;Erneuert den Militärischen Orden;Восстановить Святое воинство;Ripristina il Credo Militante;Restaure a Fé Militante;;;;;;;;;;;;
mad;the Mad Queen;;la Reine Folle;la Reina Loca;狂える女王;미치광이 여제;疯后;瘋后;die Irre Königin;Шальная королева;la Regina Folle;a Rainha Louca;Betray both your brothers;;Trahir vos deux frères;Traicionar a tus dos hermanos;両方の兄弟を裏切る;형제 둘을 배신한다;背叛你的两个弟弟;背叛你的兩個弟弟;Verratet Eure beiden Brüder;Предать обоих братьев;Tradisci entrambi i tuoi fratelli;Traia seus dois irmãos;;;;;;;;;;;;
superjaime;the Wooer;;(le Charmeur*la Charmeuse);(el*la) Pretendiente;求婚者;구애자;求偶者;求偶者;(der Verehrer*die Verehrerin);Ваша Похоть;(il Seduttore*la Seduttrice);(o Cortejador*a Cortejadora);Find a surprising husband;;Trouver un mari surprenant;Encontrar un marido sorprendente;驚くような夫を見つける;깜짝 놀랄만한 남편을 찾는다;找到一个令人惊讶的夫婿;找到一個令人驚訝的夫婿;Findet einen unerwarteten Ehemann;Неожиданно выйти замуж;Trova un marito sorprendente;Case-se com alguém surpreendente;;;;;;;;;;;;
valyrian;the Smith;;(le Forgeron*la Forgeronne);(el Herrero*la Herrera);鍛冶師;대장장이;铸铁者;鑄鐵者;(der Schmied*die Schmiedin);Кузнец;il Fabbro;(o Ferreiro*a Ferreira);Forge Valyrian steel;;Forger de l'acier valyrien;Forjar acero valyrio;ヴァリリア鋼製品を作り出す;발리리아 강철을 주조한다;铸造瓦雷利亚钢;鑄造瓦雷利亞鋼;Schmiedet valyrischen Stahl;Выковать валирийскую сталь;Forgia acciaio valyriano;Forje aço valiriano;;;;;;;;;;;;
summer;the Legend;;la Légende;(el Legendario*la Legendaria);伝説;전설적인 자;传说者;傳說者;die Legende;Легенда;la Leggenda;a Lenda;Survive winter;;Survivre à l'hiver;Sobrevivir al invierno;冬を越す;겨울을 넘긴다;活过冬天;活過冬天;Überlebt den Winter;Пережить зиму;Supera l'inverno;Sobreviva ao inverno;The Dawn;;L'Aurore;El Amanecer;夜明け;여명과 같은 자;黎明的曙光;黎明的曙光;Die Dämmerung;Рассвет;L'Aurora;A Aurora
lovers;the Nephew;;le Neveu;(el Sobrino*la Sobrina);いとこ;조카;侄子;侄子;der Neffe;Племянник;il Nipote;o Sobrinho;Marry Daenerys;;Épouser Daenerys;Casarte con Daenerys;デナーリスと結婚する;대너리스와 결혼한다;迎娶丹妮莉丝;迎娶丹妮莉絲;Heiratet Daenerys;Жениться на Дейнерис;Sposa Daenerys;Case-se com a Daenerys;;;;;;;;;;;;
robust;the Vigorous;;(le Vigoureux*la Vigoureuse);(el Vigoroso*la Vigorosa);強健なる者;왕성한 자;活力者;活力者;(der*die) Kraftvolle;Ваше Могущество;(il Vigoroso*la Vigorosa);(o Vigoroso*a Vigorosa);Survive 20 moons;;Survivre 20 lunes;Sobrevivir 20 lunas;20ヶ月生き延びる;20달을 살아남는다;活过20个月;活過20個月;Überlebt 20 Monde;Пережить 20 лун;Sopravvivi 20 lune;Sobreviva por 20 luas;;;;;;;;;;;;
barnacle;the Barnacle;;l'Anatife;(el*la) Percebe;離れぬ者;끈질긴 자;坚韧者;堅韌者;(der*die) Standhafte;Ваша Стойкость;l'Implacabile;(o Vivaz*a Vivaz);Survive 40 moons;;Survivre 40 lunes;Sobrevivir 40 lunas;40ヶ月生き延びる;40달을 살아남는다;活过40个月;活過40個月;Überlebt 40 Monde;Пережить 40 лун;Sopravvivi 40 lune;Sobreviva por 40 luas;;;;;;;;;;;;
parasite;the Great;;(le Grand*la Grande);(el*la) Grande;偉大なる者;위대한 자;伟大者;偉大者;(der*die) Große;Ваше Великолепие;(il*la) Grande;(o Grande*a Grande);Survive 60 moons;;Survivre 60 lunes;Sobrevivir 60 lunas;60ヶ月生き延びる;60달을 살아남는다;活过60个月;活過60個月;Überlebt 60 Monde;Пережить 60 лун;Sopravvivi 60 lune;Sobreviva por 60 luas;;;;;;;;;;;;
ancient;the Ancient;;(l'Ancien*l'Ancienne);(el Antiguo*la Antigua);古の統治者;고대인;亘古者;亙古者;(der*die) Alte;Ваша Древность;(l'Anziano*l'Anziana);(o Ancião*a Anciã);Survive 100 moons;;Survivre 100 lunes;Sobrevivir 100 lunas;100ヶ月生き延びる;100달을 살아남는다;活过100个月;活過100個月;Überlebt 100 Monde;Пережить 100 лун;Sopravvivi 100 lune;Sobreviva por 100 luas;;;;;;;;;;;;
pyro;the Firefly;;la Luciole;(el*la) Luciérnaga;ホタル;부나방;萤火虫;螢火蟲;der Leuchtkäfer;Светлячок;la Lucciola;(o Vaga-lume*a Vaga-lume);Reveal who's hiding in the dungeon;;Révéler qui se cache dans les geôles;Revelar a alguien en las mazmorras;地下牢獄に隠れている者を見つける;던전에 숨어있는 것을 알아낸다;揭露是谁藏在地牢里;揭露是誰藏在地牢裏;Enthüllt, wer sich im Verlies verbirgt;Узнать, кто прячется в подземелье;Scopri chi è nascosto nelle segrete;Revele quem se esconde na masmorra;;;;;;;;;;;;
courtesan;the Tolerant;;(le Tolérant*la Tolérante);(el*la) Tolerante;寛容なる者;관대한 자;宽容者;寬容者;(der*die) Tolerante;Ваша Терпимость;(il Tollerante*la Tollerante);(o Tolerante*a Tolerante);Meet the courtesan;;Rencontrer la courtisane;Conocer a la cortesana;高級売春婦に会う;춘희를 만난다;会见交际花;會見交際花;Begegnet der Kurtisane;Познакомиться с проституткой;Incontra la cortigiana;Conheça a cortesã;;;;;;;;;;;;
cersei;the Judge;;(le*la) Juge;(el Juez*la Jueza);裁判官;판사;法官;法官;(der Richter*die Richterin);Судья;(il*la) Giudice;(o Juiz*a Juíza);Attend Cersei's trial;;Assister au jugement de Cersei;Asistir al juicio de Cersei;サーセイの裁判に参加する;세르세이의 재판에 참석한다;参加瑟曦的审判;參加瑟曦的審判;Wohnt Cerseis Prozess bei;Провести суд на Серсеей;Assisti al processo a Cersei;Participe do julgamento da Cersei;The Mad Queen;;La Reine Folle;La Reina Loca;狂える女王;미치광이 여제;疯后;瘋后;Die Irre Königin;Шальная королева;La Regina Folle;A Rainha Louca
light;the Heretic;;l'Hérétique;(el*la) Hereje;異端者;이단자;异教徒;異教徒;(der Ketzer*die Ketzerin);Ваше Еретичество;(l'Eretico*l'Eretica);(o Herege*a Herege);Look into Melisandre's fire;;Admirer les flammes de Mélisandre;Mirar en el fuego de Melisandre;メリサンドルの火を覗き込む;멜리산드레의 불을 들여다본다;向梅丽珊卓的火中看去;向梅麗珊卓的火中看去;Blickt in Melisandres Feuer;Взглянуть в пламя Мелисандры;Guarda nel fuoco di Melisandre;Olhe no fogo da Melisandre;;;;;;;;;;;;
dearjaime;the Keeper;;la Fidèle;la Guardiana;守護者;수호자;守卫者;守衛者;die Bewahrerin;Хранительница;la Custode;(o Zeloso*a Zelosa);Retain Jaime's loyalty;;Conserver la loyauté de Jaime;Mantener la lealtad de Jaime;ジェイミーの忠誠を保たせる;제이미의 충성심을 유지한다;坚守詹姆的忠贞;堅守詹姆的忠貞;Bewahrt Jaimes Treue;Вернуть преданность Джейме;Mantieni la fiducia di Jaime;Mantenha a lealdade do Jaime;The Kingslayer;;Le Régicide;El Matareyes;王殺し;왕 시해자;弑君者;弑君者;Der Königsmörder;Цареубийца;Lo Sterminatore di Re;O Regicida
brothel;the Legacy;;(l'Héritier*l'Héritière);(el Legado*la Legada);受け継ぎし者;상속자;继承者;繼承者;(der Nachfolger*die Nachfolgerin);Наследство;(il Conservatore*la Conservatrice);o Legado;Discover Littlefinger's legacy;;Découvrir l'héritage de Littlefinger;Descubrir el legado de Meñique;リトルフィンガーの遺産を見つける;리틀핑거의 유산을 발견한다;发现小指头的遗产;發現小指頭的遺產;Entdeckt Kleinfingers Vermächtnis;Найти наследие Мизинца;Scopri la storia di Ditocorto;Descubra o legado do Mindinho;;;;;;;;;;;;
sellsword;the Patron;;(le*la) Mécène;(el Patrón*la Patrona);後援者;후원자;雇佣者;雇傭者;(der Anwerber*die Anwerberin);Покровительство;(il Finanziatore*la Finanziatrice);(o Patrono*a Patrona);Meet the Sellsword;;Rencontrer le mercenaire;Conocer al mercenario;傭兵と会う;셀소드를 만난다;会见雇佣兵;會見雇傭兵;Begegnet dem Söldner;Познакомиться с наемниками;Incontra il mercenario;Conheça o Mercenário;;;;;;;;;;;;
gendry;the Sharp;;la Futée;la Afilada;鋭き者;날카로운 자;敏锐者;敏銳者;die Schlaue;Прозорливая;l'Attenta;a Afiada;Unmask Gendry;;Démasquer Gendry;Desenmascarar a Gendry;ジェンドリーの正体を暴く;겐드리의 정체를 밝힌다;揭开詹德利的伪装;揭開詹德利的偽裝;Entlarvt Gendry;Узнать Джендри;Smaschera Gendry;Desmascare o Gendry;The Bastard King;;Le Roi Bâtard;El Rey Bastardo;ならず者の王;서자왕;私生子之王;私生子之王;Der Bastardkönig;Король-бастард;Il Re Bastardo;O Rei Bastardo
sharp;the Friend;;l'Ami;el Amigo;最大の友;친구;交友者;交友者;der Freund;Друг;l'Amico;o Amigo;Win her trust, win her game;;Gagner sa confiance et son jeu;Ganar su confianza y su juego;彼女の信用を得て、謀略に勝つ;그녀의 신뢰를 얻고, 그녀의 게임에서 승리한다;赢得她的信任和游戏;贏得她的信任和遊戲;Gewinnt ihr Vertrauen und ihr Spiel;Заслужить ее доверие;Conquista la fiducia di lei;Ganhe a confiança e o jogo dela;;;;;;;;;;;;
lover;the Romance;;(le*la) Romantique;(el*la) Galante;愛を追う者;로맨스;浪漫者;浪漫者;(der*die) Liebende;Ваша Нежность;(il Romantico*la Romantica);o Romance;Discover who has stolen your crown;;Découvrir qui a volé votre couronne;Descubrir quién ha robado tu corona;王位を奪った者を突き止める;왕관을 훔쳐간 자를 찾아낸다;发现是谁偷了你的王冠;發現是誰偷了你的王冠;Entdeckt, wer Eure Krone gestohlen hat;Узнать, кто украл корону;Scopri chi ha rubato la corona;Descubra quem roubou sua coroa;;;;;;;;;;;;
peace;the Dove;;(le Pacifiste*la Colombe);(el Palomo*la Paloma);平和の使者;온건파;和平鸽;和平鴿;die Taube;Ваше Миролюбие;la Colomba;(o Pombo da Paz*a Pomba da Paz);Achieve peace;;Obtenir la paix;Lograr la paz;安泰の世を築く;평화를 거둔다;达成和平;達成和平;Erzielt Frieden;Добиться мира;Ottieni la pace;Conquiste a paz;;;;;;;;;;;;
council;the Studious;;(l'Assidu*l'Assidue);(el Estudioso*la Estudiosa);熱心なる者;학구적인 자;勤奋者;勤奮者;(der*die) Fleißige;Ваша Ученость;(lo Studioso*la Studiosa);(o Estudioso*a Estudiosa);Attend 3 small councils in a single reign;;Assister à 3 Conseils restreints;Asistir a 3 consejos privados;1回の統治で小会議に3回参加する;한 통치에서 소의회를 세 번 참석한다;一次统治期间参加三次御前会议;一次統治期間參加三次御前會議;Besucht dreimal den Kleinen Rat;Трижды посетить малый совет;Partecipa a 3 Concili in un regno;Participe de 3 pequenos conselhos;;;;;;;;;;;;
repentant;the Repentant;;(le Repenti*la Repentie);(el Arrepentido*la Arrepentida);後悔する者;회개하는 자;忏悔者;懺悔者;(der Büßer*die Büßerin);Искупление;(il*la) Penitente;(o Arrependido*a Arrependida);Construct Cersei's redemption;;Faciliter la rédemption de Cersei;Validar la redención de Cersei;サーセイの贖罪を築く;세르세이를 속죄를 구축한다;完成瑟曦的救赎;完成瑟曦的救贖;Erreicht Cerseis Erlösung;Искупить грехи Серсеи;Ottieni la redenzione di Cersei;Planeje a redenção da Cersei;;;;;;;;;;;;
cook;the Chef;;(le Chef*la Cuisinière);(el Cocinero*la Cocinera);料理長;요리사;主厨;主廚;(Küchenmeister*Küchenmeisterin);Повар;(il Buongustaio*la Buongustaia);(o Chef*a Chef);Recruit a surprising Master of Whisperers;;Recruter un Maître surprenant;Reclutar un espía sorprendente;驚くような諜報大臣を雇う;놀랄만한 첩보 대신을 고용한다;招募出人意料的情报总管;招募出人意料的情報總管;Ernennt eine unerwartete Spinne;Найти особого мастера над шептунами;Assolda un insolito Ragno;Recrute [um Aranha*uma Aranha] surpreendente;;;;;;;;;;;;
clegane;the Witness;;(le*la) Témoin;(el*la) Testigo;目撃者;목격자;目击者;目擊者;(der Zeuge*die Zeugin);Свидетель;(il*la) Testimone;a Testemunha;End a brotherly feud;;Mettre un terme à un conflit fraternel;Poner fin a una disputa fraternal;兄弟内の争いを終わらせる;형제간의 불화를 끝낸다;终结一场兄弟世仇;終結一場兄弟世仇;Beendet eine Bruderfehde;Увидеть братоубийство;Poni fine a una faida tra fratelli;Termine uma rixa entre irmãos;;;;;;;;;;;;
walkers;the General;;(le Général*la Générale);(el*la) General;将軍;장군;将军;將軍;(der General*die Generalin);Стратег;(il Generale*la Generalessa);(o General*a General);Defeat the army of the dead in battle;;Triompher de l'armée des morts;Derrotar a los Muertos;戦闘で亡者の軍勢を打ち倒す;전투에서 죽은 자의 군대를 무찌른다;在战争中战胜不死大军;在戰爭中戰勝不死大軍;Besiegt die Armee der Toten im Kampf;Победить армию мертвецов;Sbaraglia l'Esercito dei Morti;Derrote os Mortos em combate;;;;;;;;;;;;
stubborn;the Stubborn;;(le Têtu*la Têtue);(el Obstinado*la Obstinada);強情なる者;완고한 자;固执者;固執者;(der*die) Sture;Ваше Упрямство;(il Testardo*la Testarda);(o Teimoso*a Teimosa);Be at war during summer;;Mener une guerre en été;Estar en guerra durante el verano;夏の間に戦争をする;여름에 전투에 나선다;在夏天与人开战;在夏天與人開戰;Führt im Sommer Krieg;Воевать летом;Guerra durante l'estate;Esteja em guerra durante o verão;;;;;;;;;;;;
