bearer;id;type;description;firstname;firstname_tu;firstname_fr;firstname_es;firstname_jp;firstname_ko;firstname_sc;firstname_tc;firstname_de;firstname_ru;firstname_it;firstname_bp;generated;generated_tu;generated_fr;generated_es;generated_jp;generated_ko;generated_sc;generated_tc;generated_de;generated_ru;generated_it;generated_bp;name;name_tu;name_fr;name_es;name_jp;name_ko;name_sc;name_tc;name_de;name_ru;name_it;name_bp;title;title_tu;title_fr;title_es;title_jp;title_ko;title_sc;title_tc;title_de;title_ru;title_it;title_bp
little_bird;95;generated;Undefined. If you have to choose, male.;;;;;;;;;;;;;<little_bird>;;<little_bird>;<little_bird>;<little_bird>;<little_bird>;<little_bird>;<little_bird>;<little_bird>;<little_bird>;<little_bird>;<little_bird>;The Little Bird;;Le petit oiseau;El Pajarito;リトルバード;작은 새;小小鸟儿;小小鳥兒;Der kleine Vogel;Пташка;L'uccellino;O Passarinho;Little bird;;Petit oiseau;Pajarito;リトルバード;작은 새;小小鸟儿;小小鳥兒;Kleiner Vogel;Пташка;Uccellino;Passarinho
maester;17;generated;Male.;;;;;;;;;;;;;Maester <west_first_male>;;Mestre <west_first_male>;Maestre <west_first_male>;メイスター・<west_first_male>;마에스터 <west_first_male>;<west_first_male>大学士;<west_first_male>大學士;Maester <west_first_male>;Мейстер <west_first_male>;Maestro <west_first_male>;Meistre <west_first_male>;The Maester;;Le mestre;El Maestre;メイスター;마에스터;学士;學士;Der Maester;Мейстер;Il Maestro;O Meistre;Maester;;Mestre;Maestre;メイスター;마에스터;学士;學士;Maester;Мейстер;Maestro;Meistre
septon;44;generated;Male and pious;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Septon;;Le septon;El Septón;セプトン;셉톤;主教;主教;Der Septon;Септон;Il Septon;O Septão;Septon;;Septon;Septón;セプトン;셉톤;主教;主教;Septon;Септон;Septon;Septão
soldier;16;generated;Male and military.;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Soldier;;Le soldat;El Soldado;兵士;병사;士兵;士兵;Der Soldat;Солдат;Il soldato;O Soldado;Soldier;;Soldat;Soldado;兵士;병사;士兵;士兵;Soldat;Солдат;Soldato;Soldado
arryn;49;house;Male and noble. Character linked to house Arryn (cf below).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Arryn;;Maison Arryn;Casa Arryn;アリン家;아린 가문;艾林家族;艾林家族;Haus Arryn;Дом Арренов;Casa Arryn;Casa Arryn
arryn_male;83;individual;Male and noble.;;;;;;;;;;;;;Lord <west_first_male>;;Lord <west_first_male>;Lord <west_first_male>;<west_first_male>公;<west_first_male> 경;<west_first_male>大人;<west_first_male>大人;Lord <west_first_male>;Лорд <west_first_male>;Lord <west_first_male>;Lorde <west_first_male>;House Arryn;;Maison Arryn;Casa Arryn;アリン家;아린 가문;艾林家族;艾林家族;Haus Arryn;Дом Арренов;Casa Arryn;Casa Arryn;House Arryn;;Maison Arryn;Casa Arryn;アリン家;아린 가문;艾林家族;艾林家族;Haus Arryn;Дом Арренов;Casa Arryn;Casa Arryn
greyjoy;25;house;Male. House greyjoy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Greyjoy;;Maison Greyjoy;Casa Greyjoy;グレイジョイ家;그레이조이 가문;葛雷乔伊家族;葛雷喬伊家族;Haus Graufreud;Дом Грейджоев;Casa Greyjoy;Casa Greyjoy
greyjoy_male;72;individual;Male.;;;;;;;;;;;;;Lord <west_first_male>;;Lord <west_first_male>;Lord <west_first_male>;<west_first_male>公;<west_first_male> 경;<west_first_male>大人;<west_first_male>大人;Lord <west_first_male>;Лорд <west_first_male>;Lord <west_first_male>;Lorde <west_first_male>;House Greyjoy;;Maison Greyjoy;Casa Greyjoy;グレイジョイ家;그레이조이 가문;葛雷乔伊家族;葛雷喬伊家族;Haus Graufreud;Дом Грейджоев;Casa Greyjoy;Casa Greyjoy;House Greyjoy;;Maison Greyjoy;Casa Greyjoy;グレイジョイ家;그레이조이 가문;葛雷乔伊家族;葛雷喬伊家族;Haus Graufreud;Дом Грейджоев;Casa Greyjoy;Casa Greyjoy
lannister;11;house;Male or female, noble. Characters linked to house Lannister.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Lannister;;Maison Lannister;Casa Lannister;ラニスター家;라니스터 가문;兰尼斯特家族;蘭尼斯特家族;Haus Lennister;Дом Ланнистеров;Casa Lannister;Casa Lannister
lannister_male;65;individual;Male and noble.;;;;;;;;;;;;;Lord <west_first_male>;;Lord <west_first_male>;Lord <west_first_male>;<west_first_male>公;<west_first_male> 경;<west_first_male>大人;<west_first_male>大人;Lord <west_first_male>;Лорд <west_first_male>;Lord <west_first_male>;Lorde <west_first_male>;House Lannister;;Maison Lannister;Casa Lannister;ラニスター家;라니스터 가문;兰尼斯特家族;蘭尼斯特家族;Haus Lennister;Дом Ланнистеров;Casa Lannister;Casa Lannister;House Lannister;;Maison Lannister;Casa Lannister;ラニスター家;라니스터 가문;兰尼斯特家族;蘭尼斯特家族;Haus Lennister;Дом Ланнистеров;Casa Lannister;Casa Lannister
martell;8;house;Female. House Martell.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Martell;;Maison Martell;Casa Martell;マーテル家;마르텔 가문;马泰尔家族;馬泰爾家族;Haus Martell;Дом Мартелл;Casa Martell;Casa Martell
martell_female;102;individual;Female.;;;;;;;;;;;;;Meria Sand;;Méria Sand;Meria Arena;メリア・サンド;메리아 샌드;梅莉亚·沙德;梅莉亞·沙德;Meria Sand;Мерия Сэнд;Meria Sand;Meria Sand;House Martell;;Maison Martell;Casa Martell;マーテル家;마르텔 가문;马泰尔家族;馬泰爾家族;Haus Martell;Дом Мартелл;Casa Martell;Casa Martell;House Martell;;Maison Martell;Casa Martell;マーテル家;마르텔 가문;马泰尔家族;馬泰爾家族;Haus Martell;Дом Мартелл;Casa Martell;Casa Martell
stark;12;house;Male or female, noble. Characters linked to house Stark. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Stark;;Maison Stark;Casa Stark;スターク家;스타크 가문;;;Haus Stark;Дом Старков;Casa Stark;Casa Stark
stark_male;66;individual;Male, house humber.;;;;;;;;;;;;;Lord <west_first_male>;;Lord <west_first_male>;Lord <west_first_male>;<west_first_male>公;<west_first_male> 경;<west_first_male>大人;<west_first_male>大人;Lord <west_first_male>;Лорд <west_first_male>;Lord <west_first_male>;Lorde <west_first_male>;House Umber;;Maison Umber;Casa Umber;アンバー家;움버 가문;安柏家族;安柏家族;Haus Umber;Дом Амберов;Casa Umber;Casa Umber;House Umber;;Maison Umber;Casa Umber;アンバー家;움버 가문;安柏家族;安柏家族;Haus Umber;Дом Амберов;Casa Umber;Casa Umber
targaryen;13;house;Female. House Targaryen (Daenerys).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Targaryen;;Maison Targaryen;Casa Targaryen;ターガリエン家;타르가르옌 가문;坦格利安家族;坦格利安家族;Haus Targaryen;Дом Таргариенов;Casa Targaryen;Casa Targaryen
tully;30;house;Male and noble. House Tully.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Tully;;Maison Tully;Casa Tully;タリー家;툴리 가문;徒利家族;徒利家族;Haus Tully;Дом Талли;Casa Tully;Casa Tully
tully_male;100;individual;Male and noble.;;;;;;;;;;;;;Lord <west_first_male>;;Lord <west_first_male>;Lord <west_first_male>;<west_first_male>公;<west_first_male> 경;<west_first_male>大人;<west_first_male>大人;Lord <west_first_male>;Лорд <west_first_male>;Lord <west_first_male>;Lorde <west_first_male>;House Tully;;Maison Tully;Casa Tully;タリー家;툴리 가문;徒利家族;徒利家族;Haus Tully;Дом Талли;Casa Tully;Casa Tully;House Tully;;Maison Tully;Casa Tully;タリー家;툴리 가문;徒利家族;徒利家族;Haus Tully;Дом Талли;Casa Tully;Casa Tully
tyrell;10;house;Female and noble. House Tyrell.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;House Tyrell;;Maison Tyrell;Casa Tyrell;タイレル家;티렐 가문;提利尔家族;提利爾家族;Haus Tyrell;Дом Тиреллов;Casa Tyrell;Casa Tyrell
tyrell_female;69;individual;Female and noble.;;;;;;;;;;;;;Lady <west_first_female>;;Lady <west_first_female>;Lady <west_first_female>;レディ・<west_first_female>;레이디 <west_first_female>;<west_first_male>大人;<west_first_male>大人;Lady <west_first_female>;Леди <west_first_female>;Lady <west_first_female>;Lady <west_first_female>;House Tyrell;;Maison Tyrell;Casa Tyrell;タイレル家;티렐 가문;提利尔家族;提利爾家族;Haus Tyrell;Дом Тиреллов;Casa Tyrell;Casa Tyrell;House Tyrell;;Maison Tyrell;Casa Tyrell;タイレル家;티렐 가문;提利尔家族;提利爾家族;Haus Tyrell;Дом Тиреллов;Casa Tyrell;Casa Tyrell
archer;97;individual;Male. Only used in battles.;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Archer;;L'archer;El Arquero;弓兵;궁사;弓箭手;弓箭手;Der Bogenschütze;Лучник;L'arciere;O Arqueiro;Archer;;Archer;Arquero;弓兵;궁사;弓箭手;弓箭手;Bogenschütze;Лучник;Arciere;Arqueiro
arya;46;individual;Female. Talent from the show. As a ruler, she takes Cersei's place on the throne (that's why most of her cards are written as if she was Cersei).;Arya;;Arya;Arya;アリア;아리아;艾莉亚;艾莉亞;Arya;Арья;Arya;Arya;Arya;;Arya;Arya;アリア;아리아;艾莉亚;艾莉亞;Arya;Арья;Arya;Arya;Arya Stark;;Arya Stark;Arya Stark;アリア・スターク;아리아 스타크;艾莉亚·史塔克;艾莉亞·史塔克;Arya Stark;Арья Старк;Arya Stark;Arya Stark;;;;;;;;;;;;
banker;82;individual;Male. Iron Bank representative. Demonstrative and obsequious but dangerous.;;;;;;;;;;;;;<essos_first_male> <essos_last>;;<essos_first_male> <essos_last>;<essos_first_male> <essos_last>;<essos_first_male>・<essos_last>;<essos_first_male> <essos_last>;<essos_first_male> <essos_last>;<essos_first_male> <essos_last>;<essos_first_male> <essos_last>;<essos_first_male> <essos_last>;<essos_first_male> <essos_last>;<essos_first_male> <essos_last>;The Banker;;Le banquier;El Banquero;銀行家;은행가;银行家;銀行家;Der Bankier;Банкир;Il banchiere;O Banqueiro;Banker;;Banquier;Banquero;銀行家;은행가;银行家;銀行家;Bankier;Банкир;Banchiere;Banqueiro
blacksmith;36;individual;Male and people. Represents the blacksmith of the street of steels. Later in the game he's revealed to be Gendry in hiding.;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Blacksmith;;Le forgeron;El Herrero;鍛冶師;대장장이;铁匠;鐵匠;Der Schmied;Кузнец;Il fabbro;O Ferreiro;Blacksmith;;Forgeron;Herrero;鍛冶師;대장장이;铁匠;鐵匠;Schmied;Кузнец;Fabbro;Ferreiro
cersei;55;individual;Female and Lannister. Talent from the show.;Cersei;;Cersei;Cersei;サーセイ;세르세이;瑟曦;瑟曦;Cersei;Серсея;Cersei;Cersei;Queen Cersei;;Reine Cersei;Reina Cersei;サーセイ女王;세르세이 여왕;瑟曦女王;瑟曦女王;Königin Cersei;Королева Серсея;Regina Cersei;Rainha Cersei;Cersei Lannister;;Cersei Lannister;Cersei Lannister;サーセイ・ラニスター;세르세이 라니스터;瑟曦·兰尼斯特;瑟曦·蘭尼斯特;Cersei Lennister;Серсея Ланнистер;Cersei Lannister;Cersei Lannister;;;;;;;;;;;;
clegane;56;individual;Male. Talent from the show, the Hound.;;;;;;;;;;;;;Sandor Clegane;;Sandor Clegane;Sandor Clegane;サンダー・クレゲイン;산도르 클리게인;桑铎·克里冈;桑鐸·克里岡;Sandor Clegane;Сандор Клиган;Sandor Clegane;Sandor Clegane;Sandor Clegane;;Sandor Clegane;Sandor Clegane;サンダー・クレゲイン;산도르 클리게인;桑铎·克里冈;桑鐸·克里岡;Sandor Clegane;Сандор Клиган;Sandor Clegane;Sandor Clegane;;;;;;;;;;;;
commoner_female;85;individual;Female and people. Smallfolk, various uses.;;;;;;;;;;;;;<west_first_female> <west_last>;;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female>・<west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;The Laundress;;La lavandière;La Lavandera;洗濯女;세탁부;洗衣妇;洗衣婦;Die Wäscherin;Прачка;La lavandaia;A Lavadeira;Smallfolk;;Villageoise;Pueblo llano;小人;소시민;平民;平民;Gemeines Volk;Крестьяне;Popolino;Camponesa
commoner_male;84;individual;Male and people. Smallfolk, various uses.;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Smallfolk;;Le villageois;El Tipo Corriente;小人;소시민;平民;平民;Das gemeine Volk;Крестьяне;Il popolino;O Camponês;Smallfolk;;Villageois;Pueblo llano;小人;소시민;平民;平民;Gemeines Volk;Крестьяне;Popolino;Camponês
cook;38;individual;Male and people. Adress the King or Queen in peculiar ways (like "your Magnanimity").;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Cook;;Le cuisinier;El Cocinero;料理人;요리사;厨子;廚子;Der Koch;Повар;Il cuoco;O Cozinheiro;Cook;;Cuisinier;Cocinero;料理人;요리사;厨子;廚子;Koch;Повар;Cuoco;Cozinheiro
crow;5;individual;Male. Representative of the Night's Watch.;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Crow;;Le corbeau;El Cuervo;カラス;까마귀;乌鸦;烏鴉;Die Krähe;Ворона;Il Corvo;O Corvo;Black brother;;Frère noir;Hermano Negro;黒き兄弟;블랙 브라더;守夜人兄弟;守夜人兄弟;Schwarzer Bruder;Черный брат;Fratello Nero;Irmão da Patrulha
daenerys;47;individual;Female and Targaryen. Talent from the show.;Daenerys;;Daenerys;Daenerys;デナーリス;대너리스;丹妮莉丝;丹妮莉絲;Daenerys;Дейнерис;Daenerys;Daenerys;Queen Daenerys;;Reine Daenerys;Reina Daenerys;デナーリス女王;대너리스 여왕;丹妮莉丝女王;丹妮莉絲女王;Königin Daenerys;Королева Дейнерис;Regina Daenerys;Rainha Daenerys;Daenerys Targaryen;;Daenerys Targaryen;Daenerys Targaryen;デナーリス・ターガリエン;대너리스 타르가르옌;丹妮莉丝·坦格利安;丹妮莉絲·坦格利安;Daenerys Targaryen;Дейнерис Таргариен;Daenerys Targaryen;Daenerys Targaryen;;;;;;;;;;;;
dothraki;50;individual;Male. Generic Dothraki warrior that came with Daenerys from Essos.;;;;;;;;;;;;;<doth_first_male>;;<doth_first_male>;<doth_first_male>;<doth_first_male>;<doth_first_male>;<doth_first_male>;<doth_first_male>;<doth_first_male>;<doth_first_male>;<doth_first_male>;<doth_first_male>;The Dothraki;;Le dothraki;El Dothraki;ドスラク人;도트라키;多斯拉克人;多斯拉克人;Der Dothraki;Дотракиец;Il Dothraki;O Dothraki;Dothraki screamer;;Hurleur dothraki;Dothraki salvaje;叫ぶドスラク人;도트라키 병사;多斯拉克骑兵;多斯拉克騎兵;Dothraki-Krieger;Дотракийский крикун;Urlatore dothraki;Gritador Dothraki
forest_child;105;individual;Undefined. Representative of the Children of the Forest. Appears in the middle and the end game.;;;;;;;;;;;;;Moss;;Moss;Moss;モス;모스;摩斯;摩斯;Moos;Мох;Moss;Musgo;One of the Children;;Un des enfants;Uno de los Hijos;森の子;아이들 중 한 명;一个森林之子;一個森林之子;Eines der Kinder;Один из детей;Uno dei Figli;Um dos Filhos;Children of the Forest;;Enfant de la forêt;Hijos del Bosque;森の子ら;숲의 아이들;森林之子;森林之子;Kinder des Waldes;Дитя леса;Figli della Foresta;Filhos da Floresta
freefolk;90;individual;Female. Representative of the Willdkings.;;;;;;;;;;;;;<west_first_female>;;<west_first_female>;<west_first_female> <west_last>;<west_first_female>;<west_first_female>;<west_first_female>;<west_first_female>;<west_first_female>;<west_first_female>;<west_first_female>;<west_first_female>;The Wildling;;La sauvageonne;La Salvaje;ワイルドリング;와일들링;野人;野人;Der Wildling;Одичалая;La bruta;A Selvagem;Wildling;;Sauvageonne;Salvaje;ワイルドリング;와일들링;野人;野人;Wildling;Одичалая;Bruta;Selvagem
gendry;75;individual;Male. Talent from the show.;Gendry;;Gendry;Gendry;ジェンドリー;겐드리;詹德利;詹德利;Gendry;Джендри;Gendry;Gendry;Gendry;;Gendry;Gendry;ジェンドリー;겐드리;詹德利;詹德利;Gendry;Джендри;Gendry;Gendry;Gendry Baratheon;;Gendry Baratheon;Gendry Baratheon;ジェンドリー・バラシオン;겐드리 바라테온;詹德利·拜拉席恩;詹德利·拜拉席恩;Gendry Baratheon;Джендри Баратеон;Gendry Baratheon;Gendry Baratheon;;;;;;;;;;;;
goldcloak;89;individual;Male. Guard of the capital, King's Landing.;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Gold Cloak;;Le Manteau d'or;El Capa Dorada;金マント;황금 망토;金袍子;金袍子;Der Goldrock;Золотой плащ;La Cappa Dorata;O Manto Dourado;Gold Cloak;;Manteau d'or;Capa Dorada;金マント;황금 망토;金袍子;金袍子;Goldrock;Золотой плащ;Cappa Dorata;Manto Dourado
handmaiden;32;individual;Female and people. Generic Handmaiden.;;;;;;;;;;;;;<west_first_female> <west_last>;;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female>・<west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;The Handmaiden;;La servante;La Sirvienta;専属女中;시녀;侍女;侍女;Die Dienerin;Служанка;L'ancella;A Donzela;Handmaiden;;Servante;Sirvienta;専属女中;시녀;侍女;侍女;Dienerin;Служанка;Ancella;Donzela
jaime;74;individual;Male and Lannister. Talent from the show.;Jaime;;Jaime;Jaime;ジェイミー;제이미;詹姆;詹姆;Jaime;Джейме;Jaime;Jaime;Ser Jaime;;Ser Jaime;Sir Jaime;サー・ジェイミー;제이미 경;詹姆爵士;詹姆爵士;Ser Jaime;Сир Джейме;Ser Jaime;Sor Jaime;Jaime Lannister;;Jaime Lannister;Jaime Lannister;ジェイミー・ラニスター;제이미 라니스터;詹姆·兰尼斯特;詹姆·蘭尼斯特;Jaime Lennister;Джейме Ланнистер;Jaime Lannister;Jaime Lannister;;;;;;;;;;;;
jon;54;individual;Male and Stark. Talent from the show.;Jon;;Jon;Jon;ジョン;존;琼恩;瓊恩;Jon;Джон;Jon;Jon;Jon Snow;;Jon Snow;Jon Nieve;ジョン・スノウ;존 스노우;琼恩·雪诺;瓊恩·雪諾;Jon Schnee;Джон Сноу;Jon Snow;Jon Snow;Jon Snow;;Jon Snow;Jon Nieve;ジョン・スノウ;존 스노우;琼恩·雪诺;瓊恩·雪諾;Jon Schnee;Джон Сноу;Jon Snow;Jon Snow;;;;;;;;;;;;
kingsguard;87;individual;Male and military. Kingsguard or Queensguard, in charge of the ruler's protection.;;;;;;;;;;;;;Ser <west_first_male>;;Ser <west_first_male>;Sir <west_first_male>;サー・<west_first_male>;<west_first_male> 경;<west_first_male>爵士;<west_first_male>爵士;Ser <west_first_male>;Сир <west_first_male>;Ser <west_first_male>;Sor <west_first_male>;The Kingsguard;;Le garde royal;La Guardia del Rey;王の盾;킹스가드;御林铁卫;御林鐵衛;Die Königsgarde;Королевская гвардия;La Guardia Reale;O Guarda Real;(Kings*Queens)guard;;Garde Royal;Guardia (del Rey*de la Reina);(王*女王)の盾;(킹스*퀸스)가드;(国王*女王)护卫;(國王*女王)護衛;(Königs*Königinnen)garde;Стража (короля*королевы);Guardia (del Re*della Regina);Guarda (do Rei*da Rainha)
kirsten;101;individual;Female. Generic noble woman.;;;;;;;;;;;;;Lady Calloway;;Lady Calloway;Lady Calloway;レディ・キャロウェイ;레이디 캘러웨이;卡洛威夫人;卡洛威夫人;Lady Kallowey;Леди Кэллоуэй;Lady Calloway;Lady Calloway;The Ingenuous;;L'ingénue;La Ingeniosa;純真なる者;순진한 자;天真者;天真者;Die Treuherzige;Наивная;L'Ingenua;A Ingênua;House Lowrie;;Maison Calloway;Casa Lowrie;ロウリー家;로우리 가문;劳俐家族;劳俐家族;Haus Tiefrin;Дом Лоури;Casa Lowrie;Casa Lowrie
knight;88;individual;Male and military. Generic Knight.;;;;;;;;;;;;;Ser <west_first_male>;;Ser <west_first_male>;Sir <west_first_male>;サー・<west_first_male>;<west_first_male> 경;<west_first_male>爵士;<west_first_male>爵士;Ser <west_first_male>;Сир <west_first_male>;Ser <west_first_male>;Sor <west_first_male>;The Knight;;Le chevalier;El Caballero;騎士;기사;骑士;騎士;Der Ritter;Рыцарь;Il cavaliere;O Cavaleiro;Knight;;Chevalier;Caballero;騎士;기사;骑士;騎士;Ritter;Рыцарь;Cavaliere;Cavaleiro
