id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp;
musicby2;Music;Müzik;Musique;Música;音楽;음악;音乐;音樂;Musik;Музыка;Musica;Música;
sfxby;Sound design;Ses tasarımı;Design sons;Diseño de sonido;サウンド デザイン;사운드 디자인;音效设计;音效設計;Sound-Design;Звуковое оформление;Progettazione audio;Design de áudio;
thanks;Thanks to;Özel teşekkürler...;Un grand merci à...;Agradecimientos especiales para...;SPECIAL THANKS:;고마운 분들...;特别鸣谢:;特別鳴謝:;Besonderen Dank an …;Особая благодарность…;Un ringraziamento speciale a...;Agradecimentos especiais a...;
thanks2;Thanks to;Ve teşekkürler...;Et aussi à...;Y también para...;AND THANKS:;다시 고마운 분들...;还要感谢:;還要感謝:;Danke auch an …;И спасибо…;Grazie anche a...;E agradecimentos a...;
kingdom_update;KINGDOM UPDATE;KRALLIK GÜNCELLEMESİ;MISE À JOUR ROYAUME;ACTUALIZACIÓN DEL REINO;王国アップデート;왕국 업데이트;王国情报更新;王國情報更新;KÖNIGREICH-UPDATE;ОБНОВЛЕНИЕ КОРОЛЕВСТВА;AGGIORNAMENTO REGNO;ATUALIZAÇÃO DE REINO;
;NEW CARDS!;YENİ KARTLAR!;NOUVELLES CARTES !;¡CARTAS NUEVAS!;新カード発見！;새 카드 발견!;新卡牌！;新卡牌！;NEUE KARTEN!;НОВЫЕ КАРТЫ!;NUOVE CARTE!;NOVAS CARTAS!;
kingdom_stats;KINGDOM;KRALLIK;ROYAUME;REINO;王国;왕국;王国;王國;KÖNIGREICH;КОРОЛЕВСТВО;REGNO;REINO;
objective_stats;Royal deeds;Kraliyet başarıları;Faits de la Reine;Hechos reales;功績;공적;皇室称号;皇室稱號;Taten der Königin;Королевские дела;Azioni reali;Façanhas reais;
;objectives fulfilled;tamamlanan hedefler;objectifs remplis;objetivos conseguidos;: 達成した目標;달성한 목표;个目标已达成;個目標已被達成;erfüllte Ziele;выполнено целей;obiettivi raggiunti;objetivos concluídos;
endcard_stats;Memento mori;Memento mori;;;歴代女王の最期;역대 여왕의 최후;凡人终死;凡人終死;Memento mori;Memento mori;Memento mori;Memento mori;
;deaths suffered;yaşanan ölümler;morts éprouvées;muertes sufridas;: 体験した最期;체험한 최후;种死法已体验;種死法已體驗;erlittene Tode;смертей;morti subite;mortes sofridas;
character_stats;Portrait gallery;Portre galerisi;Portraits;Retratos;ポートレートギャラリー;초상화 갤러리;肖像画廊;肖像畫廊;Porträt-Galerie;Галерея портретов;Galleria ritratti;Galeria de retratos;
;characters met;karşılaşılan karakterler;personnages rencontrés;personajes encontrados;: 出会ったキャラクター;만난 캐릭터;名角色已相遇;名角色已相遇;getroffene Charaktere;встречено персонажей;personaggi incontrati;personagens encontrados;
card_stats;null;hiç;;nulo;null;null;null;null;null;нет;null;null;
;cards discovered;keşfedilen kartlar;cartes découvertes;cartas descubiertas;: 発見したカード;발견한 카드;张卡片已发现;張卡片已發現;entdeckte Karten;открыто карт;carte scoperte;cartas descobertas;
highscore_stats;HIGH SCORE;YÜKSEK SKOR;;;HIGH SCORE;최고 득점;高分榜;高分榜;HIGHSCORE;ЛУЧШИЙ СЧЕТ;PUNTEGGI;RECORDE;
year_in_power;year in power|years in power;hükmedilen yıl|hükmedilen yıl;an au pouvoir|ans au pouvoir;año al poder|años al poder;在位|年;년 재위|년 재위;在位|年;在位|年;Jahr an der Macht|Jahre an der Macht;год у власти|года у власти|лет у власти;anno al potere|anni al potere;ano no poder|anos no poder;
highscore_label;NEW HIGH SCORE!;YENİ YÜKSEK SKOR!;NOUVEAU HIGH SCORE !;¡NUEVO SCORE!;NEW HIGH SCORE！;신규 최고 득점!;新高分！;新高分！;NEUER HIGHSCORE!;НОВЫЙ РЕКОРД!;NUOVO PUNTEGGIO MIGLIORE!;NOVO RECORDE!;
;STILL ALIVE!;HALA HAYATTA!;ENCORE VIVANTE !;¡AÚN CON VIDA!;存命！;아직 생존!;依然存活！;依然活著！;NOCH AM LEBEN!;ЕЩЕ ЖИВЕМ!;ANCORA IN VITA!;AINDA VIVA!;
noeffect;You have neither curse, nor spell, nor magical item, nor special event.;Ne lanet, ne büyü, ne sihirli eşya, ne de özel etkinliğin var.;Vous n'avez ni malédiction, ni sort, ni objet magique, ni événement spécial.;No tienes ni maldición ni objeto mágico ni evento especial.;国政に影響を及ぼす呪い、魔法、特殊行事は発生していません。;국정에 영향을 미치는 저주, 마법 아이템, 특수 이벤트가 없습니다.;你既没诅咒，也没法术、法器+或遭遇特殊事件;你既未遭受詛咒，也無法術法器+或遭遇特殊事件;Kein Fluch oder Zauber, kein magischer Gegenstand, kein besonderes Ereignis.;У вас нет ни проклятья, ни заклятья, ни магического предмета, ни особого события.;Non hai maledizioni, incantesimi, oggetti magici o eventi speciali.;Você não tem maldição, feitiço, item mágico nem evento especial.;
nothing;Nothing;Hiçbir şey;Rien;Nada;なし;없음;啥都没有;無事件;Nichts;Ничего;Niente;Nada;
portrait;Portrait mode;Portre modu;Mode portrait;Modo retrato;ポートレートモード;세로 모드;竖屏模式;直屏模式;Porträt-Modus;Портретный режим;Modalità ritratto;Modo retrato;
achieve;Achievements;Başarılar;Succès;Logros;実績;도전과제;成就;成就;Errungenschaften;Достижения;Obiettivi;Conquistas;
saving;Cloud Save;Bulut Kaydı;Sauvegardes;Juegos guardados;クラウドセーブ;클라우드 저장;云端存储;雲端存儲;Cloud-Spielstand;Облачное сохранение;Partite salvate;Gravação na nuvem;
highscore;Leaderboard;Lider Tablosu;Scores;Puntuación;ランキング;리더보드;排行榜;排行榜;Rangliste;Рейтинг;Punteggio;Placar de líderes;
title;Her Majesty;Majesteleri;Sa Majesté;Su Majestad;Her Majesty;여왕 폐하;王后陛下;王后陛下;Ihre Majestät;Ее величество;Sua Maestà;Sua Majestade;
subtitle;Swipe and be the Queen;Kaydır ve Kraliçe ol;Balayez à gauche, à droite, vous êtes la Reine;Desliza el dedo y sé la Reina.;スワイプして女王になろう;밀어서 여왕이 되십시오;划动卡牌，成为王后;滑動卡牌，成為王后;Die wischende Königin;Смахните и станьте королевой;Fai scorrere e diventa la Regina;Deslize para ser a rainha;
getitnow;Get it now;Şimdi al;Acheter;Píllalo ya;今すぐ入手;지금 시작하세요;现在获取;現在獲取;Jetzt holen;Получить сейчас;Ottieni subito;Obtenha agora;
watchtrailer;Watch a trailer;Trailer izle;Regarder une bande-annonce;Ver el trailer;トレーラーを見る;트레일러 보기;观看预告片;欣賞預告片;Trailer ansehen;Просмотреть трейлер;Guarda un trailer;Veja um trailer;
antagonizing;CONCOCTING THE PROPHECY;KEHANET HAZIRLANIYOR;PRÉPARATION DE LA PROPHÉTIE;ELABORANDO LA PROFECÍA;預言を作成中;예언을 날조하는 중;撰写预言书;醞釀預言中;PROPHEZEIUNG ZUSAMMENBRAUEN;СОСТАВЛЯЕМ ПРОРОЧЕСТВО;CREAZIONE DELLA PROFEZIA;ENGENDRANDO A PROFECIA;
step;<i>Take a step</i>;<i>Bir adım at</i>;<i>Avancer d'un pas</i>;<i>Da un paso</i>;<i>一歩前へ</i>;<i>조취를 취하라</i>;<i>采取措施</i>;<i>採取行動</i>;<i>Einen Schritt vortreten</i>;<i>Сделайте шаг</i>;<i>Fai un passo</i>;<i>Dar um passo</i>;
attack;<i>Fire!</i>;<i>Ateş!</i>;<i>Feu !</i>;<i>¡Fuego!</i>;<i>撃つ！</i>;<i>발사!</i>;<i>开火！</i>;<i>開火！</i>;<i>Schießen!</i>;<i>Огонь!</i>;<i>Fuoco!</i>;<i>Fogo!</i>;
the;The; ;La;La;; ;;;Die;Наша;La;A;
queen;Queen;Kraliçe;Reine;Reina; ;여왕 폐하;王后;王后;Königin;Королева;Regina;rainha;
isdead;is dead;ölü;est morte.;ha muerto;現女王が崩御！;께서 사망하셨습니다;驾崩;駕崩;ist tot;умерла;è morta;está morta;
isgone;is gone;gitti;est partie.;se ha ido;現女王が崩御！;께서 돌아가셨습니다;离我们而去;離我們而去;ist fort;скончалась;se n'è andata;se foi;
longlive;Long live the;Çok yaşa;Longue vie à la;Viva la;新女王が即位！;영원하시옵소서;万岁！我们的;萬歲！我們的;Lang lebe die;Да здравствует;Viva la;Longa vida à;
games;Queen in the dynasty;Hanedandaki Kraliçe;Reine et à la dynastie.;Reina de la dinastía;王朝第|代女王;왕조의 여왕 폐하;王后殿下;王后殿下;Königin der Dynastie;Королева из династии;Regina della dinastia;rainha na dinastia;
queen_names;Emily;Emily;Valérie;Emilia;エミリー;에밀리;埃米莉;艾蜜莉;Emilia;Эмили;Emilia;Emília;
;Rachel;Rachel;Rachel;Raquel;レイチェル;레이첼;瑞秋;瑞秋;Rachel;Рейчел;Rachele;Raquel;
;Meghna;Meghna;Meghna;Megan;メグナ;메그나;梅克娜;梅克娜;Meghna;Мегна;;Meghna;
;Patience;Patience;Patience;Paciencia;ペイシェンス;페이션스;佩珊斯;佩珊斯;Therese;Пейшенс;Costanza;Paciência;
;Ellen;Ellen;Sophie;Elena;エレン;엘렌;爱伦;愛倫;Helena;Эллен;Elena;Helena;
;Ann;Ann;Maria;Ana;アン;앤;安;安;Anna;Энн;Anna;Ana;
;Victoire;Victoire;Victoire;Victoria;ヴィクトリア;빅투아르;维多利;維多利;Viktoria;Виктория;Vittoria;Vitória;
;Ella;Ella;Diane;Pepa;エラ;엘라;艾拉;艾拉;Katharina;Элла;Eleonora;Ella;
;Julia;Julia;Julia;Julia;ジュリア;줄리아;茱莉亚;茱莉亞;Julia;Джулия;Giulia;Júlia;
;Mercedes;Mercedes;Mercedes;Mercedes;メルセデス;메르세데스;默西迪丝;默西迪絲;Mercedes;Мерседес;Mercede;Mercedes;
;Elizabeth;Elizabeth;Charlène;Isabel;エリザベス;엘리자베스;伊丽莎白;伊莉莎白;Elisabeth;Елизавета;Elisabetta;Elizabeth;
;Roxane;Roxane;Roxane;Rosana;ロクサーヌ;록산느;罗克珊;洛葛仙妮;Roxane;Роксана;Rossana;Roxane;
;Ashima;Ashima;Margot;Azucena;アシマ;아쉬마;阿诗玛;阿詩瑪;Ashima;Ашима;;Ashima;
;Paulette;Paulette;Paulette;Paula;ポーレット;팔레뜨;波莱特;波萊特;Carla;Полетт;Paolina;Paulette;
;Ijeoma;Ijeoma;Constance;Yleana;イジェオマ;아이조마;婕欧玛;婕歐瑪;Ijeoma;Иджеома;;Ijeoma;
;Alejandra;Alejandra;Félicie;Alejandra;アレハンドラ;알레잔드라;亚丽珍达;亞麗珍達;Alexandra;Алехандра;Alessandra;Alexandra;
;Latoya;Latoya;Latoya;Latoya;ラトーヤ;라토야;拉托雅;拉托雅;Sophie;Латойя;;Latoya;
;Mikki;Mikki;Mikki;Mikaela;ミッキ;미키;米琪;米琪;Mikki;Микки;Michelina;Mikki;
;Amelie;Amelie;Blanche;Amelia;アメリア;아멜리;艾美丽;艾蜜莉;Amelie;Амели;Amelia;Amélia;
;Tanya;Tanya;Tanya;Tania;ターニャ;타냐;塔尼娅;譚雅;Tanja;Таня;Tania;Tânia;
;Beatrice;Beatrice;Béatrice;Beatriz;ベアトリス;베아트리스;碧儿翠丝;碧兒翠絲;Beate;Беатриса;Beatrice;Beatriz;
;Graciela;Graciela;Graciela;Graciela;グラシエラ;그라시엘라;格雷西拉;格雷西拉;Graciella;Грасьела;Graziella;Graciela;
;Esme;Esme;Thalia;Esmeralda;エスメ;에쉼;艾丝梅;艾絲梅;Esme;Эсме;Esmeralda;Esme;
;Calista;Calista;Calista;Calista;カリスタ;칼리스타;卡莉斯达;卡莉斯達;Calista;Калиста;;Calista;
;Desdemona;Desdemona;Desdémone;Desdémona;デスデモーナ;데스데모나;苔丝狄蒙娜;苔絲狄蒙娜;Desdemona;Дездемона;;Desdemona;
;Willa;Willa;Willa;Guillerma;ウィラ;윌라;薇拉;薇拉;Willa;Вилла;Vilma;Willa;
;Mariel;Mariel;Marielle;Mariela;マリエル;마리엘;玛莉尔;瑪莉爾;Mariel;Мариэль;Mariella;Mariel;
;Christine;Christine;Christine;Cristina;クリスティン;크리스틴;克莉斯汀;克莉斯汀;Christine;Кристина;Cristina;Cristina;
;Cassandra;Cassandra;Cassandra;Casandra;カサンドラ;카산드라;卡桑德拉;卡珊德拉;Cassandra;Кассандра;Cassandra;Cassandra;
;Laralyn;Laralyn;Laralyn;Laurencia;ララリン;라라린;拉瑞林;拉瑞林;Laralyn;Ларалин;;Laralyn;
;Chelsea;Chelsea;Chelsea;Charo;チェルシー;첼시아;雀儿喜;雀兒喜;Friederike;Челси;;Chelsea;
;Tamara;Tamara;Tamara;Tamara;タマラ;타마라;塔玛拉;塔瑪拉;Tamara;Тамара;;Tamara;
;Brenda;Brenda;Brenda;Brenda;ブレンダ;브렌다;布兰达;布蘭妲;Brenda;Бренда;;Brenda;
;Elise;Elise;Thérèse;Elisa;エリス;엘리제;埃莉斯;伊莉絲;Elise;Элиза;Elisa;Elisa;
;Laura;Laura;Laura;Laura;ローラ;로라;劳拉;蘿拉;Laura;Лора;;Laura;
;Sarah;Sarah;Sarah;Sara;サラ;사라;萨拉;莎拉;Sarah;Сара;Sara;Sara;
;Iris;Iris;Pénélope;Penélope;アイリス;아이리스;艾瑞斯;艾利絲;Iris;Айрис;Iris;Íris;
;Edwina;Edwina;Palmina;Eduardina;エドウィナ;에드위나;埃德温娜;愛德溫娜;Auguste;Эдвина;Edvina;Edwina;
comtesse_generic;The Comtesse;Kontes;La Comtesse;La Condesa;伯爵夫人;백작부인;伯爵夫人;伯爵夫人;Die Gräfin;Графиня;La Contessa;A Condessa;
comtesse;Comtesse <...>;Kontes <...>;Comtesse <...>;Condesa <...>;<...>伯爵夫人;<...> 백작부인;<...>伯爵夫人;<...>伯爵夫人;Gräfin <...>;Графиня <...>;Contessa <...>;Condessa <...>;
;Joan;Joan;Joan;Juana;ジョアン;조안;乔娜;瓊;Johanna;Иоанна;Giovanna;Joana;
;Vivian;Vivian;Viviane;Viviana;ヴィヴィアン;비비안;薇薇安;薇薇安;Wilhelmine;Вивьен;Viviana;Viviana;
;Filisia;Filisia;Filisia;Felisa;フィリシア;필리시아;芙莉西亚;費利西婭;Angela;Фелисия;Felicita;Filisia;
;Marguerite;Marguerite;Marguerite;Margarita;マーガレット;마가레트;玛格丽特;瑪格麗特;Margerite;Маргарита;Margherita;Margarida;
;Laurentia;Laurentia;Laurentia;Laurencia;ローレンティナ;로렌시아;劳伦希娅;勞倫希婭;Laurentia;Лаурентия;Lorenza;Laurência;
;Lucy;Lucy;Lucie;Lucía;ルーシー;루시;露西;露西;Lucia;Люсия;Lucia;Lúcia;
archbishop_generic;Cardinal;Kardinal;Cardinal;Cardenal;枢機卿;추기경;红衣主教;紅衣主教;Kardinal;Кардинал;Cardinale;Cardeal;
archbishop;Cardinal <last_names>;Kardinal <last_names>;Cardinal <last_names>;Cardenal <last_names>;<last_names>枢機卿;<last_names> 추기경;红衣主教<last_names>;紅衣主教<last_names>;Kardinal <last_names>;Кардинал <last_names>;Cardinale <last_names>;Cardeal <last_names>;
fox;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;
;Sakuya;Sakuya;Sakuya;Sacude;サクヤ;사쿠야;咲耶;咲耶;Sakuya;Сакуя;;Sakuya;
;Piaw;Piaw;Piau;Pío;ピャウ;퍄오;小朴;小樸;Piaw;Пиав;Pio pio;Piaw;
;Pipin;Pipin;Pipin;Pimpín;ピピン;피핀;皮篷;皮篷;Pipin;Пипин;Pipin;Pipin;
fox_generic;The Fox;Tilki;Le Renard;El Zorro;キツネ;여우;狐狸;狐狸;Der Fuchs;Лис;La Volpe;A Raposa;
mother;All-Mother;Yüce Ana;Mère Toute-Puissante;Madre de Todo;万物の母;만물의 어머니;万物之母;萬物之母;Allmutter;Мать всего сущего;Onnimadre;Mãe Suprema;
mother_generic;The All-Mother;Yüce Ana;La Mère Toute-Puissante;La Madre de Todo;万物の母;만물의 어머니;万物之母;萬物之母;Die Allmutter;Мать всего сущего;L'Onnimadre;A Mãe Suprema;
handmaid2;Duchess <...>;Düşes <...>;Duchesse <...>;Duquesa <...>;<...>公爵夫人;<...> 공작부인;<...>公爵夫人;<...>公爵夫人;Herzogin <...>;Герцогиня <...>;Duchessa <...>;Duquesa <...>;
