name;en_title (max: 15 char.);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;description;tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description;achievement;tu_achievement;fr_achievement;es_achievement;jp_achievement;ko_achievement;sc_achievement;tc_achievement;de_achievement;ru_achievement;it_achievement;bp_achievement
extravagant;the Extravagant;Savurgan;l'Extravagante;la Extravagante;蕩尽女王;낭비자;奢侈者;奢侈者;die Extravagante;Сумасбродка;la Stravagante;a Extravagante;Own a royal riverboat;Kraliyet nehir teknesi sahibi ol;Posséder un bateau royal;Poseer un bote real para el río;遊覧船を所有する;배를 한 척 소유한다;拥有一条皇家江轮;擁有一條皇家江輪;Besitzt ein königliches Flussschiff;Обзавестись королевской лодкой;Possiedi una barca fluviale reale;Tenha uma barcaça real;;;;;;;;;;;;
hearty;the Hearty;Dinç;la Hardie;la Afable;誠心女王;원기왕성한 자;英朗者;英朗者;die Wackere;Храбрая сердцем;la Vigorosa;a Corajosa;Duel a pirate;Bir korsanla düello yap;Affronter une pirate en duel;Desafiar a un pirata;海賊と決闘する;해적과 결투한다;和海盗决斗;和海盜決鬥;Duelliert Euch mit einer Piratin;Вызвать на дуэль пирата;Sfida a duello una pirata;Duele com uma pirata;;;;;;;;;;;;
builder;the Builder;Mimar;la Bâtisseuse;la Constructora;建築女王;건축가;建筑者;建築者;die Baumeisterin;Зодчая;la Capocantiere;a Construtora;Earn three architectural works;Üç mimari çalışma kazan;Obtenir 3 œuvres architecturales;Ganar tres construcciones;3つの建築物を獲得する;건축물을 3개 짓는다;获得3个建筑作品;獲得3個建築作品;Verdient Euch drei Bauwerke;Получить три шедевра архитектуры;Ottieni tre edifici;Ganhe três obras arquitetônicas;;;;;;;;;;;;
throne;the Graceful;Zarif;la Grâcieuse;la  Grácil;優艶女王;우아한 자;皇权者;皇權者;die Anmutige;Изящная;l'Aggraziata;a Graciosa;Perform the Coronation Rite;Taç Giyme Töreni gerçekleştir;Accomplir le Rituel du Couronnement;Representar el Rito de Coronación;戴冠式を執り行う;대관식을 치룬다;举行加冕仪式;舉行加冕儀式;Vollzieht das Krönungsritual;Провести обряд коронации;Esegui il Rito dell'incoronazione;Realize o Rito de Coroação;;;;;;;;;;;;
mercantile;the Mercantile;Tüccar;la Mercantile;la Mercantilista;政商女王;상인;贸易者;貿易者;die Investorin;Меркантильная;La Mercantile;a Mercantil;Recruit the merchant;Tüccarı işe al;Recruter la Marchande;Reclutar a la mercader;商人を雇う;상인을 고용한다;招募商人;招募商人;Rekrutiert die Händlerin;Призвать на службу купчиху;Ingaggia la Mercante;Recrute a comerciante;No Provenance;Kökensiz;Venu d'ailleurs;Origen desconocido;過去なき宝物;유래 없음;不问出处;不問出處;Unklare Herkunft;Скидок не жди;Nessuna provenienza;Sem proveniência
worldly;the Worldly;Dünyevi;la Cosmopolite;la Palabrera;探究女王;세상 경험이 많은 자;探索者;探索者;die Weltgewandte;Гражданка мира;la Mondana;a Descobridora;Discover a new world;Yeni bir dünya keşfet;Découvrir un nouveau monde;Descubrir un nuevo mundo;新世界を発見する;새로운 땅을 발견한다;发现一个新世界;發現一個新世界;Entdeckt eine neue Welt;Открыть новый мир;Scopri un nuovo mondo;Descubra um novo mundo;Northern Exposure;Kuzeyli;Civilisation nordique;Exposición norteña;北の大発見;북방 발견;北境探秘;北境探秘;Erforschung des Nordens;Обретение Севера;Esposizione a Nord;Exposição nortenha
maze;the Lost;Kayıp;l'Égarée;la Perdida;迷子女王;길잃은 자;迷宫者;迷宮者;die Verirrte;Заплутавшая;la Perduta;a Perdida;Enter the maze;Labirente gir;Entrer dans le Labyrinthe;Entrar en el laberinto;迷路に入る;미로에 들어간다;进入迷宫;進入迷宮;Betretet das Labyrinth;Войти в лабиринт;Entra nel labirinto;Entre no labirinto;Labyrinthine;Labirent;Labyrinthique;Laberinto;ラビリンス;미궁;九曲八弯;九曲八彎;Vertrackter Garten;Леди лабиринта;Labirintite;Labiríntica
duelist;the Duelist;Düellocu;la Duelliste;la Duelista;決闘女王;결투사;决斗家;決鬥家;die Duellantin;Дуэлянтка;la Duellante;a Duelista;Find a pistol;Bir tabanca bul;Trouver un pistolet;Encontrar una pistola;ピストルを見つける;권총을 얻는다;发现一把手枪;發現一把手槍;Findet eine Pistole;Найти пистолет;Trova una pistola;Encontre uma pistola;;;;;;;;;;;;
keen;the Keen;Zeki;la Rusée;la Entusiasta;執心女王;날카로운 자;敏锐者;敏銳者;die Kluge;Проницательная;la Perspicace;a Sagaz;Unmask a traitor;Bir hainin maskesini düşür;Démasquer un traître;Desemascarar al traidor;裏切者をあばく;배반자를 밝혀낸다;揪出一个叛国者;揪出一個賣國賊;Entlarvt einen Verräter;Разоблачить предателя;Smaschera un traditore;Desmascare um traidor;;;;;;;;;;;;
father;the Merciful;Merhametli;la Clémente;la Clemente;慈心女王;자비로운 자;仁厚者;仁厚者;die Barmherzige;Милосердная;la Clemente;a Misericordiosa;Examine a church prisoner;Bir kilise mahkumunu incele;Recevoir un prisonnier de l'Église;Interrogar a un preso de la iglesia;教会の囚人を調べる;교회의 죄수를 심문한다;审查一名教堂关押犯;審問一名教會囚犯;Sprecht einen Gefangenen der Kirche;Взглянуть на узника в церкви;Esamina un prigioniero della Chiesa;Examine um prisioneiro da Igreja;Our Father;Babamız;Notre Père;Nuestro Padre;われらが父;하느님;神父之仁;神父之仁;Unser Vater;Отче наш;Nostro padre;Pai nosso
enlighten;the Enlightened;Aydınlanmış;l'Éclairée;la Iluminada;慧眼女王;교양있는 자;启迪者;啟迪者;die Aufgeklärte;Просвещенная;l'Illuminata;a Iluminada;Become a patron of the arts;Sanat hamisi ol;Devenir protectrice des arts;Llegar a ser patrona de las artes;芸術の支援者になる;예술의 후원자가 된다;成为艺术赞助者;成為藝術支持者;Werdet eine Mäzenin der Künste;Стать покровительницей искусств;Diventa mecenate di belle arti;Torne-se uma patrona das artes;;;;;;;;;;;;
vengeful;the Vengeful;Kinci;la Vengeresse;la Vengativa;復讐女王;복수자;复仇者;復仇者;die Rachsüchtige;Мстительница;la Vendicatrice;a Vingativa;Duel the assassin;Suikastçı ile düello yap;Se battre en duel contre la tueuse;Batirse en duelo;暗殺者と決闘する;암살자와 결투한다;和刺客决斗;和刺客決斗;Duelliert Euch mit der Attentäterin;Провести дуэль с убийцей;Sfida a duello l'assassina;Duele com a assassina;;;;;;;;;;;;
mother;the Mother;Ana;la Mère;la Madre;聖母女王;어머니;母后;母后;die Mutter;Мать;la Madre;a Mãe;Produce an heir;Bir varis doğur;Donner naissance à un héritier;Traer un heredero al mundo;世継ぎをもうける;계승인을 만든다;生下一位继承者;生下一位繼承人;Bringt einen Erben zur Welt;Обзавестись наследником;Dai un erede;Produza um herdeiro;;;;;;;;;;;;
old;the Matron;Müdire;la Vieille;la Matrona;円熟女王;여사;睿智护国;睿智護國;die Matrone;Матрона;la Matrona;a Matrona;Govern at least 20 years;En az 20 yıl yönet;Régner au moins 20 ans;Gobernar al menos 20 años;20年以上統治する;최소 20년 동안 통치한다;统治王国20年以上;統治王國20年以上;Regiert mindestens 20 Jahre;Править не менее 20 лет;Governa per almeno 20 anni;Governe por pelo menos 20 anos;;;;;;;;;;;;
elder;the Elder;İhtiyar;la Doyenne;la Anciana;老練女王;연장자;智毅无双;智毅無雙;die Erfahrene;Матриарх;l'Anziana;a Idosa;Govern at least 40 years;En az 40 yıl yönet;Régner au moins 40 ans;Gobernar al menos 40 años;40年以上統治する;최소 40년 동안 통치한다;统治王国40年以上;統治王國40年以上;Regiert mindestens 40 Jahre;Править не менее 40 лет;Governa per almeno 40 anni;Governe por pelo menos 40 anos;;;;;;;;;;;;
ancient;the Ancient;Antik;l'Ancienne;la Antigua;大女王;선조;古今完人;古今完人;die Alte;Старица;l'Antica;a Antiga;Govern at least 60 years;En az 60 yıl yönet;Régner au moins 60 ans;Gobernar al menos 60 años;60年以上統治する;최소 60년 동안 통치한다;统治王国60年以上;統治王國60年以上;Regiert mindestens 60 Jahre;Править не менее 60 лет;Governa per almeno 60 anni;Governe por pelo menos 60 anos;;;;;;;;;;;;
venerated;the Venerated;Saygın;la Vénérée;la Venerada;敬女王;존경받는 자;天地同存;天地同存;die Verehrte;Почитаемая всеми;la Venerabile;a Venerada;Govern at least 80 years;En az 80 yıl yönet;Régner au moins 80 ans;Gobernar al menos 80 años;80年以上統治する;최소 80년 동안 통치한다;统治王国80年以上;統治王國80年以上;Regiert mindestens 80 Jahre;Править не менее 80 лет;Governa per almeno 80 anni;Governe por pelo menos 80 anos;;;;;;;;;;;;
crone;the Crone;Kocakarı;la Vieillarde;la Arpía;老女王;노파;万寿无疆;萬壽無疆;die Greisin;Вечная;la Vetusta;a Anciã;Govern at least a century;En az bir yüzyıl yönet;Régner au moins un siècle;Gobernar al menos un siglo;1世紀以上統治する;최소 1 세기 동안 통치한다;统治王国100年以上;統治王國100年以上;Regiert mindestens 100 Jahre;Править не менее века;Governa per almeno un secolo;Governe por pelo menos um século;;;;;;;;;;;;
deathless;the Deathless;Ölümsüz;l'Increvable;la Inmortal;永生女王;죽지않는 자;创世神人;創世神人;die Unsterbliche;Бессмертная;l'Immortale;a Imortal;Govern at least two centuries;En az iki yüzyıl yönet;Régner au moins deux siècles;Gobernar al menos dos siglos;2世紀以上統治する;최소 2 세기 동안 통치한다;统治王国200年以上;統治王國200年以上;Regiert mindestens 200 Jahre;Править не менее двух веков;Governa per almeno due secoli;Governe por pelo menos dois séculos;;;;;;;;;;;;
doctor;the Savant;Bilgin;la Savante;la Sabia;博識女王;학자;博学者;博學者;die Gelehrte;Жаждущая знаний;l'Erudita;a Sábia;Investigate the locked tower;Kilitli kuleyi araştır;Explorer la tour interdite;Investigar el torreón que está cerrado;禁断の塔を調べる;잠긴 탑을 조사한다;调查上锁的塔;調查上鎖的塔;Untersucht den verschlossenen Turm;Исследовать запертую башню;Indaga sulla torre chiusa a chiave;Investigue a torre trancada;Bizarre Enlightenment;Acayip Aydınlanma;Étrange Révélation;Iluminación Bizarra;奇妙な悟り;기묘한 깨달음;惊人真相;驚人真相;Bizarre Erkenntnis;Странное просвещение;Una bizzarra intuizione;Iluminismo bizarro
machinist;the Machinist;Makinist;la Bricoleuse;la Maquinista;からくり女王;기계 제작자;机械师;機械師;die Mechanikerin;Умелые руки;la Meccanica;a Mecânica;Restore the mechanical owl;Mekanik baykuşu restore et;Réparer la chouette mécanique;Reparar el búho mecánico;からくりフクロウを修理する;기계 부엉이를 복원한다;修复机械猫头鹰;修復機械貓頭鷹;Repariert die mechanische Eule;Восстановить механическую сову;Ripara il Gufo meccanico;Conserte a coruja mecânica;The Duel Room;Düello Odası;La Salle de Duel;La Sala de Duelos;決闘場;결투실;决斗室;決鬥室;Der Duellraum;Зал для дуэлей;La sala dei duelli;A sala de duelos
eclipse;the Celestial;Kutsal;la Céleste;la Celestial;天界女王;신성한 자;天外客;天外客;die Himmlische;Владычица небес;la Celestiale;a Celestial;Summon an eclipse;Bir tutulma çağır;Provoquer une éclipse;Convocar un eclipse;日食を引き起こす;일식을 소환한다;召唤一次日蚀;召喚一次日蝕;Beschwört eine Finsternis;Призвать затмение;Evoca un'eclissi;Invoque um eclipse;Inner Shadow;İç Gölge;Ombre intérieure;La Sombra Interna;内なる闇;내면의 어둠;内心阴暗;內心陰暗;Innerer Schatten;Внутренняя тень;Ombre interiori;Sombra interior
saint;the Saint;Aziz;la Sainte;la Santa;聖女王;성자;圣人;聖人;die Heilige;Святая;la Santa;a Santa;Pass the sainthood test ;Azizlik testini geç;Réussir l'Épreuve de sainteté;Pasar el test de santidad;聖者の試練に合格する;성자 시험을 통과한다;通过圣徒测试;通過聖徒測試;Besteht die Heiligkeitsprobe;Пройти испытание святости ;Supera la prova di santità ;Passe no teste de santidade;;;;;;;;;;;;
magi;the Magi;Bilge;l'Enchanteresse;la Mágica;魔獣女王;마법사;女术士;女術士;die Weise;Кудесница;la Maga;a Maga;Talk to an animal;Bir hayvanla konuş;Parler à un animal;Hablar con un animal;動物に話しかける;동물과 대화한다;和动物讲话;和動物講話;Sprecht mit einem Tier;Поговорить с животным;Parla con un animale;Fale com um animal;;;;;;;;;;;;
unholy;the Unholy;Dine Aykırı;l'Impie;la Profana;不聖女王;불경한 자;不圣者;不聖者;die Gottlose;Нечестивая;la Miscredente;a Profana;Speak to the Lady of the Wood;Orman Hanımı ile konuş;Parler à la Dame de la Forêt;Hablar con la Dama del Bosque;森の淑女に話しかける;숲의 여인과 대화한다;和丛林夫人讲话;和叢林夫人講話;Sprecht mit der Herrin des Waldes;Поговорить с Лесной госпожой;Parla con la Signora del bosco;Fale com a Senhora do Bosque;;;;;;;;;;;;
chosen;the Pure;Saf;la Pure;la Pura;清廉女王;순수한 자;天选者;天選者;die Reine;Чистая сердцем;l'Immacolata;a Pura;Defeat your inner darkness;İçindeki karanlığı yen;Vaincre vos ténèbres intérieures;Desafiar tu oscuridad interna;内なる闇に打ち勝つ;내면의 어둠을 몰아낸다;战胜你内心的阴暗;打敗你內心的陰暗;Besiegt Eure innere Dunkelheit;Одержать верх над внутренней тьмой;Sconfiggi l'oscurità dentro di te;Derrote a sua escuridão interior;;;;;;;;;;;;
olddeath;the Fulfilled;Tatmin Olmuş;la Comblée;la Satisfecha;天命女王;행복한 자;无憾者;無憾者;die Erfüllte;Состоявшаяся;la Realizzata;a Realizada;Die happy;Mutlu öl;Mourir heureuse;Morir feliz;幸せに死ぬ;행복하게 죽는다;幸福地死去;幸福地死去;Sterbt glücklich;Умереть счастливой;Muori felice;Morra feliz;;;;;;;;;;;;
innocent;the Innocent;Masum;l'Innocente;la Inocente;潔白女王;결백한 자;无罪者;無罪者;die Unschuldige;Невиновная;l'Innocente;a Inocente;Stand trial ;Yargılan;Passer en jugement;Sobrevivir a un juicio;裁判を受ける;법정에 선다;经受考验;經受考驗;Steht vor Gericht;Предстать перед судом ;Subisci un processo ;Seja levada a julgamento;;;;;;;;;;;;
snake;the Secret;Sır;la Secrète;la Secreta;秘密女王;비밀;拥蛇者;擁蛇者;die Enthüllerin;Таинственная;la Segreta;a Secreta;Reveal the snake society;Yılan toplumunu açığa çıkar;Démasquer le Cercle du Serpent;Revelar la sociedad-serpiente;ヘビ男の謎を解く;뱀의 사교회를 드러낸다;发现蛇人群体;發現蛇人群體;Entlarvt die Schlangenköpfe;Разоблачить Змеиное общество;Rivela il Club dei serpenti;Exponha a sociedade das serpentes;;;;;;;;;;;;
millenium;the Millennial;Milenyumlu;la Millénariste;la Milenial;千年女王;천년을 넘어;千禧后;千禧后;die Tausenderin;Дитя тысячелетия;la Millenaria;a Milenar;Pass the second millennium;İkinci milenyumu geç;Franchir le second millénaire;Pasar el segundo milenio;2000年に達する;2000년대를 지난다;经历第二个千年;經歷第二個千年;Übersteht das zweite Jahrtausend;Перейти во второе тысячелетие;Supera il secondo millennio;Passe o segundo milênio;;;;;;;;;;;;
empowered;the Empowered;Yetkili;l'Émancipée;la Venida a Más;独立女王;관리자 권한;掌权者;掌權者;die Begabte;Уполномоченная;la Potente;a Empoderada;YASSSS KWEEEEN! Learn to code!;EVVVVVET KRALÇE! Kodlamayı öğren!;LA CLASSE ! Apprends à programmer !;¡SIIIIIII SEÑORA! ¡Aprende a programar!;コードを学ぶ;좋았어!!! 코딩을 배우세요!;是哒我的王后殿下！+学会密语哦！;是滴喲王后殿下！+學會暗號哦！;J3P, KÖN1G1N! Lernt Programmieren!;ДЕЕЕ, КУРУЛИВЕ! Освойте код!;CHE REGINA! Impara a programmare!;SOU A RAINHA! Aprenda a programar!;;;;;;;;;;;;
indefatiguable;the Indefatigable;Usanmaz;l'Infatigable;la Infatigable;色情女王;정력가;不懈者;不懈者;die Unermüdliche;Неутомимая;l'Infaticabile;a Incansável;Have four affairs at once;Aynı anda dört ilişkin olsun;Avoir 4 liaisons en même temps;Tener cuatro rollos al mismo tiempo;同時に4人と不倫する;동시에 애인을 4명 둔다;同时脚踏四只船;同時腳踏四隻船;Habt vier Affären gleichzeitig;Крутить четыре романа одновременно;Intrattieni 4 relazioni insieme;Tenha quatro casos ao mesmo tempo;;;;;;;;;;;;
collector;the Collector;Koleksiyoncu;l'Obsessionnelle;la Coleccionista;収集女王;수집가;收藏家;收藏家;die Sammlerin;Коллекционер;la Collezionista;a Colecionadora;Upgrade all your items;Tüm eşyalarını yükselt;Améliorer tous vos objets;Actualizar tus objetos;全アイテムを強化する;모든 아이템을 업그레이드 한다;升级你所有的物品;升級你所有的物品;Wertet alle Eure Gegenstände auf;Улучшить все предметы в наличии;Potenzia tutti i tuoi oggetti;Aprimore todos os seus itens;;;;;;;;;;;;
vampiremeet;the Bloodless;Kansız;l'Exangue;la Desangrada;冷血女王;핏기 없는 자;无血者;無血者;die Blutlose;Обескровленная;la Senzasangue;a Sangue Frio;Meet the vampire;Vampir ile tanış;Rencontrer le vampire;;吸血鬼に会う;흡혈귀를 만난다;见到吸血鬼;見到吸血鬼;Begegnet dem Vampir;Повстречать вампира;Incontra il vampiro;Conheça o vampiro;Curse Drama;Lanet Dramı;Tragédie et malédiction;;呪いのドラマ;연극을 욕한다;诅咒戏码;詛咒戲碼;Fluch-Drama;Вампирская драма;Maledizione drammatica;O drama da maldição
vampirewin;the Magus;Mecusi;l'Exorciste;la Hechizada;魔導女王;마구스;驱魔者;驅魔者;die Magierin;Чародейка;la Magae;a Maga;Transform the vampire;Vampiri dönüştür;Transformer le vampire;;吸血鬼を変化させる;흡혈귀를 변신시킨다;让吸血鬼变型;讓吸血鬼變身;Verwandelt den Vampir;Превратить вампира;Trasforma il vampiro;Transforme o vampiro;;;;;;;;;;;;
vampireking;the Healer;Şifacı;la Guérisseuse;la Curandera;治癒女王;치유사;治愈者;治癒者;die Heilerin;Целительница;la Guaritrice;a Curandeira;Cure the King's curse;Kralın lanetine çare bul;Guérir le Roi de sa malédiction;;王の呪いを解く;왕의 저주를 치유한다;祛除国王的诅咒;祛除國王的詛咒;Heilt den Fluch des Königs;Исцелить проклятье короля;Cura la maledizione del Re;Cure a maldição do rei;;;;;;;;;;;;
transform;the Conjurer;Hokkabaz;l'Invocatrice;la Conjuradora;変幻女王;요술사;召唤者;召喚者;die Wandlerin;Заклинательница;l'Evocatrice;a Feiticeira;Turn the frog into a princess;Kurbağayı bir prensese dönüştür;Transformer la grenouille en princesse;;カエルを姫に変える;개구리를 공주로 변신시킨다;将青蛙变为公主;將青蛙變為公主;Macht den Frosch zur Prinzessin;Превратить лягушку в принцессу;Trasforma la rana in principessa;Transforme o sapo em uma princesa;;;;;;;;;;;;
undo;the Witch;Cadı;l'Envoûteuse;la Bruja;魔界女王;마녀;女巫师;女巫師;die Hexe;Ведьма;la Strega;a Bruxa;Turn the princess into a frog;Prensesi bir kurbağaya dönüştür;Transformer la princesse en grenouille;;姫をカエルに変える;공주를 개구리로 변신시킨다;将公主变为青蛙;將公主變為青蛙;Macht die Prinzessin zum Frosch;Превратить принцессу в лягушку;Trasforma la principessa in rana;Transforme a princesa em um sapo;;;;;;;;;;;;
runaways;the Faithless;Dinsiz;l'Infidèle;la Infiel;不貞女王;신의 없는 자;无信仰者;無信仰者;die Treulose;Безверная;l'Infedele;a Infiel;Escape with your lover;Sevgilinle birlikte kaç;Fuir avec votre grand amour;;愛人と逃げる;애인과 도망친다;同你的情人私奔;同你的情人私奔;Entkommt mit Eurem Geliebten;Сбежать со своей тайной любовью;Fuggi con il tuo amante;Fuja com seu amante;;;;;;;;;;;;
alchemy;the Philosopher;Filozof;la Philosophe;la Filósofa;求知女王;철학자;求知者;求知者;die Philosophin;Философ;la Filosofa;a Filósofa;Explore a new form of science;Yeni bir bilim modeli keşfet;Explorer une nouvelle science;;新しい科学を探究する;과학의 새 분야를 탐구한다;探索新的科学领域;探索新的科學領域;Erkundet eine neue Wissenschaft;Изучить новую сферу науки;Esplora una nuova scienza;Explore uma nova ciência;Extreme Transmutation;Aşırı Dönüşüm;Transmutation extrême;;極限の変化;극단적 변형;极致转型;極致轉型;Extreme Umwandlung;Радикальное преображение;Trasmutazione estrema;Transmutação extrema
transmute;the Forbidden;Yasak;l'Interdite;la Prohibida;禁断女王;금지된 자;禁术师;禁術師;die Verbotene;Запретная;la Proibita;a Transmutadora;Complete the alchemist's work;Simyacının çalışmalarını tamamla;Mener à bien l'œuvre de l'alchimiste;;錬金術師の研究を完了させる;연금술사의 작업을 완료한다;完成炼金术士的工作;完成煉金術士的工作;Vollendet das Werk der Alchemistin;Завершить дело любительницы алхимии;Completa il lavoro dell'alchimista;Termine o trabalho da alquimista;;;;;;;;;;;;
