name;id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
play_pistol;749;ravenna;You wish to duel, sweetest friend? Very well, if we must. Let us go to your duel room.;Düello yapmak mı istiyorsun, tatlı dostum? Peki, eğer zorundaysak. Hadi düello odanıza gidelim.;Vous souhaitez m'affronter en duel, ma chère ? À votre guise. Retrouvons-nous dans votre Salle de Duel, alors.;¿Queréis un duelo, dulce amiga? Muy bien, si así ha de ser. Vayamos a la sala de duelos.;決闘を望まれるのですか、愛しき友よ？+必要とあらば受けて立ちましょう。+決闘場へご案内ください。;결투하려고요, 친구여? 좋아요, 해야 한다면 해야죠. 결투실로 갈까요.;你这么想决斗啊？+好吧，我们去决斗室;你這麼想決鬥啊？+好吧，我們去決鬥室;Ihr möchtet Euch duellieren, werte Freundin? Nun gut, wenn es sein muss. Lasst uns in den Duellraum gehen.;Хотите сразиться на дуэли, моя дорогая подруга? Что ж, если это необходимо… Пройдемте в ваш зал для дуэлей.;Volete sfidarmi a duello, mia carissima amica? Molto bene, se proprio dobbiamo. Proviamo la vostra sala dei duelli.;Você deseja um duelo, querida amiga? Muito bem, se assim tiver que ser. Vamos para a sua sala de duelos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Then let's forget it, <i>she says lightly.</i>;O zaman unutalım, <i>diyor hafifçe.</i>;"Alors, oublions cet incident", <i>dit-elle d'une voix légère.</i>;Entonces olvidémoslo, <i>dice a la ligera.</i>;「ではこの話は忘れましょう」+<i>と、王妃はあっさり言った。</i>;그러면 잊어버려요. <i>그녀는 가볍게 말합니다.</i>;让我们忘记这回事吧，<i>她小声说</i>;讓我們忘記這回事吧，<i>她小聲說</i>;Dann lasst es uns vergessen, <i>sagt sie leichthin.</i>;Что ж, значит, забудем об этом, <i>беспечно говорит она.</i>;Buttiamoci tutto alle spalle, <i>dice tranquillamente.</i>;Nesse caso, vamos esquecer isso, <i>ela diz, ligeiramente.</i>;
_duel_ravenna1;750;owl;Twoo-whoo, a sorceress you'll duel? This will be hard. Think tarot cards, and fire when you hear 'the Fool.';Vu-huu, bir büyücü ile düello mu yapacaksınız? Bu zor olacak. Tarot kartlarını düşünün ve "Soytarı"yı duyunca ateş edin.;Hou hou, le combat sera ardu contre une sorcière. Pensez aux tarots, et tirez lorsque vous reconnaîtrez 'Le Fol'.;¡Wepa! ¿Vas a desafiar a una maga? Puede ser difícil. Piensa en las cartas del tarot y dispara cuando oigas "el loco".;ホーホー、魔女と対決するホー？+手ごわい相手だホー。+タロットカードを思い浮かべて、+「愚か者」がいたら撃つんだホー。;오호, 마녀와 결투하나요? 어려울 거예요. 타로카드를 생각하고, '바보'라고 들리면 발사하세요.;呜~呜~决斗对手是女巫+一不小心绝对输+心中想着塔罗牌+“愚人”出现把枪开;嗚~嗚~決鬥對手是女巫+一不小心絕對輸+心中想著塔羅牌+“愚人”出現把槍開;Hu-huh, Ihr tretet gegen diese Dame an? Das wird schwer. Denkt ans Tarot und wartet auf den Narren. Schießt erst dann!;У-ху, у вас дуэль с колдуньей? Красота! Стреляйте в цель, когда я опишу «Шута».;Uhhh uhhh! Sfiderete una strega? Non sarà facile. Pensate ai tarocchi e usate la vostra arma quando sentite "Il Matto".;Uuu-uuu, um duelo contra uma feiticeira? Dispare quando ouvir "o Louco", você precisa ser ligeira.;Got it;Anladım;D'accord.;Lo pillo;わかったわ;좋아;明白;明白;Alles klar;Ясно;Ho capito;Certo;<i>You and <ravenna> take your positions and prepare to duel.</i>;<i>Sen ve <ravenna> pozisyonları alıp düelloya hazırlanıyorsunuz.</i>;<i>Vous et <ravenna> prenez position et vous préparez au duel.</i>;<i><Ravenna> y tú tomáis posiciones y os preparáis para el duelo.</i>;<i>女王と<ravenna>は+位置につき、決闘に備えた。</i>;<i>당신과 <ravenna>은(는) 자리를 잡고 결투 준비를 합니다.</i>;<i>你和<ravenna>各就各位准备决斗</i>;<i>你和<ravenna>各就各位準備決鬥</i>;<i>Ihr und <ravenna> nehmt Eure Positionen ein und bereitet Euch auf das Duell vor.</i>;<i>Вы занимаете позицию и готовитесь к дуэли. <ravenna> тоже.</i>;<i>Voi e <ravenna> prendete posizione e vi preparate al duello.</i>;<i>Você e <ravenna> assumem as suas posições e preparam-se para o duelo.</i>;What?;Ne?;Quoi ?;¿¿Qué...??;はあ？;뭐라고?;啥？;什麼?;Was?;Что?;Cosa?;O quê?;<i>It seems the Owl is already beginning!</i>;<i>Baykuş şimdiden başlıyor gibi görünüyor!</i>;<i>La Chouette commence sans attendre davantage !</i>;<i>Al parecer, el búho ya ha empezando.</i>;<i>すでに決闘は始まっていた！</i>;<i>부엉이는 벌써 시작한 것 같습니다!</i>;<i>猫头鹰已经收不住了！</i>;<i>貓頭鷹已經收不住了！</i>;<i>Anscheinend fängt die Eule bereits an!</i>;<i>Похоже, Сова уже приступила к ритуалу!</i>;<i>Pare che il gufo stia già cominciando!</i>;<i>Parece que a coruja já está começando!</i>;
_duel_ravenna2;751;owl>timer;A water bearer, under a celestial sky.;Bir su taşıyıcı, ilahi göklerin altında.;Une porteuse d'eau sous un ciel étoilé.;Un mensajero de agua, bajo un cielo divino.;神々しい空の下で、水を運ぶ者。;신성한 하늘 아래, 물 운반자.;星空之下持水瓶;星空之下持水瓶;Eine Wasserträgerin unter funkelndem Himmel.;Водонос под усыпанным звездами небом.;Porta dell'acqua, sotto una volta celestiale.;Uma portadora de água, sob um céu estrelado.;<i>Fire!</i>;<i>Ateş!</i>;<i>Feu !</i>;<i>¡Fuego!</i>;<i>撃つ！</i>;<i>발사!</i>;<i>开枪！</i>;<i>開槍！</i>;<i>Schießen!</i>;<i>Огонь!</i>;<i>Fuoco!</i>;<i>Fogo!</i>;;;;;;;;;;;;;<i>Step forward</i>;<i>İleri adım at</i>;<i>Avancer d'un pas</i>;<i>Paso adelante</i>;<i>一歩前へ</i>;<i>앞으로 나간다</i>;<i>向前一步</i>;<i>向前一步</i>;<i>Einen Schritt vortreten</i>;<i>Шаг вперед</i>;<i>Fate un passo avanti</i>;<i>Dar um passo à frente</i>;;;;;;;;;;;;;
_duel_ravenna3;752;owl>timer;A merry man hung upside down.;Şen bir adam, baş aşağı asılmış.;Un joyeux pendu la tête en bas.;Un hombre feliz colgado bocabajo.;逆さまに吊られた、愉快な男。;거꾸로 매달린 즐거운 남자.;倒吊男人乐悠悠;倒吊男人樂悠悠;Ein fröhlicher Mann, der kopfüber hängt.;Счастливец, подвешенный вверх ногами.;Un uomo felice, appeso a testa in giù.;Um homem alegre pendurado de cabeça para baixo.;<i>Fire!</i>;<i>Ateş!</i>;<i>Feu !</i>;<i>¡Fuego!</i>;<i>撃つ！</i>;<i>발사!</i>;<i>开枪！</i>;<i>開槍！</i>;<i>Schießen!</i>;<i>Огонь!</i>;<i>Fuoco!</i>;<i>Fogo!</i>;;;;;;;;;;;;;<i>Step forward</i>;<i>İleri adım at</i>;<i>Avancer d'un pas</i>;<i>Paso adelante</i>;<i>一歩前へ</i>;<i>앞으로 나간다</i>;<i>向前一步</i>;<i>向前一步</i>;<i>Einen Schritt vortreten</i>;<i>Шаг вперед</i>;<i>Fate un passo avanti</i>;<i>Dar um passo à frente</i>;;;;;;;;;;;;;
_duel_ravenna4;753;owl>timer;A figure of wisdom upon his throne.;Bir bilgelik tasviri tahtının üzerinde.;Une incarnation de la sagesse sur son trône.;Una figura de sabio sobre su trono.;玉座にすわる聡き者。;왕좌 위의 지혜의 상징.;智慧之人坐宝座;智慧之人坐寶座;Eine weise Gestalt auf dem Thron.;Мудрец, сидящий на своем троне.;L'immagine della saggezza, seduta sul suo trono.;Uma figura sábia no seu trono.;<i>Fire!</i>;<i>Ateş!</i>;<i>Feu !</i>;<i>¡Fuego!</i>;<i>撃つ！</i>;<i>발사!</i>;<i>开枪！</i>;<i>開槍！</i>;<i>Schießen!</i>;<i>Огонь!</i>;<i>Fuoco!</i>;<i>Fogo!</i>;;;;;;;;;;;;;<i>Step forward</i>;<i>İleri adım at</i>;<i>Avancer d'un pas</i>;<i>Paso adelante</i>;<i>一歩前へ</i>;<i>앞으로 나간다</i>;<i>向前一步</i>;<i>向前一步</i>;<i>Einen Schritt vortreten</i>;<i>Шаг вперед</i>;<i>Fate un passo avanti</i>;<i>Dar um passo à frente</i>;;;;;;;;;;;;;
_duel_ravenna5;754;owl>timer;A youth at the beginning of the path.;Bir genç yolun başlangıcında.;Un jeune voyageur au début de son périple.;Juventud al principio del camino.;道の始めにある若き者。;길 앞에 높인 젊음.;青年俊杰踏征程;青年俊傑踏征程;Ein Jüngling am Beginn des Weges.;Юноша, чей жизненный путь едва начался.;Un giovane all'inizio del suo cammino.;Um jovem no início do caminho.;<i>Fire!</i>;<i>Ateş!</i>;<i>Feu !</i>;<i>¡Fuego!</i>;<i>撃つ！</i>;<i>발사!</i>;<i>开枪！</i>;<i>開槍！</i>;<i>Schießen!</i>;<i>Огонь!</i>;<i>Fuoco!</i>;<i>Fogo!</i>;;;;;;;;;;;;;<i>Step forward</i>;<i>İleri adım at</i>;<i>Avancer d'un pas</i>;<i>Paso adelante</i>;<i>一歩前へ</i>;<i>앞으로 나간다</i>;<i>向前一步</i>;<i>向前一步</i>;<i>Einen Schritt vortreten</i>;<i>Шаг вперед</i>;<i>Fate un passo avanti</i>;<i>Dar um passo à frente</i>;;;;;;;;;;;;;
_duel_ravenna6;755;owl>timer;Two beasts rampant of an evening.;İki canavar şahlanmış bir akşam.;Deux bêtes assises dans la nuit.;Dos bestias desenfrenadas en el crepúsculo.;闇に荒ぶる、2頭の獣。;매서운 밤의 두 짐승.;一对野兽潜入夜;一對野獸潛入夜;Zwei Tiere, die abends frei umherstreifen.;Два зверя, стоящие на задних лапах и воющие весь вечер.;Due bestie e la follia di una serata.;Dois animais rugindo à noite.;<i>Fire!</i>;<i>Ateş!</i>;<i>Feu !</i>;<i>¡Fuego!</i>;<i>撃つ！</i>;<i>발사!</i>;<i>开枪！</i>;<i>開槍！</i>;<i>Schießen!</i>;<i>Огонь!</i>;<i>Fuoco!</i>;<i>Fogo!</i>;;;;;;;;;;;;;<i>Step forward</i>;<i>İleri adım at</i>;<i>Avancer d'un pas</i>;<i>Paso adelante</i>;<i>一歩前へ</i>;<i>앞으로 나간다</i>;<i>向前一步</i>;<i>向前一步</i>;<i>Einen Schritt vortreten</i>;<i>Шаг вперед</i>;<i>Fate un passo avanti</i>;<i>Dar um passo à frente</i>;;;;;;;;;;;;;
_duel_ravenna7;756;owl>timer;A tall structure tumbling down.;Bir uzun yapı yıkılıyor.;Une haute bâtisse qui s'écroule.;Una alta estructura desplomándose.;崩れ落ちる、巨大な建物。;무너지는 커다란 건물.;高塔轰隆被铲平;高塔轟隆被鏟平;Ein hohes Gebäude, das einstürzt.;Высокое строение, готовое рухнуть.;Un'alta struttura che crolla.;Uma estrutura alta que é derrubada.;<i>Fire!</i>;<i>Ateş!</i>;<i>Feu !</i>;<i>¡Fuego!</i>;<i>撃つ！</i>;<i>발사!</i>;<i>开枪！</i>;<i>開槍！</i>;<i>Schießen!</i>;<i>Огонь!</i>;<i>Fuoco!</i>;<i>Fogo!</i>;;;;;;;;;;;;;<i>Step forward</i>;<i>İleri adım at</i>;<i>Avancer d'un pas</i>;<i>Paso adelante</i>;<i>一歩前へ</i>;<i>앞으로 나간다</i>;<i>向前一步</i>;<i>向前一步</i>;<i>Einen Schritt vortreten</i>;<i>Шаг вперед</i>;<i>Fate un passo avanti</i>;<i>Dar um passo à frente</i>;;;;;;;;;;;;;
_won_vengeful;757;ravenna;You are stronger than I ever knew, my dear. I was wrong. From now on, let us be true allies at last.;Beklediğimden daha güçlüsün canım. Yanılmışım. Bundan böyle, sonunda gerçek müttefikler olalım.;Je vous avais sous-estimée, ma chère. Une erreur que je veux réparer. Soyons alliées dorénavant.;Sois mucho más fuerte de lo que imaginaba querida. A partir de ahora, seamos por fin verdaderas aliadas.;思っていたよりもずっと強いわ、+愛しの友よ。私が間違っていた。+今こそ、真の同盟を結びましょう。;내가 생각한 것보다 더 강하군요. 내가 틀렸어요. 이제부턴 진정한 동맹이 되죠.;你比我想的要厉害啊，亲爱的+以前小看你了+现在让我们成为真正的盟友吧！;你比我想的要厲害啊，親愛的+以前小看你了+現在讓我們成為真正的盟友吧！;Ihr seid stärker, als mir bewusst war, meine Liebe. Ich lag falsch. Lasst uns ab jetzt wahre Verbündete sein.;Вы сильнее, чем мне думалось, дорогая. Я ошибалась. Станем же истинными союзниками — отныне и навсегда.;Siete più forte di quanto potessi immaginare. Mi sbagliavo. D'ora in avanti vorrei che fossimo veramente alleate.;Nunca pensei que você fosse tão forte, minha cara. Eu estava errada. Quero que sejamos aliadas a partir de agora.;Let's;Verelim;J'accepte volontiers.;Seamos;ええ;그러죠;好！;好！;Einverstanden;Согласна;Alleiamoci;Sim;;;;;;;;;;;;;I beat you, I beat you!;Seni yendim, seni yendim!;Et oui ! Je vous ai vaincue !;¡Os gané, os gané!;勝った、勝った！;내가 이겼어, 이겼다고!;我赢了！我赢了！;我贏了！我贏了！;Haha, ich habe Euch besiegt!;Я вас одолела, я вас одолела!;Vi ho battuta, vi ho battuta!;Eu venci, eu venci!;;;;;;;;;;;;;
_;758;monument;Let us build a monument to our friendship in your city. For as long as it stands, I pledge my loyalty to you.;Hadi şehrinde dostluğumuz için bir anıt inşa edelim. O ayakta kaldığı sürece, sana sadakatimi vaat ediyorum.;Érigeons en votre cité un monument célébrant notre amitié. Ma loyauté vous sera acquise aussi longtemps qu'il se dressera.;Construyamos un monumento a nuestra amistad en tu ciudad. Mientras este siga en pie, os garantizo lealtad total.;われらの友情を称える石碑を、+王都に築きましょう。+そしてその碑が立ち続ける限り、+あなたへの忠誠を誓いましょう。;그대 도시에 우리의 우정을 기리는 기념비를 세웁시다. 그게 서있는 동안, 난 최대한 당신을 도울 거예요.;让我们在你的城市建一座友谊纪念碑+纪念碑不倒，我对你的忠诚就不灭;讓我們在你的城市建一座友誼紀念碑+紀念碑不倒，我對你的忠誠就不滅;Errichten wir in Eurer Stadt ein Monument für unsere Freundschaft. Ich gelobe Euch Treue, solange es steht.;Давайте воздвигнем в этом городе монумент в знак нашей дружбы. Пока он стоит, клянусь хранить верность вам.;Costruiamo un monumento alla nostra amicizia. Finché non crollerà, anche la mia lealtà per voi sarà incrollabile.;Vamos construir um monumento à nossa amizade na sua cidade. Enquanto ele estiver de pé, conte com a minha lealdade.;Thank you;Teşekkür ederim;Merci.;Gracias;ありがとう;고맙습니다;谢谢;謝謝;Vielen Dank;Спасибо;Grazie;Obrigada;Should it ever fall, find me again under the sign of alliance, <i>she smiles.</i>;Eğer yıkılırsa, beni ittifak simgesinin altında tekrar bul, <i>gülümsüyor.</i>;"S'il venait à s'effondrer, venez à moi pour rediscuter notre alliance." <i>sourit-elle.</i>;En caso de que se caiga, buscadme bajo el signo de la alianza, <i>sonríe.</i>;「もし石碑が倒れたら、友好の+星の下で私をお探しください」+<i>と、王妃は微笑んだ。</i>;혹시라도 저 기념비가 무너지면, 동맹의 징표 아래서 나를 찾아요. <i>그녀가 웃습니다.</i>;要是它真的倒了+就在结盟标志下找我，<i>她笑着说</i>;要是它真的倒了+就在結盟標誌下找我，<i>她笑著說</i>;Sollte es je fallen, sucht mich unter dem Zeichen des Bündnisses auf, <i>lächelt sie.</i>;А если он когда-либо рухнет, найдите меня снова под знаком союза, <i>улыбается она.</i>;Se dovesse mai crollare, mi ritroverete sotto il vessillo dell'alleanza, <i>sorride.</i>;Se algum dia ele cair, encontre-me de novo sob o signo da aliança, <i>ela sorri.</i>;I refuse!;Reddediyorum!;Je refuse !;¡Me niego!;お断りよ！;거절할게요!;我拒绝！;我拒絕！;Ich lehne ab!;Я отказываюсь!;Mi rifiuto!;Eu recuso!;;;;;;;;;;;;;
_;759;archbishop;What is this heathenous monument?! It represents an alliance with black magic. The church's duty is to tear it down!;Bu kafir anıt da ne böyle?! Kara büyüyle bir ittifakı temsil ediyor. Kilise'nin görevi onu yıkmak!;Ce monument est une hérésie ! Il scelle l'alliance du Royaume avec la magie noire. L'Église a le devoir de le détruire.;¡¿Qué es ese monumento pagano?! Es un símbolo de la unión con la magia negra. ¡La iglesia debe demolerlo!;この邪悪な石碑は一体？！+これは黒魔術との絆を象徴するもの。+教会としては取り壊すしかありません！;이 이교도의 기념비는 뭐죠?! 흑마법과의 동맹을 나타내는 거잖습니까. 교회에선 이를 용납할 수 없습니다!;这是什么异教纪念碑！+简直是黑魔法联盟的象征！+教堂的职责就是推翻它！;這是什麼異教紀念碑！+簡直是黑魔法聯盟的象徵！+教堂的職責就是推翻它！;Was ist das für ein heidnisches Monument?! Es steht für ein Bündnis mit schwarzer Magie. Die Kirche muss es zerstören!;Что за варварский монумент? Он олицетворяет вашу связь с черными магами! Долг Церкви — сровнять его с землей!;Cos'è questo monumento pagano?! È la rappresentazione dell'alleanza con la magia nera. Abbatterlo è dovere della Chiesa!;Que monumento sacrílego é esse?! Ele representa uma aliança com a magia negra. O dever da igreja é derrubá-lo!;Good idea;İyi fikir;Bonne idée !;Buena idea;名案ね;좋은 생각이야;好主意;好主意;Gute Idee;Хорошая мысль;Ottima idea;Boa ideia;<i>When the monument falls, so too does your military alliance with the Northwest.</i>;<i>Anıt yıkıldığında, Kuzeybatı ile olan askeri ittifakın da yıkılacak.</i>;<i>Lorsque le monument s'écroulera, notre alliance militaire avec le Nord-Ouest sera rompue.</i>;<i>Cuando el monumento caiga, también lo hará tu alianza militar con el noroeste.</i>;<i>石碑が取り壊された瞬間、+北西の国との軍事同盟も解消された。</i>;<i>기념비가 무너지면, 북서쪽과의 군사동맹도 무너집니다.</i>;<i>随着纪念碑倒下的还有你+和西北岛国的军事联盟</i>;<i>隨著紀念碑倒下的還有你+和西北島國的軍事聯盟</i>;<i>Als das Monument fällt, endet auch Euer Militärbündnis mit dem Nordwesten.</i>;<i>Памятник рушится, а с ним и военный союз с Северо-западом.</i>;<i>Quando il monumento cade, succede la stessa cosa alla vostra alleanza militare con il regno di Nord-Ovest.</i>;<i>Quando o monumento é derrubado, o mesmo acontece com a sua aliança militar com o Noroeste.</i>;No!;Hayır!;Non !;¡No!;やめて！;안돼!;不！;不！;Nein!;Нет!;No!;Não!;;;;;;;;;;;;;
;760;ravenna;You and I are such good gal pals, aren't we? Why not build a new monument to our friendship?;Sen ve ben çok iyi kız arkadaşlarız, değil mi? Neden dostluğumuz için yeni bir anıt inşa etmiyoruz?;Nous sommes si bonnes amies, ma chère. Pourquoi ne pas bâtir un nouveau monument en l'honneur de cette amitié ?;Vos y una servidora somos tan buenas amigas, ¿a que sí? ¿Por qué no construir un nuevo monumento a nuestra amistad?;われらは大切な親友同士のはず？+ふたりの友情を称える石碑を建てませんか？;우리 둘 꽤나 좋은 친구 같지 않아요? 우리 우정을 기리는 새 기념비를 세우는 게 어때요?;我们是好姐妹，对吧？+为什么不再建个新的纪念+碑彰显我们的友谊呢？;我們是好姐妹，對吧？+為什麼不再建個新的紀念碑+彰顯我們的友誼呢？;Wir beide sind so gute Freundinnen, nicht wahr? Errichten wir ein neues Monument für unsere Freundschaft?;Мы с вами — такие замечательные подруги, правда? Может быть, построим новый монумент в знак нашей дружбы?;Noi due siamo amiche sincere, non è così? Perché non costruiamo un nuovo monumento alla nostra amicizia?;Você e eu somos tão boas amigas, não acha? Por que não construímos um monumento à nossa amizade?;I accept!;Kabul ediyorum!;J'accepte.;¡Acepto!;賛成！;좋아요!;我同意;我同意;Gerne doch!;Я согласна!;Accetto!;Aceito!;;;;;;;;;;;;;That's a little intense;Bu biraz fazla;N'en faisons pas trop !;Eso es un poco intenso;ちょっと重すぎ;그건 아닌 것 같아요;太过了吧;太過了吧;Das wäre ein bisschen viel;Это как-то слишком;Mi sembra esagerato;Isso é um pouco exagerado;;;;;;;;;;;;;
;162;ravenna;Let's you and I hold hands in public. The Cardinal would be furious, but powerless to stop us.;Hadi ikimiz halk içinde el ele tutuşalım. Kardinal öfkelenir, ama bizi durdurmaya gücü yetmez.;Donnons-nous la main en public ! Le Cardinal sera furieux, mais il ne pourra rien faire.;Cojámonos de la mano en público. El Cardenal se pondrá furioso pero no podrá hacer nada para detenernos.;国民の前で握手をしましょう。+枢機卿が激怒なさっても、+われらは止められませんわ。;함께 손을 맞잡죠. 추기경은 못마땅히 여기겠지만, 우릴 막을 수는 없을 거예요.;我们公开手牵手吧+红衣主教估计会生气+但是他又没办法阻止我们;我們公開手牽手吧+紅衣主教估計會生氣+但是他又沒辦法阻止我們;Lasst uns einander öffentlich die Hände halten. Der Kardinal wäre sicher wütend, könnte aber nichts machen.;Давайте возьмемся за руки прилюдно. Кардинал будет в ярости, но он бессилен нам помешать.;Teniamoci per mano in pubblico. Il Cardinale sarà furioso, ma non potrà fare nulla per fermarci.;Vamos dar as mãos em público. O cardeal ficaria furioso, mas não pode fazer nada para nos impedir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;163;ravenna;Share your harvest with us! Suggest it to your husband, won't you, my friend?;Hasadınızı bizimle paylaşın! Kocana bunu önereceksin, değil mi, dostum?;Partagez votre récolte avec nous ! Faites en la suggestion à votre époux, voulez-vous, ma chère amie ?;¡Compartid vuestra cosecha con nosotras! Mencionádselo a vuestro marido querida amiga.;国の収穫物を分かち合いましょう！+王様に相談なさってはどうです、わが友よ？;수확물을 우리와 나눠요! 남편을 설득해줄 수 있죠, 친구?;和我们分享你们的好收成吧！+跟你老公说说嘛，好不好嘛;和我們分享你們的好收成吧！+跟你老公說說嘛，好不好嘛;Teilt Eure Ernte mit uns! Schlagt das bitte Eurem Mann vor, werte Freundin, ja?;Поделитесь с нами урожаем! Предложите это своему супругу, мы ведь подруги, верно?;Dateci un po' del vostro raccolto! Chiedetelo a vostro marito. Sono certa che lo farete, vero, amica mia?;Compartilhe a sua colheita conosco! Poderia sugerir isso ao seu marido, minha amiga?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;164;ravenna;Oh, let us women dress these old saint statues with flowers. Who cares about the church?;Ah, hadi biz kadınlar eski aziz heykellerini çiçeklerle süsleyelim. Kilise kimin umurunda?;Laissons éclore notre féminité ! Habillons de fleurs ces vieilles statues de saints. Peu importe l'avis de l'Église !;Permitid que nosotras mujeres decoremos estas estatuas de santos con flores. ¿A quién le importa lo que diga la iglesia?;そうだわ、この古い聖者像を女性らしく、+花で飾りましょう。+教会のことは気にせずに？;우리 여자들이 이 오래된 성인 상을 꽃으로 장식하게 해주세요. 교회는 신경쓰지 말고요.;哦，我们给那些老圣徒像戴上鲜花吧！+管他教堂的人怎么想呢;哦，我們給那些老聖徒像戴上鮮花吧！+管他教堂的人怎麼想呢;Oh, lasst uns Frauen diese alten Heiligenstatuen mit Blumen schmücken. Wen kümmert schon die Kirche?;О, давайте же мы, как водится у женщин, украсим эти старые статуи святых цветами! Какое нам дело, что скажет Церковь?;Oh, perché noi ragazze non vestiamo di fiori queste vecchie statue dei santi? Chi se ne importa della Chiesa!;Ah, vamos decorar essas velhas estátuas de santos com flores. Quem se importa com o que a Igreja pensa?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ravconcern;393;ravenna;The Cardinal's men suggested we leave your land soon. Are we in danger?;Kardinal'in adamları topraklarından yakın zamanda gitmemizi söyledi. Tehlikede miyiz?;Les hommes du Cardinal insistent pour que notre quittions votre Royaume au plus vite. Sommes-nous en danger ?;Los hombres del Cardenal quieren que abandonemos nuestra tierra. ¿Acaso estamos en peligro?;枢機卿の使いの者が、+われらは今すぐこの国を去るべきだと。+危険が迫っているのですか？;추기경의 사람들이 당장 이 땅을 떠나라고 하네요. 우리 위험해진 걸까요?;红衣主教让我们赶紧打道回府+我们遇到麻烦了吗？;紅衣主教讓我們趕緊打道回府。+我們遇到麻煩了嗎;Die Männer des Kardinals empfahlen, wir sollten Euer Land bald verlassen. Sind wir in Gefahr?;Люди кардинала советуют нам как можно скорее покинуть эти земли. Нам грозит опасность?;Gli uomini del Cardinale ci hanno chiesto di andarcene il prima possibile. Siamo in pericolo?;Os homens do cardeal sugeriram que deixássemos o seu reino em breve. Corremos perigo?;;;;;;;;;;;;;;;;;;;;;;;;;Nah;Hayır;Mais non !;Nah;いいえ;아뇨;没啦;沒啦;Ach wo;Нет;Nah...;Nah;;;;;;;;;;;;;
;394;ravenna;I met your court witch. She is very wise. Almost as if she is not from our time... do you know her well?;Saray cadınla tanıştım. Çok bilge. Sanki bizim zamanımızdan değilmiş gibi... onu iyi tanıyor musun?;J'ai rencontré la sorcière de la Cour. Sa sagesse est grande. On la dirait d'une autre époque. Vous la connaissez bien ?;Conocí a la bruja de vuestra corte. Casi parece salida de otro tiempo... ¿la conocéis bien?;お城の魔女に会いました。実に聡明な方です。+まるで別の時代から来たかのように…+よくご存じなのですか？;당신 궁정의 마녀를 만났어요. 매우 현명하더군요. 우리랑 같은 시간에 있는 사람같지가 않게… 그 여자랑 친하신가요?;我遇到你的宫廷女巫，她非常有智慧+就好像超越了我们的时代一样…+你和她熟吗？;我遇到你的宮廷女巫，她非常有智慧+就好像超越了我們的時代一樣…+你和她熟嗎？;Ich bin der Hexe Eures Hofes begegnet. Sie ist sehr weise. Als käme sie nicht aus dieser Zeit ... kennt Ihr sie gut?;Я познакомилась с вашей придворной ведьмой. Она весьма мудра. Словно не из нашего времени… Вы хорошо ее знаете?;Ho incontrato la vostra strega di corte. È molto saggia. Come se fosse di un'altra epoca... La conoscete bene?;Falei com a bruxa da sua corte. Ela é muito sábia. Quase como se não fosse do nosso tempo... você a conhece bem?;;;;;;;;;;;;;;;;;;;;;;;;;Not really...;Pek değil...;Pas vraiment...;La verdad es que no...;実はあまり…;잘 몰라요…;不太熟……;不太熟……;Nicht wirklich ...;Вообще-то, нет…;Non proprio...;Não...;;;;;;;;;;;;;
