tag;en_title (max: 17 char);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;en_description (max: 140 char);tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description
cathedral_keep;Gracias Deo;Şükürler Olsun;Gracias Deo;Gracias Deo;神のご加護;신의 가호;赞颂上帝;讚頌上帝;Gracias Deo;Слава Господу;Gracias Deo;Gracias Deo;The cathedral is a monument for the generations. It prevents the Church from being too weak and the people too powerful.;Katedral gelecek nesillere armağan kalacak bir eser. Kilisenin fazla güçsüz ve halkın fazla güçlü olmasına engel.;La cathédrale est un monument pour les générations. Elle empêche l'Église de tomber trop bas et votre peuple d'être trop indépendant.;La catedral es un monumento para las generaciones futuras. Evita que la Iglesia caiga demasiado bajo y que vuestro pueblo sea independiente.;大聖堂は、時代をこえて愛される+建造物だ。教会の弱体化を防ぎ、+民が力をつけすぎないよう+牽制する効果がある。;대성당은 시대를 넘어 사랑받는 건물입니다. 교회의 약세를 방지하며 백성의 힘이 너무 강해지지 않도록 견제하는 효과가 있습니다.;大教堂是世代相传的名胜，+它可以避免教会势力变得过于弱小，+或是人民变得过于强大。;大教堂是世代相傳的名勝，+它可以避免教會勢力變得過於弱小，+或是人民變得過於強大。;Die Kathedrale ist ein Monument für Generationen. Sie verhindert, dass die Kirche zu schwach und das Volk zu mächtig wird.;Собор строится на века. Благодаря ему, церковь не ослабнет, а народ не восстанет против религии.;La Cattedrale è un’opera per le generazioni future. Impedisce alla Chiesa di diventare troppo debole e al popolo di diventare troppo forte.;A catedral é um monumento eterno. Com ela, a Igreja nunca será fraca, e o povo nunca será forte.
hospital_keep;Mount Care;Sağlık Merkezi;Mont Soin;Monte Cuidado;最先端の医術;최첨단 의술;爱心医院;愛心醫院;Pflegezentrum;Дом призрения;Monte Cure;Plano de saúde;The hospital will limit the consequence of epidemics and catastrophes.;Hastane salgın ve afetlerin sonuçlarını azaltacak.;L'hôpital va limiter les conséquences des épidémies et des catastrophes.;El hospital va a limitar las consecuencias de las epidemias y de las catástrofes.;診療所があれば、+伝染病や大災害の被害を+抑えることができるだろう。;진료소가 있으면 역병이나 재난의 피해를 줄일 수 있을 것입니다.;医院将会缓解+瘟疫与灾难带来的后果。;醫院將會緩解+瘟疫與災難帶來的後果。;Das Hospital begrenzt die Folgen von Epidemien und Katastrophen.;Больница уменьшит последствия эпидемий и катастроф.;L’ospedale limiterà le conseguenze di epidemie e catastrofi.;O hospital limitará as consequências de epidemias e catástrofes.
barn_keep;Providence;Tedbir;Providence;Providencia;備蓄食糧;비축식량;远见;遠見;Vorsorge;Дальновидность;Provvidenza;Providência;The barn was expensive but it's good protection to avoid famine and the people's unrest.;Ambar pahalı olmasına pahalıydı ama kıtlık ve halk huzursuzluğuna karşı iyi bir önlem.;La grange commune est chère mais c'est une bonne protection contre la famine et les troubles qu'elle engendre.;La granja comunal es costosa pero es una buena protección contra el hambre y los problemas que ésta acarrea.;納屋の建設費用は、決して安くはない。+とはいえ、飢饉への備えがあれば、+民の反乱を防げるだろう。;창고 건설비용은 절대 저렴하지 않습니다. 하지만 기근에 대비하면 백성의 반란을 막을 수 있습니다.;粮仓造价不菲，+但它却能让我们很好地应对+饥荒和民乱。;糧倉造價不菲，+但它卻能讓我們很好地應對+饑荒和民亂。;Die Scheune war teuer, aber sie schützt gut gegen Hungersnöte und damit verbundene Aufstände.;Амбар обошелся недешево, но это — хороший способ избежать голода и народных волнений.;Il granaio è stato costoso, ma è una buona protezione contro carestia e malcontento.;O celeiro foi caro, mas previne a fome e o nervosismo do povo.
excalibur_keep;Excalibur;Ekskalibur;Excalibur;Excalibur;エクスカリバー;엑스칼리버;圣剑;聖劍;Excalibur;Экскалибур;Excalibur;Excalibur;The sword of Kings is yours. In duels you will be more steady and you will be able to trigger special moves without defending first.;Kralların kılıcı sizindir. Düellolarda daha sağlam olacaksınız ve önce savunmadan özel hamlede bulunabileceksiniz.;L'Épée des Roi est à vous. Au cours des duels vous serez beaucoup plus stable et vous pourrez déclencher les attaques spéciales sans vous défendre d'abord.;La Espada de los Reyes es vuestra. En el transcurso de vuestros duelos seréis mucho más estable y podréis realizar ataques especiales sin recurrir a la defensa.;王者の剣を手に入れた。+決闘の腕が上がり、+防御したあとでなくても+必殺技を繰り出せるようになるだろう。;전설의 검을 손에 넣었습니다. 결투 실력이 올라 방어하지 않아도 필살기를 계속 쓸 수 있습니다.;万王之剑已在你手，在决斗中你会更加稳健，+而且不用先防御+就能触发特殊招数。;萬王之劍已在你手，在決鬥中你會更加穩健，+而且不用先防禦+就能觸發特殊招數。;Das Schwert des Königs ist Euer. Ihr seid in Duellen standhafter und könnt Spezialtechniken auslösen, ohne Euch vorher zu verteidigen.;Меч Королей теперь ваш. На дуэли вы будете крепче стоять на ногах и сможете проводить особые приемы без необходимости сначала защититься.;La spada del Re è Vostra. Nei duelli sarete più stabile e potrete innescare mosse speciali senza prima difendervi.;A espada dos reis é sua. Em duelos, você será mais firme e poderá usar golpes especiais sem antes se defender.
dice_keep;Loaded Dice;Hileli Zarlar;Dés Pipés;Dados Cargados;いかさまダイス;가짜 주사위;灌铅骰子;灌鉛骰子;Gezinkte Würfel;Шулерские кости;Dadi truccati;Dados viciados;You will never lose again at the Red Dwarf.;Kızıl Cücede bir daha asla kaybetmeyeceksiniz.;Vous ne perdrez plus jamais au Nain Rouge.;Jamás perderéis jugando al Enano Rojo.;サイコロ賭博で絶対に+負けなくなるだろう。;주사위 도박에서 절대 지지 않습니다.;在“红矮人”游戏里+你将无往不利。;在“紅矮人”遊戲裏+你將無往不利。;Ihr verliert keine Partie Roter Zwerg mehr.;Вы больше никогда не проиграете в Красного карлика.;Non perderete mai più al Nano rosso.;Você nunca mais perderá ao jogar Anã Vermelha.
isStone;Blue Mushroom;Mavi Mantar;Champignon Bleu;Champiñón Azul;青茸;푸른 버섯;蓝蘑菇;藍蘑菇;Blauer Pilz;Синий гриб;Fungo blu;Cogumelo azul;You feel suddently very happy. Then strange things start to happen...;Aniden çok mutlu hissediyorsunuz. Sonra tuhaf şeyler olmaya başlıyor...;Vous vous sentez très heureux tout d'un coup. Mais ça ne dure pas...;¡De repente os sentís eufórico! Aunque no dura demasiado...;突然、気分が高揚してきた。+この先、数々の不思議な+体験をするだろう…;갑자기 기분이 좋아집니다. 이후로 이상한 체험을 수없이 할 것입니다.;突然之间你陷入狂喜，+光怪陆离的事情+开始接连发生……;突然之間你陷入狂喜，+光怪陸離的事情+開始接連發生……;Ihr fühlt Euch plötzlich sehr glücklich. Und dann passieren seltsame Dinge ...;Вы вдруг становитесь очень счастливым. А потом начинают происходить странные вещи…;Improvvisamente siete molto felice. Poi iniziano ad accadere cose strane…;Você se sente muito feliz... e coisas estranhas começam a acontecer.
devil_visit;Diabolus;Şeytani;Diabolus;Diabolus;悪魔との邂逅;악마와의 해후;恶魔;惡魔;Diabolus;Дьявол;Diabolus;Diabólico;Time is gone, space is insane. Here it comes, here again. You feel your mouth closing down as if you never had one.;Zaman kayıp, uzay çıldırmış. İşte yine geliyor, işte yine. Sanki hiç olmamışçasına ağzınız kapanıyor.;Le temps est mort, l'espace insensé. Le voilà, à nouveau. Vous sentez votre bouche se fermer comme si vous n'en aviez jamais eu.;El tiempo está muerto, el espacio demente. Ahí está, de nuevo. Sentís vuestra boca cerrarse como si nunca hubiéseis tenido una.;時はひずみ、宙はうねり、+再びやつが現れる。+お前の口は、ひらかない。+それとも、もとより口なしか。;시간은 사라지고 공간은 일그러지며 악마는 다시 나타날 것입니다. 입도 열리지 않을 것입니다. 마치 처음부터 입이 없었던 것처럼.;时光已逝，空间错乱，+来了，它又来了，+你感觉自己的嘴巴+闭合了起来，+就像你的脸上+从来就没有长过嘴巴一样。;時光已逝，空間錯亂，+來了，它又來了，+你感覺自己的嘴巴+閉合了起來，+就像你的臉上+從來就沒有長過嘴巴一樣。;Die Zeit ist verschwunden, der Raum aus den Fugen. Und da ist er wieder. Euer Mund schließt sich, als hättet Ihr nie einen gehabt.;Время вышло, пространство безумно. Вот оно, снова оно. Ваш рот зарастает, будто его никогда и не было.;Il tempo è finito, lo spazio non ha senso. Eccolo che arriva, di nuovo. Sentite la bocca che si serra come se non ne aveste mai avuta una.;O tempo se foi, e o espaço é insano. Aí vem, aqui de novo. Você sente sua boca fechar como se nunca tivesse tido uma.
devil_curse_keep;Death Wish;Ölüm Arzusu;Vœu de Mort;Deseo de Muerte;死の宣告;죽음의 선고;死咒;死咒;Todeswunsch;Пожелание Смерти;Ultimo desiderio;Desejo de morte;The next character you say 'Yes' to will die.;Sıradaki 'Evet' diyeceğiniz karakter ölecek.;Le prochain personnage à qui vous direz "Oui" mourra.;El próximo personaje al que le digáis "sí" va a morir.;次に王が「はい」と答えた相手は+死ぬだろう。;다음에 왕이 "예"라고 대답한 자는 죽습니다.;下一个看到你点头的角色会死。;下一個看到你點頭的角色會死。;Der nächste Charakter, zu dem Ihr "Ja" sagt, wird sterben.;Следующий, кому вы скажете «Да», умрет.;Il prossimo personaggio a cui direte “sì” morirà.;O próximo personagem para quem você disser “sim” morrerá.
theocracy;Theocracy;Teokrasi;Théocratie;Teocracia;神政;신정;神权;神權;Theokratie;Теократия;Teocrazia;Teocracia;You won't be able to say 'no' to the church anymore. That said, they're taking care of the money.;Artık kiliseye 'hayır' diyemeyeceksiniz. Öte yandan, para işini onlar hallediyor.;Vous ne pourrez plus dire "Non" aux membres de l'Église. Ceci dit, ils se chargent des questions d'argent.;No podéis decir "no" a los miembros de la Iglesia. Dicho ésto, ellos son los que se encargan de los asuntos de dinero.;王は教会の意見に+一切異を唱えられない。+国庫の管理も+教会に一任される。;왕은 교회의 의견에 일체 이의를 제기할 수 없습니다. 국고 관리도 교회에 일임됩니다.;你不能再摇头拒绝教会了，+不过呢，+他们倒是把钱的问题+都给包办了。;你不能再搖頭拒絕教會了，+不過呢，+他們倒是把錢的問題+都給包辦了。;Ihr könnt zur Kirche nicht mehr "Nein" sagen. Was bedeutet, dass sie sich um die Finanzen kümmert.;Вы больше не сможете отказать церкви. А если попытаетесь, они не дадут вам распоряжаться деньгами.;Non sarete più in grado di dire di “no” alla Chiesa. Detto questo, sono loro a occuparsi del denaro.;Você não conseguirá mais dizer “não” para a Igreja. Sendo assim, eles cuidam do dinheiro.
spice_trade_keep;Silk Road;İpek Yolu;Route de la Soie;Ruta de la Seda;絹の道;실크로드;丝路;絲路;Seidenstraße;Шелковый Путь;Via della seta;Rota da seda;The spice trade adds to the treasure every year. You have more chance of angering your neighbours though. ;Baharat ticareti her sene hazineye katkıda bulunuyor. Öte yandan, düşmanlarınızı kızdırma ihtimaliniz daha yüksek.;Le commerce des épices contribue au trésor chaque année. Mais vous avez plus de chances d'entrer en guerre avec vos voisins.;El comercio de especias aumenta vuestro tesoro año tras año tras año... Pero ahora tenéis más probabilidades de entrar en guerra con los vecinos.;香辛料の貿易により、+毎年収入を得られる。+ただし、周辺国の反感も+買いやすくなるだろう。;향신료 무역으로 매년 이익을 얻을 수 있습니다. 그러나 주변국의 반감도 사기 쉬워질 것입니다.;香料贸易+让国库每年都有大量收入，+但你会更容易惹怒邻国。;香料貿易+讓國庫每年都有大量收入，+但你会更容易惹怒鄰國。;Der Gewürzhandel bringt jedes Jahr Einkünfte. Allerdings steigt auch das Risiko, Eure Nachbarn zu verärgern.;Торговля специями помогает вашей казне расти из года в год. Правда, вашим соседям это может не понравиться.;Il commercio di spezie contribuisce ogni anno al tesoro. Avete però più possibilità di far arrabbiare i vicini.;O comércio de especiarias é muito lucrativo. Mas você tem mais chance de irritar seus vizinhos.
colonies_keep;Colonies;Koloniler;Colonies;Colonias;植民地;식민지;殖民地;殖民地;Kolonien;Колонии;Colonie;Colônias;The new world is adding to the treasury and the army every year but will you be able to manage such an empire?;Yeni dünya her yıl hazine ve orduya katkıda bulunuyor ama bu büyüklükte bir imparatorluğa hükmedebilecek misiniz?;Le nouveau monde contribue au trésor et à l'armée chaque année mais serez-vous capable de gérer un tel empire ?;El Nuevo Mundo aumenta vuestro tesoro y vuestras tropas cada año pero, ¿seréis capaz de controlar un tal imperio?;新大陸、発見！毎年、着実に+国庫は潤い、兵も増員されるだろう。+急激に強大化する国をうまく統治できるか…+王の手腕が試される。;신대륙을 발견했습니다! 국고는 매년 꾸준히 늘어나고 병사도 증원됩니다. 급격히 강해지는 나라를 잘 통치할 수 있을까요…?;殖民新世界让你+每年都能有额外收入和军队，+但你能否好好管理+如此庞大的帝国呢？;殖民新世界讓你+每年都能有額外收入和軍隊，+但你能否好好管理+如此龐大的帝國呢？;Die Neue Welt trägt jedes Jahr zu Euren Finanzen und Eurer Armee bei, aber seid Ihr in der Lage, ein Weltreich zu führen?;Новый мир пополнит казну и армию, но под силу ли вам управлять такой империей?;Il nuovo mondo contribuisce al tesoro e all’esercito ogni anno, ma sarete in grado di gestire un simile impero?;O novo mundo aumenta o tesouro e o exército a cada ano, mas você será capaz de gerenciar tal império?
