name;en_title (max: 15 char.);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;en_description (max: 35 char.);tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description;en_achievement (max: 25 char.);tu_achievement;fr_achievement;es_achievement;jp_achievement;ko_achievement;sc_achievement;tc_achievement;de_achievement;ru_achievement;it_achievement;bp_achievement
survivor;the Survivor;Sağ Kalan;le Vainqueur;el Vencedor;生還王;생환의 왕;生还王;生還王;der Sieger;Выживший;il Vincitore;o Sobrevivente;Trick the devil;Şeytanı kandır;Jouer un tour au démon;Jugársela al demonio;悪魔を欺く;악마를 속인다;骗过恶魔;騙过惡魔;Betrügt den Teufel;Обмануть Дьявола;Inganna il diavolo;Engane o Diabo;;;;;;;;;;;;
wise;the Wise;Bilge;le Sage;el Sabio;賢王;현명한 왕;智慧王;智慧王;the Weise;Мудрец;il Saggio;o Sábio;Recruit the doctor;Hekimi işe al;Recruter le docteur;Contratar al doctor;医師を雇う;의사를 고용한다;招募医生;招募醫生;Rekrutiert den Doktor;Призвать на службу врачевателя.;Ingaggia il dottore;Recrute o médico;Dirty science;Ahlaksız bilim;Expériences nocives;Experiencias nocivas;邪な医術;사악한 과학;肮脏科学;骯髒科學;Schmutzige Wissenschaft;Грязная наука;Scienza nociva;Ciência suja
sword;the Duelist;Düellocu;le Bretteur;el Duelista;決闘王;결투의 왕;决斗王;決鬥王;der Duellant;Дуэлянт;il Duellante;o Duelista;Win a duel;Düello kazan;Gagner un duel;Ganar un duelo;決闘で勝利する;결투에서 승리한다;在决斗中获胜;在決鬥中獲勝;Gewinnt ein Duell;Победить на дуэли;Vinci un duello;Vença um duelo;;;;;;;;;;;;
dungeon;the Creepy;Ürpertici;le Ténébreux;el Tenebroso;狂王;광기의 왕;灵异王;靈異王;der Unheimliche;Жуткий;il Losco;o Bizarro;Lose yourself in the dungeon;Zindanda kaybol;Se perdre dans le donjon;Perderse en la mazmorra;地下牢で正気を失う;지하감옥에서 정신을 잃는다;在地下城中迷失;在地下城中迷失;Durchstreift das Verlies;Пропасть в подземелье;Perditi nelle prigioni;Perca-se na masmorra;Dark traps;Kara tuzaklar;Pièges invisibles;Trampas invisibles;黒き罠;추악한 함정;黑暗陷阱;黑暗陷阱;Dunkle Fallen;Ловушки тьмы;Trappole oscure;Armadilhas sombrias
sorcerer;the Sorcerer;Büyücü;le Sorcier;el Brujo;魔導王;마도의 왕;巫术王;巫術王;der Zauberer;Чародей;lo Stregone;o Feiticeiro;Meet the witch;Cadıyla tanış;Rencontrer la sorcière;Conocer a la bruja;魔女の謁見を許す;마녀의 알현을 허락한다;遇到女巫;遇到女巫;Begegnet der Hexe;Встретить ведьму;Incontra la strega;Encontre a bruxa;White arcanum;Ak büyü;Arcanes blanches;Magia blanca;白魔術;백마술;白魔法;白魔法;Weißes Arkanum;Белое снадобье;Arcani bianchi;Arcana branca
spin;the Trump;Muzaffer;le Trump;el Triunfador;好漢王;승리의 왕;川普王;川普王;der Trump;Козырь в рукаве;il Vincente;o Trunfo;Govern like a winner;Krallar gibi yönet;Diriger comme un gagnant;Comportarse como un triunfador;国民に好かれる統治を行う;국민에게 사랑받는 통치를 한다;像赢家一样治国;像贏家一樣治國;Regiert wie ein Gewinner;Править, как победитель;Governa da vincente;Governe como um vencedor;Spin doctor;Yandaş;Spin doctor;Spin doctor;芸事師;대변인;纵横客;縱橫客;Meinungsmacher;Мастер-манипулятор;Propaganda;Propagandista
hat;the Hat;Şapkalı;le Coiffé;el Peinado;帽子王;모자왕;帽子王;帽子王;der Behütete;Дело в шляпе;il Cappello;o Chapéu;Identify the terrorist cell;Terör hücresini keşfet;Identifier la cellule terroriste;Identificar una célula terrorista;テロ集団の正体を特定する;테러집단의 정체를 파악한다;识破恐怖组织;識破恐怖組織;Identifiziert die Terrorzelle;Обнаружить террористическую ячейку;Identifica la cellula terroristica;Identifique a célula terrorista;;;;;;;;;;;;
hatoful;the Boyfriend;Sevgili;le Boyfriend;el Novio;鳩布留王;비둘기왕;帅鸽王;帥鴿王;der Boyfriend;Ухажер;il Fidanzato;o Namorado;Date a pigeon;Bir güvercinle sevgili ol;Sortir avec un pigeon;Salir con una paloma;ハトと逢い引きする;비둘기와 데이트한다;和鸽子谈恋爱;和鴿子談戀愛;Bandelt mit einer Taube an;Сходите на свидание с голубкой;Esci con un piccione;Namore um pombo;;;;;;;;;;;;
printer;the Writer;Yazar;l'Auteur;el Escribidor;著述王;저술의 왕;出书王;出書王;der Autor;Писатель;lo Scrittore;o Escritor;Discover printing;Matbaayı keşfet;Découvrir l'imprimerie;Descubrir la imprenta;活版印刷を発明する;활판인쇄를 발명한다;拥有印刷术;擁有印刷術;Entdeckt das Drucken;Изобрести книгопечатание;Scopri la stampa;Descubra a impressão;;;;;;;;;;;;
greedy;the Greedy;Açgözlü;le Cupide;el Avaro;守銭王;탐욕의 왕;贪婪王;貪婪王;der Habgierige;Жадина;l'Avido;o Ganancioso;Build a personal fortune;Zengin ol;Constituer une fortune personnelle;Levantar una fortuna personal;私腹を肥やす;뒷주머니를 채운다;中饱私囊;中飽私囊;Häuft ein Privatvermögen an;Сколотить себе состояние;Creati una fortuna personale;Acumule uma fortuna pessoal;;;;;;;;;;;;
paganist;the Bigot;Yobaz;le Bigot;el Fanático;偽善王;편견의 왕;偏见王;偏見王;der Eiferer;Фанатик;il Bigotto;o Intolerante;Build 5 churches;5 kilise inşa et;Construire 5 églises;Construir 5 iglesias;教会を5つ建設する;교회를 5건 건설한다;建5所教堂;建5所教堂;Errichtet 5 Kirchen;Построить 5 церквей;Costruisci 5 chiese;Construa 5 igrejas;;;;;;;;;;;;
shrewd;the Devious;Dolandırıcı;le Sournois;el Taimado;老獪王;기만의 왕;狡诈王;狡詐王;der Tückische;Заблудший;il Subdolo;o Devasso;Invent modern politics;Modern siyaseti keşfet;Inventer la politique moderne;Inventar la política moderna;近代政治を確立する;근대정치를 확립한다;发明现代政治手段;發明現代政治手段;Erfindet die moderne Politik;Изобрести современную политику;Inventa la politica moderna;Invente a política moderna;;;;;;;;;;;;
cathedral;the Pious;Dindar;le Pieux;el Piadoso;信心王;신앙의 왕;虔诚王;虔誠王;der Fromme;Набожный;il Pio;o Temente;Build a Cathedral;Katedral inşa et;Construire une Cathédrale;Construir una catedral;大聖堂を建設する;대성당을 건설한다;建造大教堂;建造大教堂;Errichtet eine Kathedrale;Построить собор;Costruisci una Cattedrale;Construa uma catedral;;;;;;;;;;;;
devil;the Devil;Şeytan;le Démon;el Endemoniado;悪魔王;악마의 왕;魔鬼王;惡魔王;der Teufel;Дьявол;il Demonio;o Diabo;Meet the devil;Şeytanla tanış;Rencontrer le démon;Conocer al Demonio;悪魔と出会う;악마와 만난다;遇到恶魔;遇到惡魔;Begegnet dem Teufel;Встретить Дьявола;Incontra il diavolo;Encontre o Diabo;Devious curse;Çarpık lanet;Malédiction sournoise;Maldición enrevesada;巧妙な呪い;교묘한 저주;邪异诅咒;邪異詛咒;Furchtbarer Fluch;Проклятие заблудшего;Maledizione infida;Maldição diabólica
father;the Father;Baba;le Père;el Padre;父王;국부의 왕;人父王;人父王;der Vater;Отец;il Padre;o Pai;Have an heir;Varis sahibi ol;Engendrer un héritier;Engendrar un heredero;世継ぎをもうける;계승자를 낳는다;拥有继承人;擁有繼承人;Habt einen Erben;Обзавестись наследником;Abbi un erede;Tenha um herdeiro;;;;;;;;;;;;
homunculus;the Mage;Büyücü;le Mage;el Mago;魔術王;마술의 왕;魔法王;魔法王;der Magier;Маг;il Mago;o Mago;Talk to the vase;Vazo ile konuş;Parler au vase;Hablarle a la urna;ツボに話しかける;항아리에 말을 건다;和瓶中小人对话;和瓶中小人對話;Sprecht mit der Vase;Поговорить с вазой;Parla con il vaso;Converse com o vaso;;;;;;;;;;;;
frozen;the Alchemist;Simyacı;l'Alchimiste;el Alquimista;錬金王;연금술의 왕;炼金王;煉金王;der Alchemist;Алхимик;l'Alchimista;o Alquimista;Find the Frozen Blood;Donmuş Kanı bul;Trouver le Sang Gelé;Encontrar la Sangre Helada;「凍れる血」を発見する;"얼어붙은 피"를 발견한다;找到冻结之血;找到凍結之血;Findet das Gefrorene Blut;Найти Морозную кровь;Trova il Sangue congelato;Encontre o Sangue Congelado;Enclosed philosophy;Kapalı felsefe;Philosophies enfermées;Filosofías oscuras;禁断の秘術;금단의 비술;禁断秘术;禁斷秘術;Umschlossene Philosophie;Тайное знание;Filosofia oscura;Filosofia empedrada
crusader;the Crusader;Haçlı;le Croisé;el Cruzado;聖戦王;선동의 왕;圣战王;聖戰王;der Kreuzritter;Крестоносец;il Crociato;o Cruzado;Start a crusade;Haçlı seferi başlat;Démarrer une croisade;Comenzar una cruzada;聖戦を始める;성전을 시작한다;发动一场圣战;發動一場聖戰;Beginnt einen Kreuzzug;Начать крестовый поход;Inizia una crociata;Comece uma cruzada;Lamascian secrets;Çam sırları;Secrets lamaciens;Secretos lamascenos;ラマスクスの秘密;라마스쿠스의 비밀;拉马士革之秘;拉馬士革之秘;Lamaskische Geheimnisse;Тайны Ламаска;Segreti lamascani;Segredos Lamascianos
peacemaker;the Peacemaker;Barış Elçisi;la Colombe;el Pacifista;和平王;평화의 왕;和平王;和平王;der Friedliche;Миротворец;il Pacifista;o Pacífico;End a crusade;Haçlı seferi sonlandır;Terminer une croisade;Terminar una cruzada;聖戦を終わらせる;성전을 종식한다;结束一场圣战;結束一場聖戰;Beendet einen Kreuzzug;Закончить крестовый поход;Termina una crociata;Encerre uma cruzada;;;;;;;;;;;;
patron;the Patron;Hami;le Mécène;el Mecenas;好事王;예술의 왕;资助王;資助王;der Mäzen;Покровитель;il Mecenate;o Patrono;Recruit the minstrel;Ozanı işe al;Recruter le ménestrel;Contratar al juglar;吟遊詩人を雇う;음유시인을 고용한다;招募吟游诗人;招募吟遊詩人;Rekrutiert den Minnesänger;Призвать на службу менестреля;Ingaggia il menestrello;Recrute o trovador;Divine soundtrack;İlahi musiki;Divine bande sonore;Divina banda sonora;雅な調べ;우아한 사운드트랙;神圣旋律;神聖旋律;Göttlicher Soundtrack;Божественный саундтрек;Colonna sonora divina;Canção divina
musician;the Musician;Müzisyen;le Musicien;el Músico;楽士王;음악의 왕;音乐王;音樂王;der Musiker;Трубадур;il Musico;o Musicista;Write a war song;Savaş şarkısı yaz;Commander un chant de guerre;Encargar un himno de guerra;軍歌を作曲する;군가를 작곡한다;创作一首战歌;創作一首戰歌;Ordert einen Schlachtgesang;Напишите песню о войне;Scrivi una canzone di guerra;Escreva uma canção de guerra;;;;;;;;;;;;
america;the Settler;Yayılmacı;le Colon;el Colono;植民王;식민의 왕;殖民王;殖民王;der Siedler;Поселенец;il Colono;o Colonizador;Discover a new world;Yeni bir dünya keşfet;Découvrir un nouveau monde;Descubrir un mundo nuevo;新大陸を発見する;신대륙을 발견한다;发现新世界;發現新世界;Entdeckt eine neue Welt;Откройте новый мир;Scopri un nuovo mondo;Descubra um novo mundo;;;;;;;;;;;;
killer;the Coward;Korkak;le Lâche;el Cobarde;小心王;소심왕;懦弱王;懦弱王;der Feigling;Трус;il Codardo;o Covarde;Look somewhere else;Görmezden gel;Regarder ailleurs;Mirar para otro lado;見て見ぬふりをする;보고도 못 본 척 한다;装作没看见;裝作沒看見;Seht weg;Попробовать в другом месте;Guarda altrove;Procure em outro lugar;;;;;;;;;;;;
onehand;the One-handed;Tek kollu;le Manchot;el Manco;隻腕王;외팔이 왕;单手王;單手王;der Einhändige;Однорукий;il Monco;o Maneta;Lose a limb;Bir uzvunu kaybet;Perdre un bras;Perder un brazo;片腕を失う;한쪽 팔을 잃는다;断臂;斷臂;Verliert eine Gliedmaße;Останьтесь без конечности;Perdi un arto;Perca um membro;;;;;;;;;;;;
old;the Old;Yaşlı;le Vieux;el Viejo;老王;오래된 왕;年长王;年長王;der Alte;Старый;il Vecchio;o Velho;Govern at least 20 years;En az 20 yıl hüküm sür;Rester au pouvoir au moins 20 ans;Mantenerse al menos 20 años en el poder;20年以上統治する;20년 이상 통치한다;治国至少20年;治國至少20年;Regiert mindestens 20 Jahre;Правьте не менее 20 лет;Governa per almeno 20 anni;Governe por pelo menos 20 anos;;;;;;;;;;;;
ancient;the Ancient;İhtiyar;l'Ancien;el Antiguo;長寿王;장수의 왕;高寿王;高壽王;der Uralte;Древний;l'Antico;o Ancestral;Govern at least 40 years;En az 40 yıl hüküm sür;Rester au pouvoir au moins 40 ans;Mantenerse al menos 40 años en el poder;40年以上統治する;40년 이상 통치한다;治国至少40年;治國至少40年;Regiert mindestens 40 Jahre;Правьте не менее 40 лет;Governa per almeno 40 anni;Governe por pelo menos 40 anos;;;;;;;;;;;;
grizzled;the Grizzled;Ağarmış;le Gris;el Gris;白髪王;백발의 왕;白发王;白髮王;der Ergraute;Седовласый;il Grigio;o Veterano;Govern at least 60 years;En az 60 yıl hüküm sür;Rester au pouvoir au moins 60 ans;Mantenerse al menos 60 años en el poder;60年以上統治する;60년 이상 통치한다;治国至少60年;治國至少60年;Regiert mindestens 60 Jahre;Правьте не менее 60 лет;Governa per almeno 60 anni;Governe por pelo menos 60 anos;;;;;;;;;;;;
senile;the Senile;Bunak;le Sénile;el Senil;老衰王;노쇠한 왕;耄耋王;耄耋王;der Senile;Дряхлый;il Senile;o Senil;Govern at least 80 years;En az 80 yıl hüküm sür;Rester au pouvoir au moins 80 ans;Mantenerse al menos 80 años en el poder;80年以上統治する;80년 이상 통치한다;治国至少80年;治國至少80年;Regiert mindestens 80 Jahre;Правьте не менее 80 лет;Governa per almeno 80 anni;Governe por pelo menos 80 anos;;;;;;;;;;;;
fossil;the Fossil;Fosil;le Fossile;el Fósil;化石王;화석의 왕;化石王;化石王;das Fossil;Ископаемое;il Fossile;o Fóssil;Govern at least a century;En az 100 yıl hüküm sür;Rester au pouvoir au moins un siècle;Mantenerse al menos un siglo en el poder;1世紀以上統治する;1세기 이상 통치한다;治国至少一个世纪;治國至少一個世紀;Regiert mindestens 100 Jahre;Правьте не менее века;Governa per almeno un secolo;Governe por pelo menos um século;;;;;;;;;;;;
eternal;the Eternal;Ebedi;l'Éternel;el Eterno;不死王;불사의 왕;永生王;永生王;der Ewige;Вечный;l'Eterno;o Eterno;Govern at least two centuries;En az 200 yıl hüküm sür;Rester au pouvoir au moins deux siècles;Mantenerse al menos dos siglos en el poder;2世紀以上統治する;2세기 이상 통치한다;治国至少两个世纪;治國至少兩個世紀;Regiert mindestens 200 Jahre;Правьте не менее двух веков;Governa per almeno due secoli;Governe por pelo menos dois séculos;;;;;;;;;;;;
polyglot;the Polyglot;Çok Dilli;le Polyglote;el Políglota;多言語王;언어의 왕;能言王;能言王;der Polyglotte;Полиглот;il Poliglotta;o Poliglota;Convince the barbarian to help;Barbarı yardım etmeye ikna et;Obtenir l'aide du barbare;Conseguir la ayuda del bárbaro;野人と交渉し、支援を取りつける;이방인들을 납득시켜 돕는다;;;Überredet den Barbaren zu helfen;Убедить варваров оказать помощь;Convinci il barbaro ad aiutare;Convença o bárbaro a ajudar;;;;;;;;;;;;
elephant;the Elephant;Filli;l'Éléphant;el Elefante;象王;코끼리 왕;大象王;大象王;der Elefant;Слон;l'Elefante;o Elefante;Unmask the Elephant;Filin gerçek yüzünü gör;Démasquer l'Éléphant;Desenmacarar al Elefante;ゾウの正体を暴く;코끼리의 가면을 벗긴다;;;Enttarnt den Elefanten;Разоблачить Слона;Smaschera l'elefante;Desmascare o Elefante;;;;;;;;;;;;
partygoer;the Trendy;Moda Takipçisi;;el Moderno;狂宴王;파티의 왕;市井王;市井王;der Urbane;Городской;l'Urbano;o Urbano;Crash the party;Partiye davetsiz katıl;;Aguar la fiesta;宴に押しかける;파티를 망친다;;;Erscheint auf dem Fest;Заявиться без приглашения;Imbucati alla festa;Invada a festa;;;;;;;;;;;;
schizm;the Schismatic;Bölücü;le Schismatique;el Cismático;分派王;대립의 왕;分教王;分教王;der Spalter;Раскольник;lo Scismatico;o Cismático;Start a schism;Mezhepleşmeye sebep ol;Initier un schisme;Iniciar un cisma;教会の分裂を引き起こす;종파 분쟁을 시작한다;;;Beginnt ein Schisma;Начать церковный раскол;Fai cominciare uno scisma;Dê início a uma ruptura;;;;;;;;;;;;
birdy;the Decisive;Kararlı;le Décideur;el Rotundo;裁定王;결단력의 왕;决断王;決斷王;der Entscheider;Решительный;il Decisivo;o Decisivo;Take a black or white decision;Akla karayı seç;Prendre une décision drastique;Tomar una decisión drástica;白か黒か、決断する;흑과 백 중 한 가지 결정을 내린다;;;Wählt Schwarz oder Weiß;Сделать выбор между белым или черным;Prendi una decisione bianca o nera;Tome uma decisão crucial;;;;;;;;;;;;
