id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp
swipe;SWIPE;KAYDIR;BALAYEZ;APLAUDIR;スワイプ;스와이프;划动;劃動;WISCHEN;СМАХНИТЕ;FAI SCORRERE;DESLIZAR
gameover;THE END;SON;;FIN;THE END;끝;剧终;劇終;ENDE;КОНЕЦ;FINE;O FIM
resetall_label;Game data seems to be corrupted. Reset everything ?;Oyun verisi bozulmuş gibi duruyor. Her şey sıfırlansın mı?;Les données de jeu semblent corrompues. Réinitialiser ?;Los datos del juego parecen corrompidos. ¿Reiniciar?;ゲームのデータが破損しています。リセットしますか？;게임 데이터가 손상되었습니다. 리셋하시겠습니까?;疑似游戏数据损毁，+是否全部重置？;疑似遊戲數據損毀，+是否全部重置？;Spieldaten scheinen beschädigt zu sein. Alles zurücksetzen?;Похоже, игровые данные повреждены. Сбросить?;I dati di gioco sembrano essere danneggiati. Vuoi reimpostarli?;Os dados de jogo parecem estar corrompidos. Apagar tudo?
reset_label;Do you want to reset the game?;Oyunu sıfırlamak istiyor musun?;Voulez-vous réinitialiser le jeu?;¿Quieres reiniciar el juego otra vez?;ゲームをリセットしますか？;게임을 리셋하시겠습니까?;您确定要重置游戏吗？;您確定要重置遊戲嗎？;Spiel zurücksetzen?;Вы хотите сбросить игру?;Vuoi reimpostare il gioco?;Deseja reiniciar o jogo?
reset;RESET;SIFIRLA;RÉINITIALISER;REINICIAR;リセット;리셋;重置;重置;ZURÜCKSETZEN;СБРОСИТЬ;REIMPOSTA;REINICIAR
quit_label;Do you want to quit the game?;Oyundan çıkmak istiyor musun?;Voulez-vous quitter le jeu ?;¿Quieres abandonar el juego?;ゲームを終了しますか？;게임을 종료하시겠습니까?;你确定要退出游戏吗？;你確定要退出遊戲嗎？;Spiel beenden?;Вы хотите выйти из игры?;Vuoi uscire dal gioco?;Deseja sair do jogo?
quit;QUIT;ÇIK;QUITTER;SALIR;ゲームを終了;종료;退出;退出;BEENDEN;ВЫЙТИ;ESCI;SAIR
cancel;CANCEL;İPTAL;ANNULER;CANCELAR;キャンセル;취소;取消;取消;ABBRECHEN;ОТМЕНИТЬ;ANNULLA;CANCELAR
agameby;A game by;Oyun Yapımcıları;Un jeu de;Un juego de;MADE BY;제작자:;本游戏由;本遊戲由;Ein Spiel von;Игра;Un gioco di;Um jogo de
devby;Game Dev;Yapımcı;;;開発;개발;开发者;開發者;Entwicklung;Разработка;Sviluppo;Desenv.
artby;Art;Görseller;;Arte;アート;아트;美术;美術;Grafik;Арт;Grafica;Arte
musicby;Audio direction;Ses yönetmeni;Direction audio;Dirección de sonido;オーディオ ディレクション;오디오 디렉션;音响指导;音響指導;Audio-Regie;Звукорежиссура;Direzione audio;Direção de áudio
musicby2;Music;Müzik;Musique;Música;音楽;음악;音乐;音樂;Musik;Музыка;Musica;Música
sfxby;Sound design;Ses tasarımı;Design sons;Diseño de sonido;サウンド デザイン;사운드 디자인;声音设计;聲音設計;Sound-Design;Звуковое оформление;Progettazione audio;Design de áudio
thanks;Special thanks to...;Özel teşekkürler;Un grand merci à...;Agradecimientos especiales para...;SPECIAL THANKS:;고마운 분들:;特别鸣谢……;特別鳴謝……;Besonderen Dank an …;Особая благодарность…;Un ringraziamento speciale a…;Agradecimentos especiais a...
thanks2;And thanks to...;Ve teşekkürler;Et aussi à...;Y también para...;AND THANKS:;다시 고마운 분들:;还要感谢……;還要感謝……;Danke auch an …;И спасибо…;Grazie anche a…;E agradecimentos a...
devilcurse;A body was found later that year, horrifyingly torn and bloated.;O yılın ilerleyen günlerinde dehşet verici şekilde parçalanmış ve şişmiş bir ceset bulundu.;Un corps fut retrouvé plus tard cette année-là, horriblement déformé.;Un cuerpo fue encontrado más tarde aquel año, terriblemente deformado.;その後しばらくして、1体の死体が+発見された。それは醜く膨れあがり、+ズタズタに引き裂かれていたという。;얼마 뒤 시신 한 구가 발견되었다. 끔찍하게 부풀어 올라 갈기갈기 찢겨 있었다고 한다.;后来，有一具尸体在那一年被发现，+浑身浮肿、几乎被彻底扯碎，+样貌骇人。;後來，有一具屍體在那一年被發現，+渾身浮腫、幾乎被徹底扯碎，+樣貌駭人。;Später in diesem Jahr wird eine schrecklich zugerichtete Leiche aufgefunden.;В том же году нашли труп. Тело было явно растерзано и отвратительно раздулось.;Nel corso di quello stesso anno venne trovato un corpo orribilmente deformato.;Um corpo foi encontrado meses depois, terrivelmente dilacerado e inchado.
kingdom_update;KINGDOM UPDATE;KRALLIĞA GÜNCELLEME;MISE À JOUR ROYAUME;ACTUALIZACIÓN DEL REINO;王国アップデート;왕국 업데이트;王国情报更新;王國情報更新;KÖNIGREICH-UPDATE;ОБНОВЛЕНИЕ КОРОЛЕВСТВА;AGGIORNAMENTO REGNO;ATUALIZAÇÃO DE REINO
;NEW CARDS!;YENİ KARTLAR!;NOUVELLES CARTES !;¡CARTAS NUEVAS!;新カード発見！;새 카드 발견!;新卡牌！;新卡牌！;NEUE KARTEN!;НОВЫЕ КАРТЫ!;NUOVE CARTE!;NOVAS CARTAS!
kingdom_stats;KINGDOM;KRALLIK;ROYAUME;REINO;王国;왕국;王国;王國;KÖNIGREICH;КОРОЛЕВСТВО;REGNO;REINO
objective_stats;Royal deeds;Kraliyet başarıları;Faits du Roi;Hechos reales;功績;공적;王者荣耀;王者榮耀;Taten des Königs;Королевские дела;Azioni reali;Façanhas reais
;objectives fulfilled;hedef başarıldı;objectifs remplis;objetivos conseguidos;: 達成した目標;:달성한 목표;个目标已被达成;個目標已被達成;erfüllte Ziele;выполнено целей;obiettivi raggiunti;objetivos concluídos
objective_icloud;<number> / <total> objectives fulfilled;<number>/<total> hedef tamamladın;<number> / <total> objectifs atteints;<number> / <total> de objetivos conseguidos;<number> / <total>個の目標を達成;<number> / <total> 목표 달성;已完成<number> / <total>个目标;已完成<number> / <total>個目標;erfüllte Ziele: <number> / <total>;<number> / <total> целей выполнено;<number> / <total> obiettivi raggiunti;<number> / <total> objetivos cumpridos
cloudsave;A game more recent than the local one is saved on iCloud. Which one do you want to load?;iCloud'da yerel kayıtlı oyundan daha yakın zamanda kaydedilmiş bir oyun bulunuyor. Hangisini yüklemek istersin?;Une partie plus récente que la partie locale est sauvegardée sur iCloud. Laquelle voulez-vous charger ?;Una partida más reciente que la local está guardada en iCloud. ¿Cuál quieres cargarla?;ローカルのデータより最新のセーブデータがiCloud上に存在します。どちらのデータをロードしますか？;iCloud에 저장된 게임이 로컬에 저장된 게임보다 최신 버전입니다. 어느 것을 불러오시겠습니까?;iCloud上发现比本地存档更新+的存档，请问要载入哪个？;iCloud上發現比本地存檔更新+的存檔，請問要載入哪個？;Auf iCloud ist ein aktuellerer Spielstand gespeichert als lokal. Welchen möchtest du laden?;Более ранняя версия игры сохранена в iCloud. Какую версию вы хотите загрузить?;Su iCloud è stata salvata una partita più recente di quella locale. Quale vuoi caricare?;Há um jogo salvo no iCloud que é mais recente do que o jogo salvo neste dispositivo. Qual deles você quer carregar?
endcard_stats;Memento mori;Ölümden kaçınılmaz;;;歴代王の最期;역대 왕의 최후;凡人终死;凡人終死;Memento mori;;Memento mori;Memento mori
;deaths suffered;ölüm yaşandı;morts éprouvées;muertes sufridas;: 体験した最期;:체험한 최후;种死法已体验;種死法已體驗;erlittene Tode;смертей;morti subite;mortes sofridas
character_stats;Portrait gallery;Portre galerisi;Portraits;Retratos;ポートレートギャラリー;초상화 갤러리;肖像画廊;肖像畫廊;Porträt-Galerie;Галерея портретов;Galleria dei ritratti;Galeria de retratos
;characters met;karakterle tanışıldı;personnages rencontrés;personajes encontrados;: 出会ったキャラクター;:만난 캐릭터;名角色已相遇;名角色已相遇;getroffene Charaktere;встречено персонажей;personaggi incontrati;personagens encontrados
card_stats;null;;;;null;null;;;null;;null;null
;cards discovered;kart keşfedildi;cartes découvertes;cartas descubiertas;: 発見したカード;:발견한 카드;张卡片已发现;張卡片已發現;entdeckte Karten;открыто карт;carte scoperte;cartas descobertas
highscore_stats;HIGH SCORE;EN İYİLER;;;HIGH SCORE;최고 득점;高分榜;高分榜;BESTENLISTE;ЛУЧШИЙ СЧЕТ;;RECORDE
year_in_power;year in power|years in power;yıl hüküm sürdü|yıl hüküm sürdü;an au pouvoir|ans au pouvoir;año al poder|años al poder;在位|年;년 재위|년 재위;在位|年;在位|年;Jahr|Jahre;год у власти|года у власти|лет у власти;anno al potere|anni al potere;ano no poder|anos no poder
highscore_label;NEW HIGH SCORE!;YENİ EN İYİ SÜRE!;NOUVEAU HIGH SCORE !;¡NUEVO SCORE!;NEW HIGH SCORE！;신규 최고 득점!;新高分！;新高分！;NEUE BESTPUNKTZAHL!;НОВЫЙ РЕКОРД!;NUOVO PUNTEGGIO MIGLIORE!;NOVO RECORDE!
;STILL ALIVE!;HÂLÂ HAYATTA!;ENCORE VIVANT !;¡AÚN CON VIDA!;存命！;아직 생존!;依然存活！;依然存活！;NOCH AM LEBEN!;ЕЩЕ ЖИВ!;ANCORA IN VITA!;AINDA VIVO!
noeffect;You have neither curse, nor spell, nor magical item, nor special event.;Ne lanet, ne büyü, ne büyülü eşya, ne de özel etkinliğin var.;Vous n'avez ni malédiction, ni sort, ni objet magique, ni événement spécial.;No tienes ni maldición ni objeto mágico ni evento especial.;国政に影響を及ぼす呪い、魔法、特殊行事は発生していません。;국정에 영향을 미치는 저주, 마법 아이템, 특수 이벤트가 없습니다.;你既未遭受诅咒，+也无法术法器或遭遇特殊事件;你既未遭受詛咒，+也無法術法器或遭遇特殊事件;Kein Fluch oder Zauber, kein magischer Gegenstand, kein besonderes Ereignis.;У вас нет ни проклятья, ни заклятья, ни магического предмета, ни особого события.;Non hai maledizioni, incantesimi, oggetti magici o eventi speciali.;Você não tem maldição, feitiço, item mágico nem evento especial.
nothing;Nothing;Hiçbir şey;Rien;Nada;なし;없음;无事件;無事件;Nichts;Ничего.;Niente;Nada
king_names;Robert;;;Roberto;ロバート;로버트;罗伯特;羅伯特;Robert;Роберт;Roberto;Roberto
;James;;Jean;Jaime;ジェームズ;제임스;詹姆斯;詹姆斯;Jakob;Джеймс;Giacomo;Jaime
;Edward;;Édouard;Eduardo;エドワード;에드워드;爱德华;愛德華;Eduard;Эдвард;Edoardo;Eduardo
;Baudouin;;;Benito;ボードゥアン;보두안;博杜安;博杜安;Balduin;Бодуэн;Baldovino;Baudouin
;George;;Georges;Jorge;ジョージ;조지;乔治;喬治;Georg;Георг;Giorgio;Jorge
;William;;Guillaume;Guillermo;ウィリアム;윌리엄;威廉;威廉;Wilhelm;Вильям;Giovanni;Guilherme
;Gerald;;Gérald;Gerardo;ジェラルド;제럴드;杰洛德;傑洛德;Gerald;Геральд;Gerardo;Geraldo
;Harry;;;José;ハリー;해리;哈利;哈利;Heinrich;Гарри;Enrico;Henrique
dungeon_generic;The Dungeon;Zindan;Le Donjon;Las mazmorras;ダンジョン;지하감옥;地下城;地下城;Das Verlies;Подземелье;La prigione;A Masmorra
dungeon;<...>;;;;<...>;<...>;<...>;<...>;;;<...>;
;Caves of Doom;Yıkım Mağaraları;Caves du Destin;Las cuevas del Destino;破滅の洞窟;파멸의 동굴;毁灭洞窟;毀滅洞窟;Höhlen des Verderbens;Роковые пещеры;Grotte del destino;Cavernas da Perdição
;Crypt of Despair;Çaresizlik Mahzeni;Crypte du Désespoir;Cripta de la Desesperación;絶望の墓所;절망의 묘소;绝望墓穴;絕望墓穴;Gruft der Verzweiflung;Крипта отчаяния;Cripta della disperazione;Cripta do Desespero
;World of Fear;Korku Dünyası;Monde de la Peur;Mundo del Miedo;恐れの冥府;공포의 세계;恐怖世界;恐怖世界;Welt der Furcht;Мир страха;Mondo della paura;Mundo do Medo
;Whispering Horror;Fısıldayan Dehşet;Horreur Insondable;Horror Inescrutable;魔の囁き;소름끼치는 속삭임;呢喃恐惧;呢喃恐懼;Flüsternder Schrecken;Шепчущий ужас;Orrore mormorante;Murmúrios de Horror
queen_generic;The Queen;Kraliçe;La Reine;La Reina;王妃;여왕;皇后;皇后;Die Königin;Королева;La Regina;A Rainha
queen;Queen <...>;Kraliçe <...>;Reine <...>;Reina <...>;<...>妃;<...>여왕;<...>皇后;<...>皇后;Königin <...>;Королева <...>;Regina <...>;Rainha <...>
;Joan;;Jeanne;Juana;ヨハンナ;요한나;琼恩;瓊恩;Johanna;Иоанна;Giovanna;Joana
;Vivian;;Viviane;Viviana;ビビアン;비비안;薇薇安;薇薇安;Anna;Вивьен;Viviana;Vivian
;Filisia;;;Felicia;フィリシア;필리시아;菲莉西亚;菲莉西亞;Elisabeth;Фелисия;Felicita;Felícia
;Laurentia;;;Laurencia;ローレンシア;로렌시아;劳伦希娅;勞倫希婭;Laurentia;Лаурентия;Lorenza;Laurência
;Lucy;;Lucie;Lucía;ルーシー;루시;露西;露西;Lucia;Люсия;Lucia;Lúcia
priest;Archbishop of <places>;<places> Başpiskoposu;Évêque de <places>;Arzobisto de <places>;<places>大司教;<places> 대사제;<places>大主教;<places>大主教;Erzbischof von <places>;Архиепископ из <places>;Arcivescovo di <places>;Arcebispo de <places>
priest_generic;The Priest;Rahip;Le Prêtre;El Sacerdote;司祭;사제;牧师;牧師;Der Priester;Священник;Il Sacerdote;O padre
viking;<exotic_male_names> <...>;<...><exotic_male_names>;;;<...><exotic_male_names>;<...> <exotic_male_names>;<...><exotic_male_names>;<...><exotic_male_names>;;;<exotic_male_names> <...>;
;the World Bane;Dünyanın Kırbacı;la Fléau Humain;la Plaga Humana;地上の禍根;지상의 화근;世界祸端;世界禍端;der Weltenbann;Каратель;il Flagello del mondo;a Ruína do Mundo
;the Lone Wolf;Yalnız Kurt;le Loup Solitaire;el Lobo Solitario;独狼の;외로운 늑대;孤傲之狼;孤傲之狼;der einsame Wolf;Одинокий волк;il Lupo solitario;o Lobo Solitário
;the Silent Eagle;Sessiz Kartal;l'Aigle Silencieux;el Águila Silenciosa;静鷹の;조용한 독수리;静默之鹰;靜默之鷹;der stille Adler;Молчаливый орел;l'Aquila silente;a Águia Silenciosa
;the Stormbearer;Fırtına Hamili;l'Âme des Tempêtes;el Alma de la Tormenta;嵐の申し子;폭풍을 불러오는 자;风暴之主;風暴之主;der Sturmbringer;Буреносец;il Messaggero della tempesta;a Tempestade
viking_generic;The Barbarian;Barbar;Le Barbare;El Bárbaro;野人;야만인;蛮人王;蠻人王;Der Barbar;Варвар;Il Barbaro;O Bárbaro
black_bird;Fate;Kader;Destin;Destino;厄運の鳥;운명;命运;命運;Schicksal;Судьба;Destino;Destino
black_bird_generic;The Black Bird;Kara Kuş;L'Oiseau Noir;El Ave Negra;黒歌鳥;흑조;黑鸟;黑鳥;Der schwarze Vogel;Дрозд;l'Uccello nero;O Pássaro Preto
bird;<...>;;;;<...>;<...>;<...>;<...>;;;<...>;
;Sakuya;;;;サクヤ;사쿠야;咲夜;咲夜;Sakuya;Сакуя;Sakuya;Sakuya
;Piaw;;Piau;Pío pío;ピアウ;피아우;皮尧;皮堯;Piaw;Пиав;Pio pio;Piau
;Pipin;;;;ピピン;피핀;乒乒;乒乒;Pipin;Пипин;Pipin;Pipin
bird_generic;The Bird;Kuş;L'Oiseau;El Pájaro;鳥;새;小鸟;小鳥;Der Vogel;Птица;L'Uccello;O Pássaro
dragon;Dragon;Ejderha;;Dragón;ドラゴン;드래곤;巨龙;巨龍;Drache;Дракон;Drago;Dragão
dragon_generic;The Dragon;Ejderha;Le Dragon;El Dragón;ドラゴン;드래곤;巨龙;巨龍;Der Drache;Дракон;Il Drago;O Dragão
courtesan;Lady <...>;<...> Hanım;Dame <...>;Dama <...>;レディ・<...>;레이디 <...>;<...>夫人;<...>夫人;Madame <...>;Леди <...>;Lady <...>;Lady <...>
;Grey;;;Gris;グレー;그레이;格雷;格雷;Grey;Грей;Grey;Grey
;Selwige;;;;セルウィッジ;셀비지;塞尔维戈;塞爾維戈;Selwige;Селвидж;Selwige;Selwige
;Belle;;;Bella;ベル;벨;贝尔;貝爾;Belle;Белль;Belle;Belle
;Charlotte;;;;シャルロット;샬롯;夏洛特;夏洛特;Charlotte;Шарлотта;Charlotte;Charlotte
courtesan_generic;The Courtesan;Hanımefendi;La Courtisane;La Cortesana;愛妾;애첩;花魁;花魁;Die Kurtisane;Куртизанка;La Cortigiana;A Cortesã
