id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
11;priest;We need to start building a Cathedral in honor of the Almighty.;Tanrının şerefine bir Katedral inşa etmeye başlamalıyız.;Entamons la construction d'une Cathédrale pour rendre grâce au Très Haut.;Necesitamos construir una catedral para honorar al Más Alto.;全能の神をたたえ、+大聖堂の建設に着手しましょう。;전능하신 신을 기리며 대성당을 건설합시다.;我们需要着手修建一座大教堂+来宣扬上帝的荣光。;我們需要著手修建一座大教堂+來宣揚上帝的榮光。;Wir müssen beginnen, eine Kathedrale zur Ehre des Allmächtigen zu bauen.;Нужно начать строительство Собора во славу Всемогущего.;Dobbiamo iniziare a costruire una Cattedrale in onore dell'Onnipotente.;Precisamos começar a construir uma catedral para louvar o Todo-Poderoso.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;priest;The Cathedral is built! We have to organize a grand ceremony!;Katedral inşa edildi! Büyük bir tören organize etmeliyiz!;La Cathédrale est achevée ! Il faut organiser une grande cérémonie!;¡La catedral está terminada! Hay que organizar una gran ceremonia.;大聖堂が完成しました！+落成式を執り行いましょう！盛大に！;대성당이 완성되었습니다! 성대하게 축하합시다! 성대하게!;大教堂已落成！+我们必须举办一场盛大的揭幕式！;大教堂已落成！+我們必須舉辦一場盛大的揭幕式！;Die Kathedrale ist fertig! Wir müssen eine große Feier organisieren!;Собор построен! Нужно организовать грандиозное празднество!;La Cattedrale è finita! Dobbiamo organizzare una grande cerimonia.;A catedral está concluída! Precisamos organizar uma grande cerimônia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;priest;Long live the King! I will pray for the prosperity of Your Majesty.;Kralımız çok yaşa! Majestelerinin hayrına dua edeceğim.;Longue vie au Roi ! Je vais prier pour la prospérité de Votre Majesté.;¡Viva el Rey! Voy a rezar por la prosperidad de Su Majestad.;陛下の治世の繁栄を祈念し、+祈りをささげましょう。;만수무강하소서, 폐하! 폐하의 만수무강을 기도하겠습니다.;陛下万岁！+我将为您的统治长青而祈祷。;陛下萬歲！+我將為您的統治長青而祈禱。;Lang lebe der König! Ich werde für das Wohlergehen Eurer Majestät beten.;Долгих лет Королю! Я буду молиться о Вашем процветании, Ваше Величество.;Lunga vita al Re! Pregherò per la prosperità di Vostra Maestà.;Vida longa ao Rei! Rogo pela prosperidade de Vossa Majestade.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;priest;There's a crisis in your Church. We need to reform our religion!;Kilisede kriz yaşanıyor. Dinimizde ıslahatlar yapmalıyız!;Il y a une crise au sein de l'Église. Nous devons réformer la religion !;Hay una crisis en el seno de la Iglesia. ¡Renovemos la religión!;この国の教会は危機に瀕しております。+今こそ宗教改革を！;이 나라의 교회는 위기입니다. 지금이야말로 종교개혁을 할 때입니다!;教会中发生了危机，+我们需要进行宗教改革！;教會中發生了危機，+我們需要進行宗教改革！;Die Kirche befindet sich in einer Krise. Ihr müsst unsere Religion reformieren!;В вашей Церкви кризис. Религии требуется реформа!;C'è una crisi in atto nella Chiesa. Dobbiamo riformare la nostra religione!;A Igreja está passando por tempos difíceis. Nossa religião precisa de uma reforma!;Sure, let's do it...;Evet, yapalım...;Pas de problème;Claro, sin problema...;うむ、よかろう…;음, 괜찮겠지...;好吧，那我们就这样吧……;好吧，那我們就這樣吧……;Natürlich! Los geht's ...;Конечно, давайте проведем…;Nessun problema, facciamolo…;Claro, vamos fazer isso...;;;;;;;;;;;;;Whoa, not so fast...;Hayır, olmaz...;Hooo. Pas si vite;Eeeh, no tan deprisa...;まあ、落ち着け…;자, 진정해.;哇，可别急……;哇，可別急……;Moment, nicht so schnell ...;Стойте, не так быстро…;Ehi, non così alla svelta…;Opa, espere aí...;;;;;;;;;;;;;
15;priest;Your Church is weak and the people blasphemous.;Kiliseniz güçsüz, halkınız ise kafir.;Votre Église est faible et le peuple se plaît à blasphémer.;Vuestra Iglesia es débil y vuestro pueblo blasfema constantemente.;わが国は教会の権威が弱すぎます。+民は神をないがしろにしている！;우리나라는 교회의 권위가 너무 약합니다. 백성들이 신을 소홀히 여기고 있습니다!;您的教会弱小无力，+群众亵渎神明。;您的教會弱小無力，+群眾褻瀆神明。;Eure Kirche ist schwach und das Volk lästert Gott!;Ваша Церковь слаба, а народ богохульствует.;La Chiesa è debole e il popolo è blasfemo.;Sua Igreja é fraca, e o povo exala blasfêmia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;priest;Give us enough power to enforce the divine justice in your country. The Pope is ready to pay the price.;Bize ülkede ilahi adalet uygulama gücü verin. Papa, bedelini ödemeye hazır.;Donnez-nous assez de pouvoir pour faire respecter la loi du Très Haut. Le Pape est prêt à payer le prix.;Dadnos poder para hacer respetar la ley del Más Alto. El papa está dispuesto a pagar el precio.;教会が国民に神の裁きを下す権限を+いただきたい。教皇は、しかるべき対価を+支払うと申しております。;교회가 백성들에게 신의 심판을 내릴 권한을 주십시오. 교황은 합당한 대가를 지급하겠다고 합니다.;给我们足够多的权力，+让我们能在全国施行神圣的审判。+教皇已经准备好付钱了。;給我們足夠多的權力，+讓我們能在全國施行神聖的審判。+教皇已經準備好付錢了。;Gebt uns genug Macht, um in Eurem Land Gottes Recht durchzusetzen. Der Papst ist bereit, dafür zu bezahlen.;Дайте нам власть восстановить божественное правосудие в стране. Папа готов заплатить цену.;Dateci potere sufficiente a far rispettare la giustizia divina. Il Papa è pronto a pagare il prezzo.;Dê-nos poder suficiente para exaltar a justiça divina em seu país. O Papa está pronto para pagar o preço.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;priest;We would like to raise a new tax for the Church, shared with the Crown of course.;Kilise için yeni bir vergi toplamak istiyoruz. Kral ile de paylaşılacak, elbette.;Nous voudrions lever un nouvel impôt pour l'Église, partagé avec la Couronne bien sûr.;Queremos crear un nuevo impuesto para la Iglesia, compartido con la Corona, por supuesto.;国民に新たな教会税を課したいのですが。+当然、税収の一部は国庫にも入ります。;백성에게 교회세를 새로 부과하고 싶습니다. 물론 세수 일부는 왕실과 나누지요.;我们想要增加一项新的税目+来充实教会的财务，+当然也会与国王您共享。;我們想要增加一項新的稅目+來充實教會的財務，+當然也會與國王您共用。;Wir möchten eine neue Steuer für die Kirche erheben, die natürlich mit der Krone geteilt wird.;Мы хотим установить новый налог для Церкви, и разделим его с Короной, само собой.;Vorremmo istituire una nuova tassa per la Chiesa, da condividere con la Corona, ovviamente.;Gostaríamos de estabelecer um novo tributo para a Igreja... Compartilhado com a Coroa, é claro.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;priest;We should create a pilgrimage to the tomb of Saint Armand.;Aziz Armand'ın türbesine hac oluşturmalıyız.;Nous devrions inaugurer un pélerinage sur la tombe de Saint Armand.;Deberíamos iniciar un peregrinaje a la tumba de San Armando.;陛下、聖アルマンドの墓への巡礼を+行事化いたしましょう。;폐하, 성 아르망드의 무덤 참배를 공식 행사로 만들고자 합니다.;我们应当将圣人阿曼德的墓地+建成一处朝圣之地。;我們應當將聖人阿曼德的墓地+建成一處朝聖之地。;Wir sollten Wallfahrten zum Grab des heiligen Armand einführen.;Мы хотим организовать паломничество к могиле Святого Армана.;Dovremmo inaugurare un pellegrinaggio alla tomba di Sant'Armando.;Deveríamos criar uma peregrinação até o túmulo de Santo Armand.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;priest;Sire, would you like to assist in the inhumation of Saint Romuald in the Cathedral?;Efendim, Katedralde Aziz Romauld'un definine yardım etmek ister misiniz?;Sire, voulez-vous participer à l'inhumation de Saint Romuald dans la Cathédrale ?;Señor, ¿queréis asistir a la inhumación de San Romualdo en la catedral?;大聖堂で、聖レイモンドの埋葬式が+執り行われます。+陛下にもご協力いただきたい。;대성당에서 성 로뮈알드의 장례식이 거행됩니다. 폐하께서도 도움을 보태주셨으면 합니다.;陛下，圣人罗穆德将在大教堂下葬，+您能否出席？;陛下，聖人羅穆德將在大教堂下葬，+您能否出席？;Majestät, möchtet Ihr bei der Bestattung des heiligen Romuald in der Kathedrale assistieren?;Сир, вы хотите помочь погребению Святого Ромуальда в Соборе?;Sire, volete assistere alla sepoltura di San Romualdo nella Cattedrale?;Alteza, gostaria de auxiliar no sepultamento de Santo Romualdo na catedral?;;;;;;;;;;;;;;;;;;;;;;;;;You don't need me...;Bana ihtiyacınız yok...;Faites sans moi;No contéis conmigo...;その必要はなかろう…;그럴 필요는 없겠지...;你不需要我……;你不需要我……;Macht das ohne mich ...;Я вам не нужен…;Non avete bisogno di me…;Não precisam de mim...;;;;;;;;;;;;;
20;priest;A large part of the country is worshipping false gods. We must burn witches!;Ülkenin büyük bir kısmı sahte tanrılara tapıyor. Cadıları yakmalıyız!;Une grande partie du pays adore de faux dieux. Nous allons brûler des sorcières !;Gran parte del pueblo venera falsos dioses. ¡Vamos a quemar a las brujas!;民の多くが、偽りの神々を崇めています。+魔女は火あぶりの刑に処すべきだ！;백성 대부분이 거짓 신들을 숭배하고 있습니다. 마녀는 화형에 처해야 합니다!;国家中有许多人崇拜着伪神，+我们必须烧死所有女巫！;國家中有許多人崇拜著偽神，+我們必須燒死所有女巫！;Ein Großteil des Landes verehrt falsche Götter. Wir müssen Hexen verbrennen!;В стране множество поклоняющихся ложным богам. Нужно сжечь ведьм!;Gran parte del Paese adora falsi dei. Dobbiamo bruciare le streghe!;Uma grande parte do país está louvando falsos deuses. As bruxas precisam ir para a fogueira!;I don't want to know;Bilmek istemiyorum;Je ne veux pas le savoir;No quiero saber nada.;勝手にしろ…;좋을 대로 하게...;我并不想知道……;我並不想知道……;Das will ich gar nicht wissen;Не хочу ничего знать;Non voglio saperne niente;Não quero saber;;;;;;;;;;;;;No you must not;Hayır, olmaz;Sûrement pas;De eso nada;ならぬ;안 되네.;不，你不能这样做;不，你不能這樣做;Nein, bestimmt nicht;Нет, не нужно;No, non dovete;Não, não precisam;;;;;;;;;;;;;
21;monk;We... may have a problem. A monk has started to bite his brothers... And it's spreading fast.;Bir... sorun yaşıyor olabiliriz. Keşişlerden birisi diğerlerini ısırmaya başladı... Hastalık hızla yayılıyor.;Nous... avons peut-être un problème. Un moine s'est mis à mordre ses frères... Et ça se propage vite.;Tenemos un pequeño... problema. Un monje ha empezado a morder a sus hermanos. Se está propagando con velocidad.;ここだけの話ですが…ある修道士が別の修道士に+かみつき、その修道士がまた別の修道士に+かみつき…もはや手に負えません。;문... 문제가 있습니다. 어떤 수도사가 다른 수도사를 물어뜯고… 그 수도사는 또 다른 수도사를 물어뜯어서… 급속히 퍼지고 있습니다.;我们……可能遇上了点麻烦。+一名僧侣开始撕咬其他僧侣……+而且这种现象正在快速蔓延。;我們……可能遇上了點麻煩。+一名僧侶開始撕咬其他僧侶……+而且這種現象正在快速蔓延。;Wir ... könnten ein Problem haben. Ein Mönch hat seine Brüder gebissen. Und das greift rasch um sich.;У нас… проблема. Монах покусал братьев. И это быстро распространяется.;Potremmo avere… un problema. Un Frate ha iniziato a mordere i suoi fratelli… Si sta diffondendo velocemente.;Acho que... temos um probleminha. Um monge começou a morder os irmãos... e isso está se espalhando rápido.;General!;General!;Général !;¡General!;将軍！;장군!;将军！;將軍！;General!;Генерал!;Generale!;General!;;;;;;;;;;;;;Werewolves?;Kurtadamlar mı?;Des loups-garous ?;¿Hombres-lobo?;それは人狼だな？;늑대인간?;狼人？;狼人？;Werwölfe?;Оборотни?;Lupi mannari?;Lobisomens?;;;;;;;;;;;;;
22;general;This is probably a case of lycanthropy. I don't deal with that.;Sorun muhtemelen kurtadamlıktır. O konu bana düşmez.;C'est probablement un cas de lycanthropie. Je ne touche pas à ça.;Probablemente es un caso de licantropía. Yo no me ocupo de esas cosas.;これはおそらく、「狼憑き」かと。+私ではいかんともしがたく…;아마도 늑대인간이 아닐지요. 저는 대처할 수가 없습니다.;听上去像是犯了狼人狂躁症。+我可处理不来这种事情。;聽上去像是犯了狼人狂躁症。+我可處理不來這種事情。;Wahrscheinlich ein Fall von Lykanthropie. Damit befasse ich mich nicht.;Это вспышка ликантропии. Я не хочу иметь с этим дела.;Si tratta probabilmente di licantropia. Non mi riguarda.;Deve ser um caso de licantropia. Eu não mexo com essas coisas.;Werewolves?;Kurtadamlar mı?;Des loups-garous ?;¿Hombres-lobo?;つまり、人狼だな？;늑대인간?;狼人？;狼人？;Werwölfe?;Оборотни?;Lupi mannari?;Lobisomens?;;;;;;;;;;;;;I command you;Emrediyorum;C'est un ordre;Es una orden;これは命令だ;명령이다.;我命令你这样做;我命令你這樣做;Ich befehle es Euch;Повелеваю вам;È un ordine;Eu ordeno;<i><general> puts the monks in prison. They confessed under the torture that they were indeed werewolves.</i>;<i><general> keşişleri hapse atıyor. İşkence gören keşişler gerçekten de kurtadam olduklarını itiraf ediyor.</i>;<i><general> mit les moines en prison. Sous la torture, ils finirent par avouer être effectivement des loups-garous.</i>;<i><general> envía los monjes a la cárcel. Bajo tortura, éstos confiesan que efectivamente son hombres-lobo.</i>;<i>修道士たちは、+<general>によって+投獄された。彼らは拷問を受け、+自分たちは確かに人狼だと自白した。</i>;<i>수도사들은 <general>에 의해 투옥되었다. 고문을 받고서야 자신들도 늑대인간임을 자백했다. </i>;<i>那些僧侣被<general>投入+深牢大狱。+在严刑拷打之下，+他们最终供认自己的确是狼人。</i>;<i>那些僧侶被<general>投入+深牢大獄。+在嚴刑拷打之下，+他們最終供認自己的確是狼人。</i>;<i><general> wirft die Mönche ins Gefängnis. Unter Folter gestehen sie, tatsächlich Werwölfe zu sein.</i>;<i><general> заточает монахов в тюрьму. Под пытками они исповедаются в том, что они на самом деле оборотни.</i>;<i><general> mette i frati in prigione. Sotto tortura, confessano di essere lupi mannari.</i>;<i><general> colocou os monges na prisão. Eles confessaram sob tortura que eram, na verdade, lobisomens.</i>;
23;werewolf;Werewolves... I don't think so, no... You should call that "cruel lack of physical activity".;Kurtadamlık mı... Hayır, sanmam... Buna daha çok "fiziksel yakınlık eksikliğinin sonu" diyebiliriz.;Des loups-garous... je ne crois pas, non... Il s'agit plutôt d'un "manque cruel d'activité physique".;Hombres-lobo... No creo, no... Llamadlo mejor "falta total de actividad física".;人狼…？まさか。+極度の「運動不足」が原因です。;늑대인간...? 설마요. "극도의 운동부족"이 원인입니다.;狼人……我可不觉得这是狼人……+你应该用“暴力非自然行为”这种说法。;狼人……我可不覺得這是狼人……+你應該用“暴力非自然行為”這種說法。;Werwölfe ... Nein, ich glaube nicht ... Bezeichnet es lieber als "schlimmen Mangel an körperlicher Bewegung".;Оборотни… Не думаю, нет… Я бы сказал, что это «крайний недостаток физической активности».;Licantropi… Non credo, no… Chiamiamola piuttosto "crudele mancanza d'attività fisica";Lobisomens... Não sei, não. Você deveria chamar isso de "extrema falta de atividade física".;I...;Aa...;Je...;Eh...;あー…;아...;我……;我……;Ich ...;Я…;Io…;Eu...;;;;;;;;;;;;;Well...;Yani...;Enfin...;En fin...;うーむ…;흠...;好吧……;好吧……;Nun ...;Ну…;Beh…;Bom...;;;;;;;;;;;;;
