thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_cash;yes_team;yes_market;yes_capital;yes_custom;override_no;answer_no;no_cash;no_team;no_market;no_capital;no_custom
act2;manager_day1;11;事业部副总;;del;;你刚接手曜石云的连锁客户项目。吴老板把回扣比例写在报价单背面：拿不拿，今晚就知道。;收回扣，分给组里;预算像魔术一样变多。每个人的账户里都有了同一个秘密。;5;3;2;1;kickback and shared_secret and risk+ and evidence+ and >_manager_dirty_bid and dirty_route;按规则招标;报价贵了一点，但流程干净。周启明说你还不懂生意。;-2;2;1;1;clean_procurement and >_manager_clean_bid
act2;manager_clean_bid;12;采购负责人 吴老板;;del;;"你拒绝了回扣，吴老板把一份更贵的合规报价放在桌上：
‘你们公司真准备按规则活？’";换一家供应商;你保住流程，也失去一周时间。周启明说：你把机会让给了别人。;-1;1;1;1;clean_delay and >_manager_leader;签合规报价;项目成本上升，客户却愿意把长期合同给你。干净不是便宜，是可续约。;-3;2;3;1;clean_procurement and clean_vendor and >_manager_leader
act2;manager_dirty_bid;13;采购负责人 吴老板;;del;;"回扣已经进了账。吴老板又发来一条消息：
‘这次只要你签，下一次我让你自己挑供应商。’";钱只进自己的口袋;你把差额转进私人账户。现金更厚，许棠却把会议录音存进了云端。;4;-2;2;1;solo_take and risk+ and evidence+ and >_manager_leader and dirty_route;把钱分给项目组;每个人都拿到一笔‘项目奖金’。大家笑着收下，笑容里多了一份共同责任。;3;2;1;1;shared_bonus and >_manager_leader
act2;manager_leader;14;事业部副总;;del;;周启明约你去会所谈项目。买单的人，通常也决定谁升职。;把客户请来;你让客户坐主位。周启明不高兴，但合同第二天盖了章。;2;1;4;1;client_first and >_manager_crisis;我来买单;他拍着你的肩说放心。那一晚的账单比你的年薪还高。;-3;;1;1;leader_favor and risk+ and >_manager_crisis and dirty_route
act2;manager_crisis;15;项目总监;;del;;演示前夜，核心工程师崩溃了。明早十点，客户要看一个不存在的功能。;把锅甩给供应商;演示按时开始。供应商收到律师函，客户收到你的晋升推荐。;3;-2;4;1;blame_vendor and risk+ and evidence+ and >_manager_report and dirty_route;把事故写成延期;你让客户看到真实进度。项目没丢，但副总说你没有狼性。;-1;3;-1;1;honest_crisis and >_manager_report
act2;manager_report;16;事业部副总;;del;;"季度报告里，你的增长数字被副总改成了他的。
他问：要功劳，还是要位置？";换一个总监位置;你的名字从报告消失，职位从项目经理变成了总监候选人。;1;-1;2;1;promotion_trade and risk+ and >_manager_promotion and dirty_route;公开争回来;你保住名字，差点失去项目。团队第一次觉得你不是软柿子。;;2;1;1;public_credit and >_manager_promotion
act2;manager_promotion;17;人事经理;;del;;副总把一个必败项目塞给你：做成，直接进总监名单；做不成，正好有人负责。;先要资源再接;你逼周启明把预算和人写进邮件。你慢了一步，但没有把命交出去。;-1;2;1;1;resource_demand and director_role and >_director_budget;接下这个烂摊子;你把失败概率写在纸上，然后签了名。人事部把你列进总监候选。;-2;1;3;1;fast_track and director_role and >_director_budget
act3;director_budget;18;董事会秘书;;del;;董事会要下季度增长百分之四十。账上没有钱，市场却已经在等。;先做出增长再说;你把未签的订单写成意向。投资人欢呼，证据也一起长出来。;4;-1;4;1;fake_growth and risk+ and evidence+ and >_director_deputy and dirty_route;砍掉三个项目;数字不会漂亮，但现金活了。韩董事长把你的名字写进了‘能收拾残局’名单。;4;-2;-2;1;cost_cut and >_director_deputy
act3;director_deputy;19;猎头;;del;;总监位置给你配一个副手。一个忠诚但普通，一个能干但知道太多。;挖那个能干的;你把顾惟挖来。他把客户和数字一起带来，也把一份备用组织架构带来。;1;1;3;1;smart_deputy and >_director_leader;提拔老同事;你把许棠放进核心群。他不会抢你的椅子，但会记住你给过他的名字。;;3;1;1;loyal_deputy and >_director_leader
act3;director_leader;20;前任副总;;del;;周启明被调查了。他私下发来一条消息：‘你要是说实话，我也只能说实话。’;把证据交上去;周启明被带走。韩董事长夸你勇敢，也开始检查你的抽屉。;;2;1;1;leader_exposed and clean_route and >_director_audit_clean;替他挡一次;他把董事会的票带给你。你们的名字从此写在同一页。;1;1;;1;leader_protected and risk+ and evidence+ and >_director_audit_dirty and dirty_route
act3;director_audit_clean;21;审计负责人 林岚;;del;;"审计翻到了那张八万元报销单。
她没问你是不是英雄，只问：证据要不要留下？";只交纸面材料;你没有撒谎，却只给了她能看见的一半。林岚把缺口标成黄色。;-1;1;1;1;audit_partial and evidence+ and >_director_clean_reckoning;把证据交全;你把原始邮件、付款记录和自己的签字一并交出。林岚写下：可整改。;-3;1;;1;audit_closed and risk- and clean_audit and >_director_clean_reckoning
act3;director_audit_dirty;22;审计负责人 林岚;;del;;"审计翻到了那张八万元报销单。
她把回扣名单推到你面前：现在补钱，还是让名单继续往上走？";把文件烧掉;纸没了，扫描件还在。林岚把复印件夹进董事会材料。;-1;;1;1;files_burned and risk+ and evidence+ and >_director_dirty_reckoning and dirty_route;补回自己的那份;你把钱退回，却没有供出分到奖金的人。林岚说：这不是结案，是第一行。;-4;1;;1;audit_partial and risk- and evidence+ and >_director_dirty_reckoning
act3;director_clean_reckoning;23;审计负责人 林岚;;del;;"林岚把整改建议分成两栏：公开，或者只给董事会看。
‘你以后每一次增长，都要从这张表开始。’";先稳住董事会;你把整改藏在董事会材料里。林岚点头，却把副本发给独立董事。;1;1;1;1;audit_private and >_director_media;公开整改表;你让所有部门都看见缺口。速度慢了一点，但没人需要替你猜答案。;-1;1;1;1;audit_public and >_director_media
act3;director_dirty_reckoning;24;审计负责人 林岚;;del;;"林岚没有把你交上去，只问一个名字：回扣名单里，谁最先找你？
你知道她是在给你最后一次选择。";把自己写上去;你把责任压在自己身上。林岚说：这会让你升得快，也会让你掉得重。;-1;1;;1;scapegoat_ready and >_director_media;把周启明写上去;你交出上级的名字。林岚收下材料，周启明开始给董事会打电话。;;1;1;1;leader_exposed and >_director_media
act3;director_media;25;财经记者;;del;;唐记者拿着一份采购邮件找你：给一个回应，我可以等；不回应，明早全网都是曜石云。;让他发;你的名字上了热搜。董事会没解雇你，因为股价先涨了。;1;1;4;1;media_leak and >_director_board;买下这个版面;新闻没发。唐记者收下采访费时说，下一次问题会更具体。;-4;;2;1;media_bought and risk+ and evidence+ and >_director_board and dirty_route
act3;director_board;26;董事长;;del;;董事会要一个代理 CEO。董事长说：‘你可以带公司上去，也可以替所有人下去。’;拿旧账换授权;你把证据摊在桌上，换到预算、人事和一间更大的办公室。;2;-1;2;2;acting_ceo and board_blackmail and risk+ and evidence+ and >_acting_ceo and dirty_route;接受，但公开旧账;韩董事长把任命书推过来。台下鼓掌，台上的人开始删聊天记录。;;1;3;2;acting_ceo and >_acting_ceo
act4;acting_ceo;27;董事长;;del;;你只有两周时间处理旧账。董事长给你两把钥匙：清算，或者继续利用。;先把公司做大;你把旧账压进并购协议。估值翻倍，风险也翻倍。;4;-1;4;1;house_protected and risk+ and evidence+ and >_acting_crisis and dirty_route;清掉所有灰账;你让林岚逐笔补账。现金像血一样流出去，但公司终于能被审计。;-6;1;-1;1;house_clean and audit_closed and >_acting_crisis
act4;acting_crisis;28;警方经侦联络人;;del;;有人举报了供应商回扣。警察问你：是公司行为，还是你个人行为？;交出上级录音;你打开录音。韩董事长和周启明同时安静下来。;;-1;1;2;recording_kept and evidence+ and >_ceo_crowning;承担公司责任;你把签字都认下来。董事会愿意推你上 CEO，也愿意在需要时推你出去。;-2;1;1;2;company_liability and scapegoat_ready and >_ceo_crowning
act4;ceo_crowning;29;董事会秘书;;del;;任命书放在桌上。你从实习生变成 CEO，只差最后一个选择：告诉大家你是谁。;宣布增长;你把数字投到大屏幕上。所有人欢呼，只有你知道最下面那行还没解释。;3;-1;4;2;ceo_run and black_ceo and risk+ and >_ceo_first_day and dirty_route;宣布清账;你把旧账和整改计划一起发出去。没有掌声，但所有人知道你坐稳了。;1;2;1;2;ceo_run and clean_ceo and audit_closed and >_ceo_first_day
act5;ceo_first_day;30;董事会秘书;;del;;你成为 CEO 的第一天，门口排着三个人：审计、记者，还有一个想要加薪的副手。;先见副手;你把增长目标交给顾惟。审计只好从门缝里听。;1;1;2;1;ceo_growth and >_ceo_day_two;先见审计;你把会议改名为‘清账会’。顾惟在门外等了两个小时。;;1;-1;1;ceo_compliance and >_ceo_day_two
act5;ceo_day_two;31;你的助理;;del;;第二天，热搜上出现一句话：‘这家公司，谁都不干净。’;立刻压下去;你买下所有关键词。舆论消失了，账单和证据都还在。;-3;;1;1;risk+ and evidence+ and media_bought and dirty_route;让它挂着;你没有公关。离职群开始替你筛掉最怕审计的人。;-1;2;2;1;public_pressure
open;ceo_first_reckoning;32;董事会秘书 叶真;ceo_run and ceo_open=0;del;800;"CEO第一晚，叶真把三样东西放到你面前：八万元原单、许棠的故障清单、周启明的聊天记录。
你先处理哪一件？";锁进董事长抽屉;你把三样东西锁起来。叶真没有阻止你，只在交接表上多写了一行。;3;-2;3;4;first_reckoning_cover and risk+ and evidence+ and dirty_route and ceo_open+;让林岚先看;你把原件推给审计。第一晚没有掌声，但至少没人能说你删过它。;-4;2;-2;3;first_reckoning_audit and risk- and evidence+ and ceo_open+
open;audit_invitation;33;审计负责人;ceo_run and turn>=20 and !audit_cooperate;8;240;审计部发来邀请：带上电脑，下午三点聊聊你升职前的那八万元。;先找律师;律师收费很贵，但他提醒你：删文件不是补救。;-4;;;8;lawyer_hired and risk+ and dirty_route and ceo_open+;带电脑去;你打开了所有文件。审计说：至少现在你还在控制叙事。;-8;2;;6;audit_cooperate and risk- and evidence- and ceo_open+
open;audit_witness;34;老同事;ceo_run and turn>=20;8;180;那个被你抢过功劳的同事，如今坐在审计桌对面：我可以证明，也可以不证明。;请他说实话;他把报告交上去。你的名声掉了，公司的可信度反而涨了。;-2;3;-2;4;witness_truth and clean_route and ceo_open+;给他一笔钱;他收了。你们都知道这不是最后一笔。;-6;2;;6;witness_paid and risk+ and evidence+ and dirty_route and ceo_open+
open;audit_ledger;35;财务总监;ceo_run and turn>=20;8;180;财务总监找到一本旧账：回扣分给了团队，团队就等于证人。;把责任切给供应商;你签了一份切割协议。供应商说：我还有你们的聊天记录。;5;-4;2;7;vendor_cut and risk+ and evidence+ and dirty_route and ceo_open+;让团队补钱;大家把奖金退回来。你第一次看见共犯也能变成证人。;-10;-3;;6;team_repay and audit_closed and ceo_open+
open;audit_prosecutor;36;经侦警官;ceo_run and turn>=23 and evidence>=4 and !prosecutor_recording;8;260;警官问：你是来解释账的，还是来交证据的？;只解释自己;你说得很完整。警官也听得很完整。;-4;-2;-1;2;personal_statement and risk+ and dirty_route and ceo_open+;交出上级录音;录音开始播放。你保住了自由，失去了一整层楼的人。;;-6;2;8;prosecutor_recording and >_ending_whistle and ceo_open+
open;board_favor;37;董事长;ceo_run and turn>=20;8;180;董事长要你把预算权交给他：‘我只是帮你分担。’;送他一笔并购;他拿到一块没人要的资产，你拿到一票永远的支持。;-10;;4;12;board_asset and risk+ and dirty_route and ceo_open+;交预算权;现金安全了，权力少了一半。董事会开始替你做 CEO 的工作。;3;-2;;-11;budget_surrender and ceo_open+
open;board_revolt;38;聪明副手;ceo_run and turn>=22 and smart_deputy and !deputy_promoted and !deputy_exiled;8;250;你的副手拿着一份新组织架构：里面没有你的名字。;把他调去海外;他走了，顺手把三位客户和一份备份带走。;-2;-4;-6;5;deputy_exiled and evidence+ and ceo_open+;给他 COO 头衔;他留下了。所有人开始先问他，再问你。;-2;3;2;-8;deputy_promoted and ceo_open+
open;board_vote;39;独立董事;ceo_run and turn>=20;8;180;独立董事说：给我一项人事权，我就支持你继续当 CEO。;给他看证据;他没有拿到人事权，却成为你最危险的盟友。;-1;;;10;board_evidence and ceo_open+;给他人事权;你保住职位，但每个关键岗位都多了一个老板。;;2;;-9;board_shared_power and ceo_open+
open;team_bonus;40;员工代表;ceo_run and turn>=20;8;180;大家知道你拿过回扣。员工代表问：这次奖金，分不分？;只奖核心;核心团队留下，其他人开始在匿名论坛写你的名字。;-4;-6;1;8;team_core_only and risk+ and dirty_route and ceo_open+;全员分;所有人都开心了一周。现金只够开心一周。;-12;10;2;2;team_shared_money and ceo_open+
open;team_layoff;41;人事总监;ceo_run and turn>=20;8;180;订单还没掉，现金先掉了。要不要裁掉那批最早跟你的人？;先降薪;大家留下，但每个人都记住你说过‘只是暂时’。;3;-6;;2;salary_cut and ceo_open+;裁掉老员工;报表好看了。离职群里有人发出那张八万元单据。;9;-14;-2;4;old_staff_cut and evidence+ and ceo_open+
open;team_succession;42;老同事;ceo_run and turn>=20;8;180;你要出差三个月。谁替你坐在 CEO 的椅子上？;让能干者代理;他把公司带得更快。回来时，椅子已经有了他的体温。;2;2;9;-6;smart_successor and risk+ and dirty_route and ceo_open+;让忠诚者代理;他不出错，也不做决定。公司稳住了，增长停了。;-2;4;-4;6;loyal_successor and ceo_open+
open;market_fake;43;销售总监;ceo_run and turn>=20;8;180;只差一笔大单，季度增长就能达到董事会目标。客户还没签字。;等签字再说;数字没那么漂亮，但你睡得着。投资人不睡。;-2;2;2;-2;growth_waited and ceo_open+;先把合同发出去;客户第二天签了。因为他发现不签就会显得自己落后。;8;-2;12;3;growth_published and risk+ and evidence+ and dirty_route and ceo_open+
open;market_boom;44;客户总监;ceo_run and turn>=20;8;180;订单像洪水一样进来。交付负责人说：再接一单，所有人都会被淹。;关掉入口;你拒绝了增长。客户骂你，老员工第一次鼓掌。;-2;4;-5;5;capacity_protected and ceo_open+;继续接;市场份额冲上去了。赔偿条款也同时启动。;5;-6;14;2;overbooked and market_heat+ and ceo_open+
open;market_competitor;45;竞争对手 CEO;ceo_run and turn>=20;8;180;对手给你一份合作协议，真正的内容只有一句：一起涨价。;把协议交出去;对手先倒霉。你拿到市场份额，也拿到一个永远的仇家。;3;2;8;7;competitor_report and ceo_open+;一起涨价;利润回来了，反垄断部门也来了。;11;-1;9;4;price_cartel and risk+ and evidence+ and dirty_route and ceo_open+
open;old_leader;46;前任副总;ceo_run and turn>=22 and leader_protected;8;250;他从调查名单里消失后，约你吃饭：‘你现在坐的是我的椅子。’;把他赶走;他笑着离开：‘那我就把故事讲给记者。’;;2;-1;4;old_leader_cut and evidence+ and ceo_open+;给他顾问合同;他拿钱闭嘴。你每个月都要确认他还愿意闭嘴。;-6;;;5;old_leader_paid and risk+ and dirty_route and ceo_open+
open;old_reporter;47;财经记者;ceo_run and turn>=20;8;180;记者问：你从实习生到 CEO，只用了十八次决定。有没有哪一次后悔？;说都是团队功劳;文章没有爆，但你的副手开始认真看你。;1;;2;3;public_deflection and ceo_open+;承认第一笔钱;文章标题变成：‘他承认了。’市场却喜欢诚实的坏人。;;2;6;4;public_confession and evidence+ and ceo_open+
open;old_vendor;48;供应商老板;ceo_run and turn>=20;8;180;他把旧回扣账本放在桌上：买回去，还是让它继续流传？;让它流传;你先召开发布会。抢着承认的人，偶尔能挑选叙事。;-2;2;3;6;ledger_released and clean_route and ceo_open+;买回账本;账本进了保险柜。供应商说，他还有电子版。;-11;;;6;ledger_bought and risk+ and evidence+ and dirty_route and ceo_open+
open;exit_offer;49;大厂收购负责人;ceo_run and ceo_open>=7 and !company_sold;del;360;大厂出价三十亿。条件是：你签完交接，就不再追问旧账。;不卖，自己扛;你留下来。大厂转身把你的价格打到成本线。;-9;2;8;6;offer_refused and ceo_open+;卖掉公司;钱到账了。你离开的时候，发现所有旧账都被留在你的名字下面。;19;-4;4;8;company_sold and >_ending_sold and ceo_open+
open;handover;50;接班人;ceo_run and ceo_open>=7 and loyal_successor;del;360;你累了。接班人把辞职信和新战略一起放在你面前：签哪一个？;再撑一年;接班人把文件收回去。你看见他把另一份交给了董事会。;-2;-3;2;4;handover_refused and ceo_open+;签交接;你走下 CEO 的椅子。公司第一次不需要你来做决定。;2;6;2;6;handover_done and >_ending_handover and ceo_open+
open;callback_team_credit;51;工程师 许棠;ceo_run and ceo_open>=1 and team_credit and !team_credit_called;del;430;"你把功劳写给了团队。许棠现在拿着一封外部 offer：
‘你要我留下，还是继续把我的名字写在脚注里？’";给他一个更大的目标;你没有道歉，只给他一块更大的战场。许棠留下，但开始准备自己的旗帜。;2;2;6;3;credit_deferred and team_credit_called and ceo_open+;给他真正的署名;你把下一场发布会的主讲位让给他。团队第一次把你的背影当成靠山。;-2;7;2;-2;credit_repaid and team_credit_called and ceo_open+
open;callback_credit_hog;52;工程师 许棠;ceo_run and ceo_open>=1 and credit_hog and !credit_hog_called;del;440;"你把救火写成自己的功劳。许棠把当年的故障清单放到董事会桌上：
‘今天轮到你解释。’";给他升职封口;许棠拿到头衔，也拿到一份复制件。你买到的是时间，不是忠诚。;-4;-4;3;6;credit_bought and risk+ and evidence+ and credit_hog_called and dirty_route and ceo_open+;公开还名;你在董事会上把功劳一项项还回去。股价没动，团队的眼神变了。;-2;6;2;1;credit_returned and credit_hog_called and ceo_open+
open;callback_shared_secret;53;员工代表 赵宁;ceo_run and ceo_open>=1 and shared_secret and !shared_secret_called;del;450;"当年分过回扣的人排成一列。赵宁说：
‘奖金再发一次，我们就替你守口如瓶。’";让林岚进来;你把名单交给审计。有人骂你背叛，但第一次没有人能说你删过账。;-8;-4;-1;4;secret_reported and audit_closed and shared_secret_called and ceo_open+;把钱分完;大家拿到最后一笔‘项目奖’。你保住了人心，也把一整层楼变成了证人。;-14;9;2;2;secret_paid and risk+ and evidence+ and shared_secret_called and dirty_route and ceo_open+
open;callback_leader_favor;54;前任副总 周启明;ceo_run and ceo_open>=1 and leader_favor and !leader_favor_called;del;460;"周启明从调查名单里消失了。他发来一张酒店房卡：
‘你能坐上这把椅子，别忘了是谁把你推上去。’";把房卡交给林岚;林岚收下房卡。周启明第一次不再叫你‘自己人’。;;-2;2;3;leader_exposed_again and evidence+ and leader_favor_called and ceo_open+;继续替他挡;他把两张董事票塞进你手里。你们的名字从此只能一起出现在新闻里。;-4;2;1;7;leader_protected_again and risk+ and evidence+ and leader_favor_called and dirty_route and ceo_open+
open;callback_power_in_writing;55;董事长 韩柏;ceo_run and ceo_open>=1 and power_in_writing and !power_in_writing_called;del;400;"你当年逼周启明把承诺写进邮件。韩柏翻着那封邮件：
‘你很会留证据，也很会把证据变成筹码。’";把邮件锁进档案;你不公开，也不销毁。权力暂时归你，怀疑也暂时归你。;1;;2;4;board_private and power_in_writing_called and ceo_open+;让董事会按邮件办;你拿到完整预算授权。韩柏没有生气，只把你的任命期缩成了六个月。;2;2;3;6;board_written and power_in_writing_called and ceo_open+
open;callback_clean_procurement;56;采购负责人 吴老板;ceo_run and ceo_open>=1 and clean_procurement and !clean_vendor_defended;del;390;"你当年拒绝回扣。吴老板如今拿着一份全行业最低价：
‘签我，大家都省事。’";给他最后一次机会;你让他补齐合规文件。吴老板笑了：你终于学会把灰色写成白色。;3;-2;5;3;vendor_compliance and risk+ and dirty_route and ceo_open+;坚持三家比价;你错过了最快的报价，却拿到一份能活过审计的合同。;-4;3;4;2;clean_vendor_defended and audit_closed and ceo_open+
open;callback_dirty_audit;57;审计负责人 林岚;ceo_run and ceo_open>=1 and dirty_route and !audit_full_disclosure and !audit_self_only;del;470;"林岚把回扣名单摊开：你把钱分给过谁，她就知道谁会替你说话。
‘现在还来得及只交一半。’";只交自己的;你把自己写成孤狼。林岚抬头：最危险的从来不是狼，是狼群的账。;-3;1;1;3;audit_self_only and risk+ and evidence+ and dirty_route and ceo_open+;全交;名单从你手里到了监管邮箱。你失去一群盟友，换来一条不必躲的路。;-9;-5;-2;4;audit_full_disclosure and audit_closed and risk- and evidence+ and ceo_open+
open;callback_clean_audit;58;审计负责人 林岚;ceo_run and ceo_open>=1 and clean_audit and !audit_champion and !audit_delayed;del;420;"你曾经把原始材料交给审计。现在她把一份任命建议放在你面前：
‘签下去，你会成为最不讨喜的 CEO。’";先保住增长;你把整改拆成三个月。林岚同意了，但把每周追踪表发给全员。;4;1;4;2;audit_delayed and risk+ and dirty_route and ceo_open+;签整改令;你把审计负责人直接报给董事会。公司少了几分速度，多了几分睡眠。;-4;4;-2;5;audit_champion and audit_closed and risk- and ceo_open+
open;callback_fast_track;59;董事会秘书 叶真;ceo_run and ceo_open>=1 and fast_track and !risk_published and !risk_hidden;del;410;"你曾经接下必败项目换跳级。叶真把当年的风险备忘录放回桌上：
‘现在要不要让市场知道你是怎么赢的？’";继续讲胜利;掌声更大，脚下更空。叶真把备忘录复印给了独立董事。;4;-2;6;3;risk_hidden and risk+ and evidence+ and dirty_route and ceo_open+;公开风险表;投资人先骂你，第二天却把长期订单签了。你第一次用真实数字换来资本。;-3;2;4;4;risk_published and evidence+ and ceo_open+
open;callback_media_leak;60;财经记者 唐未;ceo_run and ceo_open>=1 and media_leak and !media_confessed and !media_deflected;del;400;"你让唐未把采购邮件发出去。热搜退了，截图没有退：
‘现在给我一个能写进标题的答案。’";只讲结果;你把订单增长讲得很漂亮。唐未笑了：明天的标题会讲过程。;4;-2;4;2;media_deflected and risk+ and dirty_route and ceo_open+;承认链条;你把周启明、吴老板和自己的签字一起说出来。舆论失控，证据终于不再只在你手里。;-3;2;3;4;media_confessed and evidence+ and risk- and ceo_open+
open;callback_media_bought;61;财经记者 唐未;ceo_run and ceo_open>=1 and media_bought and !media_repaid and !media_retained;del;410;"你买下了版面。唐未没有发稿，只在邮件里附了一句：
‘钱能买沉默，买不了时间。’";再买一年;你追加预算。公司主页很干净，唐未的硬盘很满。;-8;-1;2;4;media_retained and risk+ and evidence+ and dirty_route and ceo_open+;把采访费退回;你把付款记录和采访费一起交给审计。唐未答应给你一次完整回应。;-4;2;2;4;media_repaid and evidence+ and risk- and ceo_open+
open;callback_loyal_deputy;62;工程师 许棠;ceo_run and ceo_open>=1 and loyal_deputy and !succession_named and !succession_blocked;del;390;你提拔了忠诚的许棠。董事会问：如果你明天不能签字，谁替你？;把椅子留给自己;你拒绝写接班人。许棠点头，从今天起只把事实发给董事会。;2;-2;2;4;succession_blocked and evidence+ and ceo_open+;让许棠代理;他把所有流程留痕，增长慢了，却没有一笔钱消失。;-3;5;-3;6;loyal_successor and succession_named and ceo_open+
open;callback_smart_deputy;63;副手 顾惟;ceo_run and ceo_open>=1 and smart_deputy and !deputy_promoted and !deputy_exiled;del;450;"顾惟把备用组织架构又拿了出来：
‘你给我 COO，还是让我把这份架构发给所有投资人？’";把他调去海外;他带走三位客户，临走前把一份备份交给了林岚。;-2;-4;-5;4;deputy_exiled and evidence+ and ceo_open+;给他 COO;顾惟替你挡住日常火线，但董事会开始把他的名字写在你的后面。;-2;4;4;-8;deputy_promoted and succession_named and ceo_open+
open;regulator_notice;64;监管联络人;ceo_run and turn>=24 and !regulator_cooperate and !contract_rewritten;8;360;"监管部门发来通知：曜石云的客户合同里，有一页和竞争对手一模一样。
‘你准备先解释，还是先删掉？’";让法务重写;新合同很漂亮，旧版本仍躺在三百个客户的邮箱里。;4;-2;3;4;contract_rewritten and risk+ and evidence+ and dirty_route and ceo_open+;交出原始合同;你把版本记录交上去。对手先被查，你也失去了一部分市场。;-4;2;-4;5;regulator_cooperate and evidence+ and ceo_open+
open;investor_demand;65;投资人代表;ceo_run and turn>=24 and !numbers_real and !numbers_pulled;8;360;"投资人要求你把下一季度的意向订单算进本季度：
‘所有独角兽都这么做。’";先算进去;估值跳了一下。审计问的第一句，是谁改了模型。;5;-2;8;3;numbers_pulled and risk+ and evidence+ and dirty_route and ceo_open+;按签字确认;数字难看了一季，董事会却第一次知道哪一块是真增长。;-4;2;-3;4;numbers_real and risk- and ceo_open+
